,mq,No. Clus,Max clus,Min clus
0,2.0092620592620594,6,6,2
1,2.0092620592620594,6,6,2
2,2.0092620592620594,6,6,2
3,2.0092620592620594,6,6,2
4,2.0092620592620594,6,6,2
5,2.0092620592620594,6,6,2
6,1.9800331851551363,6,6,2
7,1.9800331851551363,6,6,2
8,1.965034564166703,6,5,2
9,1.965034564166703,6,5,2
10,1.9576699195343261,6,7,2
11,1.9576692076692077,6,6,2
12,1.9576692076692077,6,6,2
13,1.9500360750360752,6,5,3
14,1.9286180919516827,5,7,3
15,1.9060770679414747,6,7,2
16,1.8981509481509482,5,6,3
17,1.898096348096348,5,6,3
18,1.8860880110880112,6,6,2
19,1.8860334110334112,6,6,2
20,1.8860334110334112,6,6,2
21,1.8860334110334112,6,6,2
22,1.839697307216837,6,7,2
23,1.838561872909699,5,6,3
24,1.8316267486131066,6,7,2
25,1.8208236208236208,6,6,2
26,1.8159744137907632,6,5,2
27,1.8092627711271778,6,7,2
28,1.8054480980012895,6,6,2
29,1.80107746863066,6,6,2
30,1.8009832001540387,6,7,2
31,1.7813888239420155,5,9,3
32,1.7694971910826407,6,5,2
33,1.7692307692307692,6,6,2
34,1.7692307692307692,6,6,2
35,1.7690700104493207,5,6,3
36,1.7534103577581837,5,6,4
37,1.7553434821051013,5,8,2
38,1.7413474206952468,6,6,2
39,1.7286291722461935,6,6,2
40,1.7215373698723648,5,7,4
41,1.7212254958156596,6,7,2
42,1.7104113329919781,5,6,3
43,1.696273418137825,6,7,2
44,1.696273418137825,6,7,2
45,1.696273418137825,6,7,2
46,1.6877065227420738,6,7,2
47,1.6507085507085506,6,5,2
48,1.3898880282230233,6,7,2
49,1.3871496924128504,6,6,2
