No_gen, Best, MQ, No_clus, max_clus, min_clus
0,0.9551980202517099,0.9748114630467573,3,8,8
1,1.07105160822659,1.0902082302082303,10,3,2
2,1.1170513727027032,1.1395459976105138,8,3,3
3,1.112710395291889,1.1433124346917451,3,9,6
4,1.4167065965396035,1.4541676085638935,8,3,3
5,1.4167065965396035,1.4541676085638935,8,3,3
6,1.4167065965396035,1.4541676085638935,8,3,3
7,1.548693390124721,1.5948275862068966,8,4,2
8,1.548693390124721,1.5948275862068966,8,4,2
9,1.548693390124721,1.5948275862068966,8,4,2
10,1.548693390124721,1.5948275862068966,8,4,2
11,1.5927318510072275,1.6410655637377105,8,4,2
12,1.5927318510072275,1.6410655637377105,8,4,2
13,1.5927318510072275,1.6410655637377105,8,4,2
14,1.6802368861998604,1.7329410691479656,8,4,2
15,1.6802368861998604,1.7329410691479656,8,4,2
16,1.6802368861998604,1.7329410691479656,8,4,2
17,1.6802368861998604,1.7329410691479656,8,4,2
18,1.6802368861998604,1.7329410691479656,8,4,2
19,1.6802368861998604,1.7329410691479656,8,4,2
20,1.6946733753983996,1.7480985939526312,8,4,2
21,1.7574418874370703,1.8140021017302965,8,4,2
22,1.7574418874370703,1.8140021017302965,8,4,2
23,1.7574418874370703,1.8140021017302965,8,4,2
24,1.7574418874370703,1.8140021017302965,8,4,2
25,1.7574418874370703,1.8140021017302965,8,4,2
26,1.76213366338691,1.8189282101046806,8,4,2
27,1.76213366338691,1.8189282101046806,8,4,2
28,1.773459109430693,1.8318598378635316,8,5,2
29,1.773459109430693,1.8318598378635316,8,5,2
30,1.773459109430693,1.8318598378635316,8,5,2
31,1.773459109430693,1.8318598378635316,8,5,2
32,1.773459109430693,1.8318598378635316,8,5,2
33,1.773459109430693,1.8318598378635316,8,5,2
34,1.920367350369307,1.985064935064935,8,4,2
35,1.920367350369307,1.985064935064935,8,4,2
36,1.920367350369307,1.985064935064935,8,4,2
37,1.920367350369307,1.985064935064935,8,4,2
38,1.920367350369307,1.985064935064935,8,4,2
39,1.920367350369307,1.985064935064935,8,4,2
40,1.920367350369307,1.985064935064935,8,4,2
41,1.920367350369307,1.985064935064935,8,4,2
42,1.920367350369307,1.985064935064935,8,4,2
43,1.920367350369307,1.985064935064935,8,4,2
44,1.920367350369307,1.985064935064935,8,4,2
45,1.920367350369307,1.985064935064935,8,4,2
46,1.920367350369307,1.985064935064935,8,4,2
47,1.920367350369307,1.985064935064935,8,4,2
48,1.920367350369307,1.985064935064935,8,4,2
49,1.920367350369307,1.985064935064935,8,4,2
50,1.920367350369307,1.985064935064935,8,4,2
51,1.920367350369307,1.985064935064935,8,4,2
52,1.920367350369307,1.985064935064935,8,4,2
53,1.920367350369307,1.985064935064935,8,4,2
54,1.920367350369307,1.985064935064935,8,4,2
55,1.920367350369307,1.985064935064935,8,4,2
56,1.920367350369307,1.985064935064935,8,4,2
57,1.938613387047772,2.005262804828022,8,5,2
58,1.938613387047772,2.005262804828022,8,5,2
59,1.938613387047772,2.005262804828022,8,5,2
60,1.938613387047772,2.005262804828022,8,5,2
61,1.9720585232650898,2.0403783703119567,8,5,2
62,1.9720585232650898,2.0403783703119567,8,5,2
63,1.9720585232650898,2.0403783703119567,8,5,2
64,1.9720585232650898,2.0403783703119567,8,5,2
65,1.9720585232650898,2.0403783703119567,8,5,2
66,1.9720585232650898,2.0403783703119567,8,5,2
67,1.9720585232650898,2.0403783703119567,8,5,2
68,1.9720585232650898,2.0403783703119567,8,5,2
69,1.9720585232650898,2.0403783703119567,8,5,2
70,1.9720585232650898,2.0403783703119567,8,5,2
71,1.9720585232650898,2.0403783703119567,8,5,2
72,1.9720585232650898,2.0403783703119567,8,5,2
73,1.9720585232650898,2.0403783703119567,8,5,2
74,1.9720585232650898,2.0403783703119567,8,5,2
75,1.9720585232650898,2.0403783703119567,8,5,2
76,1.9720585232650898,2.0403783703119567,8,5,2
77,1.9720585232650898,2.0403783703119567,8,5,2
78,1.9720585232650898,2.0403783703119567,8,5,2
79,1.9720585232650898,2.0403783703119567,8,5,2
80,1.9720585232650898,2.0403783703119567,8,5,2
81,1.9720585232650898,2.0403783703119567,8,5,2
82,1.9720585232650898,2.0403783703119567,8,5,2
83,1.9720585232650898,2.0403783703119567,8,5,2
84,1.9720585232650898,2.0403783703119567,8,5,2
85,1.9720585232650898,2.0403783703119567,8,5,2
86,1.9720585232650898,2.0403783703119567,8,5,2
87,1.9720585232650898,2.0403783703119567,8,5,2
88,1.9720585232650898,2.0403783703119567,8,5,2
89,1.9720585232650898,2.0403783703119567,8,5,2
90,1.9720585232650898,2.0403783703119567,8,5,2
91,1.9720585232650898,2.0403783703119567,8,5,2
92,1.9720585232650898,2.0403783703119567,8,5,2
93,1.9720585232650898,2.0403783703119567,8,5,2
94,1.9720585232650898,2.0403783703119567,8,5,2
95,1.9720585232650898,2.0403783703119567,8,5,2
96,1.9720585232650898,2.0403783703119567,8,5,2
97,1.9720585232650898,2.0403783703119567,8,5,2
98,1.9720585232650898,2.0403783703119567,8,5,2
99,1.9720585232650898,2.0403783703119567,8,5,2
100,1.9720585232650898,2.0403783703119567,8,5,2
101,1.9720585232650898,2.0403783703119567,8,5,2
102,1.9720585232650898,2.0403783703119567,8,5,2
103,1.9720585232650898,2.0403783703119567,8,5,2
104,1.9720585232650898,2.0403783703119567,8,5,2
105,1.9720585232650898,2.0403783703119567,8,5,2
106,1.9720585232650898,2.0403783703119567,8,5,2
107,1.9720585232650898,2.0403783703119567,8,5,2
108,1.9720585232650898,2.0403783703119567,8,5,2
109,1.9720585232650898,2.0403783703119567,8,5,2
110,1.9720585232650898,2.0403783703119567,8,5,2
111,1.9720585232650898,2.0403783703119567,8,5,2
112,1.9720585232650898,2.0403783703119567,8,5,2
113,1.9720585232650898,2.0403783703119567,8,5,2
114,1.9720585232650898,2.0403783703119567,8,5,2
115,1.9720585232650898,2.0403783703119567,8,5,2
116,1.9720585232650898,2.0403783703119567,8,5,2
117,1.9720585232650898,2.0403783703119567,8,5,2
118,1.9720585232650898,2.0403783703119567,8,5,2
119,1.9720585232650898,2.0403783703119567,8,5,2
120,1.9720585232650898,2.0403783703119567,8,5,2
121,1.9720585232650898,2.0403783703119567,8,5,2
122,1.9720585232650898,2.0403783703119567,8,5,2
123,1.9720585232650898,2.0403783703119567,8,5,2
124,1.9720585232650898,2.0403783703119567,8,5,2
125,1.9720585232650898,2.0403783703119567,8,5,2
126,1.9720585232650898,2.0403783703119567,8,5,2
127,1.9720585232650898,2.0403783703119567,8,5,2
128,1.9720585232650898,2.0403783703119567,8,5,2
129,1.9720585232650898,2.0403783703119567,8,5,2
130,1.9720585232650898,2.0403783703119567,8,5,2
131,1.9720585232650898,2.0403783703119567,8,5,2
132,1.9720585232650898,2.0403783703119567,8,5,2
133,1.9720585232650898,2.0403783703119567,8,5,2
134,1.9720585232650898,2.0403783703119567,8,5,2
135,2.0042030348924307,2.07412835104651,8,5,2
136,2.0042030348924307,2.07412835104651,8,5,2
137,2.0042030348924307,2.07412835104651,8,5,2
138,2.0042030348924307,2.07412835104651,8,5,2
139,2.0042030348924307,2.07412835104651,8,5,2
140,2.0042030348924307,2.07412835104651,8,5,2
141,2.0042030348924307,2.07412835104651,8,5,2
142,2.0042030348924307,2.07412835104651,8,5,2
143,2.0042030348924307,2.07412835104651,8,5,2
144,2.0042030348924307,2.07412835104651,8,5,2
145,2.0042030348924307,2.07412835104651,8,5,2
146,2.0042030348924307,2.07412835104651,8,5,2
147,2.0042030348924307,2.07412835104651,8,5,2
148,2.0042030348924307,2.07412835104651,8,5,2
149,2.0042030348924307,2.07412835104651,8,5,2
150,2.0042030348924307,2.07412835104651,8,5,2
151,2.0042030348924307,2.07412835104651,8,5,2
152,2.0042030348924307,2.07412835104651,8,5,2
153,2.0042030348924307,2.07412835104651,8,5,2
154,2.0042030348924307,2.07412835104651,8,5,2
155,2.0042030348924307,2.07412835104651,8,5,2
156,2.0042030348924307,2.07412835104651,8,5,2
157,2.0042030348924307,2.07412835104651,8,5,2
158,2.0042030348924307,2.07412835104651,8,5,2
159,2.0042030348924307,2.07412835104651,8,5,2
160,2.0042030348924307,2.07412835104651,8,5,2
161,2.0042030348924307,2.07412835104651,8,5,2
162,2.0042030348924307,2.07412835104651,8,5,2
163,2.0042030348924307,2.07412835104651,8,5,2
164,2.0042030348924307,2.07412835104651,8,5,2
165,2.0042030348924307,2.07412835104651,8,5,2
166,2.0042030348924307,2.07412835104651,8,5,2
167,2.0042030348924307,2.07412835104651,8,5,2
168,2.0042030348924307,2.07412835104651,8,5,2
169,2.0042030348924307,2.07412835104651,8,5,2
170,2.0042030348924307,2.07412835104651,8,5,2
171,2.0042030348924307,2.07412835104651,8,5,2
172,2.0042030348924307,2.07412835104651,8,5,2
173,2.0042030348924307,2.07412835104651,8,5,2
174,2.0042030348924307,2.07412835104651,8,5,2
175,2.0042030348924307,2.07412835104651,8,5,2
176,2.0042030348924307,2.07412835104651,8,5,2
177,2.0042030348924307,2.07412835104651,8,5,2
178,2.0042030348924307,2.07412835104651,8,5,2
179,2.0042030348924307,2.07412835104651,8,5,2
180,2.0042030348924307,2.07412835104651,8,5,2
181,2.0042030348924307,2.07412835104651,8,5,2
182,2.0042030348924307,2.07412835104651,8,5,2
183,2.0042030348924307,2.07412835104651,8,5,2
184,2.0042030348924307,2.07412835104651,8,5,2
185,2.0042030348924307,2.07412835104651,8,5,2
186,2.0042030348924307,2.07412835104651,8,5,2
187,2.0042030348924307,2.07412835104651,8,5,2
188,2.0042030348924307,2.07412835104651,8,5,2
189,2.0042030348924307,2.07412835104651,8,5,2
190,2.0042030348924307,2.07412835104651,8,5,2
191,2.0042030348924307,2.07412835104651,8,5,2
192,2.0042030348924307,2.07412835104651,8,5,2
193,2.0042030348924307,2.07412835104651,8,5,2
194,2.0042030348924307,2.07412835104651,8,5,2
195,2.0042030348924307,2.07412835104651,8,5,2
196,2.0042030348924307,2.07412835104651,8,5,2
197,2.0042030348924307,2.07412835104651,8,5,2
198,2.0042030348924307,2.07412835104651,8,5,2
199,2.0042030348924307,2.07412835104651,8,5,2
200,2.0042030348924307,2.07412835104651,8,5,2
201,2.0042030348924307,2.07412835104651,8,5,2
202,2.0042030348924307,2.07412835104651,8,5,2
203,2.0042030348924307,2.07412835104651,8,5,2
204,2.0042030348924307,2.07412835104651,8,5,2
205,2.0042030348924307,2.07412835104651,8,5,2
206,2.0042030348924307,2.07412835104651,8,5,2
207,2.0042030348924307,2.07412835104651,8,5,2
208,2.0042030348924307,2.07412835104651,8,5,2
209,2.0042030348924307,2.07412835104651,8,5,2
210,2.0042030348924307,2.07412835104651,8,5,2
211,2.0042030348924307,2.07412835104651,8,5,2
212,2.0042030348924307,2.07412835104651,8,5,2
213,2.0042030348924307,2.07412835104651,8,5,2
214,2.0042030348924307,2.07412835104651,8,5,2
215,2.0042030348924307,2.07412835104651,8,5,2
216,2.0042030348924307,2.07412835104651,8,5,2
217,2.0042030348924307,2.07412835104651,8,5,2
218,2.0042030348924307,2.07412835104651,8,5,2
219,2.0042030348924307,2.07412835104651,8,5,2
220,2.0042030348924307,2.07412835104651,8,5,2
221,2.0042030348924307,2.07412835104651,8,5,2
222,2.0042030348924307,2.07412835104651,8,5,2
223,2.0042030348924307,2.07412835104651,8,5,2
224,2.0042030348924307,2.07412835104651,8,5,2
225,2.0042030348924307,2.07412835104651,8,5,2
226,2.0042030348924307,2.07412835104651,8,5,2
227,2.0042030348924307,2.07412835104651,8,5,2
228,2.0042030348924307,2.07412835104651,8,5,2
