No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.0797041493112949,1.096171340736558,12,2,2
1,1.2377923085874487,1.267357910906298,9,4,2
2,1.2377923085874487,1.267357910906298,9,4,2
3,1.256670982741281,1.287179487179487,9,4,2
4,1.2780772441921426,1.3075738354598925,10,3,2
5,1.2780772441921426,1.3075738354598925,10,3,2
6,1.2976805387970967,1.3312778084206656,8,4,2
7,1.2976805387970967,1.3312778084206656,8,4,2
8,1.3528532070878783,1.3892060953231167,9,5,2
9,1.3780485713024895,1.4302272467740094,3,13,2
10,1.3780485713024895,1.4302272467740094,3,13,2
11,1.402186709966142,1.454530445119535,5,13,1
12,1.5063706552490574,1.555593668579729,6,6,1
13,1.5063706552490574,1.555593668579729,6,6,1
14,1.5415390796765207,1.5925185925185925,6,6,1
15,1.5526892773812306,1.6031851625579352,7,6,1
16,1.5526892773812306,1.6031851625579352,7,6,1
17,1.5526892773812306,1.6031851625579352,7,6,1
18,1.5526892773812306,1.6031851625579352,7,6,1
19,1.5526892773812306,1.6031851625579352,7,6,1
20,1.5526892773812306,1.6031851625579352,7,6,1
21,1.5526892773812306,1.6031851625579352,7,6,1
22,1.5526892773812306,1.6031851625579352,7,6,1
23,1.5831138090515011,1.638250843131893,4,8,3
24,1.5831138090515011,1.638250843131893,4,8,3
25,1.6563532141623067,1.726594027441485,3,18,3
26,1.6563532141623067,1.726594027441485,3,18,3
27,1.6563532141623067,1.726594027441485,3,18,3
28,1.6563532141623067,1.726594027441485,3,18,3
29,1.6563532141623067,1.726594027441485,3,18,3
30,1.6563532141623067,1.726594027441485,3,18,3
31,1.6563532141623067,1.726594027441485,3,18,3
32,1.6563532141623067,1.726594027441485,3,18,3
33,1.6563532141623067,1.726594027441485,3,18,3
34,1.6563532141623067,1.726594027441485,3,18,3
35,1.6563532141623067,1.726594027441485,3,18,3
36,1.6563532141623067,1.726594027441485,3,18,3
37,1.6563532141623067,1.726594027441485,3,18,3
38,1.6563532141623067,1.726594027441485,3,18,3
39,1.6563532141623067,1.726594027441485,3,18,3
40,1.6563532141623067,1.726594027441485,3,18,3
41,1.6563532141623067,1.726594027441485,3,18,3
42,1.6563532141623067,1.726594027441485,3,18,3
43,1.6563532141623067,1.726594027441485,3,18,3
44,1.6563532141623067,1.726594027441485,3,18,3
45,1.6563532141623067,1.726594027441485,3,18,3
46,1.6563532141623067,1.726594027441485,3,18,3
47,1.6563532141623067,1.726594027441485,3,18,3
48,1.6563532141623067,1.726594027441485,3,18,3
49,1.6960175227506158,1.7578341013824883,6,10,2
50,1.6960175227506158,1.7578341013824883,6,10,2
51,1.6960175227506158,1.7578341013824883,6,10,2
52,1.6960175227506158,1.7578341013824883,6,10,2
53,1.6960175227506158,1.7578341013824883,6,10,2
54,1.6960175227506158,1.7578341013824883,6,10,2
55,1.6960175227506158,1.7578341013824883,6,10,2
56,1.6960175227506158,1.7578341013824883,6,10,2
57,1.6960175227506158,1.7578341013824883,6,10,2
58,1.6960175227506158,1.7578341013824883,6,10,2
59,1.6960175227506158,1.7578341013824883,6,10,2
60,1.6960175227506158,1.7578341013824883,6,10,2
61,1.6960175227506158,1.7578341013824883,6,10,2
62,1.6960175227506158,1.7578341013824883,6,10,2
63,1.6960175227506158,1.7578341013824883,6,10,2
64,1.6960175227506158,1.7578341013824883,6,10,2
65,1.6960175227506158,1.7578341013824883,6,10,2
66,1.6960175227506158,1.7578341013824883,6,10,2
67,1.6960175227506158,1.7578341013824883,6,10,2
68,1.6960175227506158,1.7578341013824883,6,10,2
69,1.6960175227506158,1.7578341013824883,6,10,2
70,1.6960175227506158,1.7578341013824883,6,10,2
71,1.6960175227506158,1.7578341013824883,6,10,2
72,1.6960175227506158,1.7578341013824883,6,10,2
73,1.6960175227506158,1.7578341013824883,6,10,2
74,1.6960175227506158,1.7578341013824883,6,10,2
75,1.6960175227506158,1.7578341013824883,6,10,2
76,1.6960175227506158,1.7578341013824883,6,10,2
77,1.6960175227506158,1.7578341013824883,6,10,2
78,1.6960175227506158,1.7578341013824883,6,10,2
79,1.7031532666475957,1.7642857142857142,6,9,2
80,1.7031532666475957,1.7642857142857142,6,9,2
81,1.7031532666475957,1.7642857142857142,6,9,2
82,1.7031532666475957,1.7642857142857142,6,9,2
83,1.7031532666475957,1.7642857142857142,6,9,2
84,1.7031532666475957,1.7642857142857142,6,9,2
85,1.7031532666475957,1.7642857142857142,6,9,2
86,1.7031532666475957,1.7642857142857142,6,9,2
87,1.7031532666475957,1.7642857142857142,6,9,2
88,1.7031532666475957,1.7642857142857142,6,9,2
89,1.7031532666475957,1.7642857142857142,6,9,2
90,1.7031532666475957,1.7642857142857142,6,9,2
91,1.7031532666475957,1.7642857142857142,6,9,2
92,1.7054559929196063,1.7667034510433386,5,8,2
93,1.7054559929196063,1.7667034510433386,5,8,2
94,1.7054559929196063,1.7667034510433386,5,8,2
95,1.7054559929196063,1.7667034510433386,5,8,2
96,1.7054559929196063,1.7667034510433386,5,8,2
97,1.7054559929196063,1.7667034510433386,5,8,2
98,1.7054559929196063,1.7667034510433386,5,8,2
99,1.7212614131506292,1.7832982786295455,5,8,2
100,1.7212614131506292,1.7832982786295455,5,8,2
101,1.7212614131506292,1.7832982786295455,5,8,2
102,1.7212614131506292,1.7832982786295455,5,8,2
103,1.7212614131506292,1.7832982786295455,5,8,2
104,1.7212614131506292,1.7832982786295455,5,8,2
105,1.7212614131506292,1.7832982786295455,5,8,2
106,1.7212614131506292,1.7832982786295455,5,8,2
107,1.7212614131506292,1.7832982786295455,5,8,2
108,1.7639548961700098,1.8291646311675622,4,9,3
109,1.7639548961700098,1.8291646311675622,4,9,3
110,1.7639548961700098,1.8291646311675622,4,9,3
111,1.7639548961700098,1.8291646311675622,4,9,3
112,1.7639548961700098,1.8291646311675622,4,9,3
