,mq,No. Clus,Max clus,Min clus
0,2.0449479350817716,6,7,2
1,2.0449479350817716,6,7,2
2,2.0449479350817716,6,7,2
3,2.0436555999659074,6,7,2
4,2.0231056639119602,6,7,2
5,2.0231056639119602,6,7,2
6,1.956887124589721,6,7,2
7,1.956887124589721,6,7,2
8,1.9556299100649919,6,7,2
9,1.9450605378763526,6,6,2
10,1.9417173564032646,6,7,2
11,1.9383006074550508,6,6,2
12,1.9214262440068892,6,7,2
13,1.9214262440068892,6,7,2
14,1.9014994264994265,6,6,2
15,1.8998550331773663,6,7,2
16,1.891526405283521,6,7,2
17,1.8911616161616163,6,7,2
18,1.8837752984612068,6,7,2
19,1.8828299435716316,6,6,2
20,1.8837752984612068,6,7,2
21,1.8753214621882401,6,7,2
22,1.8678148924627798,6,7,2
23,1.8678148924627798,6,7,2
24,1.867637250959584,6,7,2
25,1.867637250959584,6,7,2
26,1.8453124497475315,6,7,2
27,1.8232150478629352,6,7,2
28,1.821565662765274,6,7,2
29,1.8212715220850237,6,8,2
30,1.819997594997595,6,6,2
31,1.8164005857293242,6,7,2
32,1.8134812792479136,6,6,2
33,1.8088190693535484,6,8,2
34,1.8058458165875044,6,6,2
35,1.8056752278376138,6,8,2
36,1.797113997113997,6,7,2
37,1.788840155945419,6,6,2
38,1.777971147446621,6,7,2
39,1.7515007143410664,6,8,2
40,1.7427671625947485,6,7,2
41,1.7342602034146468,6,6,2
42,1.7303147098632734,6,7,2
43,1.7189393939393938,6,7,2
44,1.6716832932003212,6,6,2
45,1.624239350912779,6,7,2
46,1.6079758367582777,6,6,2
47,1.601196410767697,6,6,2
48,1.5939404560235215,6,6,2
49,1.5420691947147065,6,7,2
