No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.0238746213407557,1.0396344436027631,11,3,2
1,1.1424083318647205,1.1661694191490457,10,4,2
2,1.4218053992511965,1.4595210727969348,8,3,3
3,1.4218053992511965,1.4595210727969348,8,3,3
4,1.502134876689589,1.5438626346595985,8,3,3
5,1.502134876689589,1.5438626346595985,8,3,3
6,1.558116705512646,1.607843137254902,5,6,4
7,1.558116705512646,1.607843137254902,5,6,4
8,1.6308259175815392,1.6841838368741326,5,6,4
9,1.6308259175815392,1.6841838368741326,5,6,4
10,1.6308259175815392,1.6841838368741326,5,6,4
11,1.6308259175815392,1.6841838368741326,5,6,4
12,1.642224463347682,1.6961516870772768,5,6,4
13,1.6548777924047793,1.7094369911707372,5,6,4
14,1.6626719591833348,1.7186609686609686,5,6,3
15,1.6626719591833348,1.7186609686609686,5,6,3
16,1.6626719591833348,1.7186609686609686,5,6,3
17,1.7599809316743995,1.8197895442477487,5,6,4
18,1.8136938544002486,1.8761851780719705,5,6,4
19,1.8136938544002486,1.8761851780719705,5,6,4
20,1.8136938544002486,1.8761851780719705,5,6,4
21,1.8136938544002486,1.8761851780719705,5,6,4
22,1.8136938544002486,1.8761851780719705,5,6,4
23,1.8136938544002486,1.8761851780719705,5,6,4
24,1.8136938544002486,1.8761851780719705,5,6,4
25,1.8136938544002486,1.8761851780719705,5,6,4
26,1.8136938544002486,1.8761851780719705,5,6,4
27,1.861209140308235,1.9271141601650075,5,6,3
28,1.861209140308235,1.9271141601650075,5,6,3
29,1.896433270534254,1.9640975721484197,5,6,3
30,1.896433270534254,1.9640975721484197,5,6,3
31,1.896433270534254,1.9640975721484197,5,6,3
32,1.896433270534254,1.9640975721484197,5,6,3
33,1.896433270534254,1.9640975721484197,5,6,3
34,1.9050678589030727,1.9742039463852286,5,7,3
35,1.9050678589030727,1.9742039463852286,5,7,3
36,1.9050678589030727,1.9742039463852286,5,7,3
37,1.9050678589030727,1.9742039463852286,5,7,3
38,1.9224914383984641,1.9914572245080722,5,6,3
39,1.9224914383984641,1.9914572245080722,5,6,3
40,1.9224914383984641,1.9914572245080722,5,6,3
41,1.9313510408440293,2.0017998512300093,5,7,3
42,1.9313510408440293,2.0017998512300093,5,7,3
43,1.9313510408440293,2.0017998512300093,5,7,3
44,1.9313510408440293,2.0017998512300093,5,7,3
45,1.9313510408440293,2.0017998512300093,5,7,3
46,1.935482180940319,2.006137322593019,5,7,3
47,1.935482180940319,2.006137322593019,5,7,3
48,1.935482180940319,2.006137322593019,5,7,3
49,1.935482180940319,2.006137322593019,5,7,3
50,1.935482180940319,2.006137322593019,5,7,3
51,1.935482180940319,2.006137322593019,5,7,3
52,1.935482180940319,2.006137322593019,5,7,3
53,1.935482180940319,2.006137322593019,5,7,3
54,1.935482180940319,2.006137322593019,5,7,3
55,1.935482180940319,2.006137322593019,5,7,3
56,1.935482180940319,2.006137322593019,5,7,3
57,1.935482180940319,2.006137322593019,5,7,3
58,1.935482180940319,2.006137322593019,5,7,3
59,1.935482180940319,2.006137322593019,5,7,3
60,1.935482180940319,2.006137322593019,5,7,3
61,1.935482180940319,2.006137322593019,5,7,3
62,1.935482180940319,2.006137322593019,5,7,3
63,1.935482180940319,2.006137322593019,5,7,3
64,1.935482180940319,2.006137322593019,5,7,3
65,1.935482180940319,2.006137322593019,5,7,3
66,1.935482180940319,2.006137322593019,5,7,3
67,1.935482180940319,2.006137322593019,5,7,3
68,1.935482180940319,2.006137322593019,5,7,3
69,1.935482180940319,2.006137322593019,5,7,3
70,1.935482180940319,2.006137322593019,5,7,3
71,1.935482180940319,2.006137322593019,5,7,3
72,1.935482180940319,2.006137322593019,5,7,3
73,1.9931360623378322,2.0666707476764863,5,7,3
74,1.9931360623378322,2.0666707476764863,5,7,3
75,1.9931360623378322,2.0666707476764863,5,7,3
76,1.9931360623378322,2.0666707476764863,5,7,3
77,1.9931360623378322,2.0666707476764863,5,7,3
78,1.9931360623378322,2.0666707476764863,5,7,3
79,1.9931360623378322,2.0666707476764863,5,7,3
80,2.0039446134383794,2.0780191357198627,5,7,3
81,2.0039446134383794,2.0780191357198627,5,7,3
82,2.0039446134383794,2.0780191357198627,5,7,3
83,2.0039446134383794,2.0780191357198627,5,7,3
84,2.0039446134383794,2.0780191357198627,5,7,3
85,2.0039446134383794,2.0780191357198627,5,7,3
86,2.0039446134383794,2.0780191357198627,5,7,3
87,2.0039446134383794,2.0780191357198627,5,7,3
88,2.009643723839694,2.084002890224469,5,7,3
89,2.009643723839694,2.084002890224469,5,7,3
90,2.009643723839694,2.084002890224469,5,7,3
91,2.009643723839694,2.084002890224469,5,7,3
92,2.009643723839694,2.084002890224469,5,7,3
93,2.009643723839694,2.084002890224469,5,7,3
94,2.009643723839694,2.084002890224469,5,7,3
95,2.009643723839694,2.084002890224469,5,7,3
96,2.009643723839694,2.084002890224469,5,7,3
97,2.009643723839694,2.084002890224469,5,7,3
98,2.009643723839694,2.084002890224469,5,7,3
99,2.009643723839694,2.084002890224469,5,7,3
100,2.009643723839694,2.084002890224469,5,7,3
101,2.009643723839694,2.084002890224469,5,7,3
102,2.009643723839694,2.084002890224469,5,7,3
103,2.009643723839694,2.084002890224469,5,7,3
104,2.009643723839694,2.084002890224469,5,7,3
105,2.009643723839694,2.084002890224469,5,7,3
106,2.009643723839694,2.084002890224469,5,7,3
107,2.009643723839694,2.084002890224469,5,7,3
108,2.009643723839694,2.084002890224469,5,7,3
109,2.009643723839694,2.084002890224469,5,7,3
110,2.009643723839694,2.084002890224469,5,7,3
111,2.009643723839694,2.084002890224469,5,7,3
112,2.009643723839694,2.084002890224469,5,7,3
113,2.009643723839694,2.084002890224469,5,7,3
114,2.009643723839694,2.084002890224469,5,7,3
115,2.009643723839694,2.084002890224469,5,7,3
116,2.009643723839694,2.084002890224469,5,7,3
