,mq,No. Clus,Max clus,Min clus
0,2.0510456842453633,7,5,2
1,2.0510456842453633,7,5,2
2,1.8808075890072682,9,4,2
3,1.8526007625272332,10,5,2
4,1.845151362227383,10,4,2
5,1.8429402493858063,10,4,2
6,1.8017556517556517,10,3,2
7,1.7976061427280938,10,4,2
8,1.794599257327452,10,3,2
9,1.6857298474945535,11,3,2
10,1.6857298474945535,11,3,2
11,1.6879412094929336,9,4,2
12,1.684181559181559,6,9,2
13,1.6679894179894181,10,3,2
14,1.635930735930736,9,3,2
15,1.6101706383036307,9,5,2
16,1.5806878306878307,11,3,2
17,1.5632613198536118,10,3,2
18,1.4985632183908044,10,3,2
19,1.4996017711534955,9,4,2
20,1.46981286580691,7,5,2
21,1.458219303046889,11,3,2
22,1.4596866096866097,10,4,2
23,1.4540620410185627,10,4,2
24,1.4223523921799783,10,4,2
25,1.4083740333740336,9,4,2
26,1.3943387648630616,10,4,2
27,1.3786594950388051,7,8,2
28,1.3756815387525416,6,6,2
29,1.3386832130807145,6,6,2
30,1.331364768129474,10,3,2
31,1.3323490239007478,9,5,2
32,1.3224062571888657,11,4,1
33,1.2922262922262924,11,4,2
34,1.2947415956136887,6,9,2
35,1.288105413105413,10,4,2
36,1.2878982325790835,9,6,2
37,1.2824256522532385,7,8,2
38,1.2751322751322751,6,14,2
39,1.243018219832736,8,7,2
40,1.2367496807151979,5,15,2
41,1.2210169460169462,10,4,2
42,1.2198814914332157,10,3,1
43,1.2331591492482583,6,13,2
44,1.226404853128991,4,18,2
45,1.2233318028772575,5,16,2
46,1.2067099567099566,4,14,3
47,1.192867317867318,11,4,2
48,1.1921758637275879,7,9,2
49,1.141044957221428,11,4,1
