,mq,No. Clus,Max clus,Min clus
0,1.8000073681108164,7,9,1
1,1.8000073681108164,7,9,1
2,1.6526276276276277,7,9,1
3,1.6176158547957236,9,8,1
4,1.593013468013468,6,13,2
5,1.5728908188585606,5,10,1
6,1.561923076923077,7,10,1
7,1.538978494623656,3,20,2
8,1.5206671982987774,10,5,1
9,1.5076271767448235,6,10,1
10,1.4805622009569377,5,11,2
11,1.4781746031746033,5,15,2
12,1.4674031007751938,8,5,1
13,1.470877378435518,6,11,1
14,1.4638945062352544,7,11,2
15,1.4638945062352544,7,11,2
16,1.4592351330954116,7,12,1
17,1.4505326882013536,11,3,1
18,1.456439393939394,6,11,2
19,1.4367576437631677,10,5,1
20,1.416947609083159,9,5,2
21,1.399909636500034,6,11,2
22,1.3950816531401238,7,9,2
23,1.3871793381384174,10,4,2
24,1.3718108946969516,11,3,1
25,1.359965034965035,8,6,1
26,1.3340440638266724,9,5,1
27,1.336665146447755,6,14,2
28,1.2628189926016011,8,10,2
29,1.2599281737430403,9,5,1
30,1.1906704706618079,11,3,2
31,1.1602548900374985,11,5,1
32,1.1371661629078507,11,4,2
33,1.136876307835387,11,4,2
34,1.1352564102564102,4,10,1
35,1.1192080691925894,10,4,2
36,1.1338536812674744,3,13,2
37,1.107013113592061,4,13,2
38,1.0917460317460317,4,15,2
39,1.066635978127441,3,12,2
40,1.0461316801492302,12,3,1
41,1.0407996475069645,5,10,1
42,1.0330485613095344,6,12,2
43,0.9837570621468926,3,20,2
44,0.9317572538310951,3,8,8
45,0.9264891024481818,11,4,1
46,0.9138428621187242,12,4,1
47,0.9016917293233082,5,16,1
48,0.8647840531561461,6,8,1
49,0.7077569375395463,10,5,1
