No_gen, Best, MQ, No_clus, max_clus, min_clus
0,0.9643675654366077,0.9844389844389844,3,8,8
1,1.0189164121672565,1.0417122927908087,5,6,4
2,1.0189164121672565,1.0417122927908087,5,6,4
3,1.1458056129576584,1.1936685288640596,3,20,2
4,1.2225356737117317,1.2648661454631602,4,12,2
5,1.2225356737117317,1.2648661454631602,4,12,2
6,1.2523493488967774,1.2961688752973157,4,12,2
7,1.456746968099157,1.5024509803921569,5,6,3
8,1.5815551894302606,1.6407764907764908,4,12,3
9,1.6294788013403803,1.697336834208552,3,17,3
10,1.6294788013403803,1.697336834208552,3,17,3
11,1.6294788013403803,1.697336834208552,3,17,3
12,1.7149279364582493,1.7808105872622002,4,10,1
13,1.7149279364582493,1.7808105872622002,4,10,1
14,1.7149279364582493,1.7808105872622002,4,10,1
15,1.7149279364582493,1.7808105872622002,4,10,1
16,1.7149279364582493,1.7808105872622002,4,10,1
17,1.73003140885928,1.7914657666345226,6,7,1
18,1.73003140885928,1.7914657666345226,6,7,1
19,1.73003140885928,1.7914657666345226,6,7,1
20,1.73003140885928,1.7914657666345226,6,7,1
21,1.73003140885928,1.7914657666345226,6,7,1
22,1.73003140885928,1.7914657666345226,6,7,1
23,1.73003140885928,1.7914657666345226,6,7,1
24,1.73003140885928,1.7914657666345226,6,7,1
25,1.73003140885928,1.7914657666345226,6,7,1
26,1.73003140885928,1.7914657666345226,6,7,1
27,1.73003140885928,1.7914657666345226,6,7,1
28,1.7541802205377468,1.8178612276019823,6,8,1
29,1.7541802205377468,1.8178612276019823,6,8,1
30,1.7541802205377468,1.8178612276019823,6,8,1
31,1.7541802205377468,1.8178612276019823,6,8,1
32,1.7541802205377468,1.8178612276019823,6,8,1
33,1.7541802205377468,1.8178612276019823,6,8,1
34,1.7541802205377468,1.8178612276019823,6,8,1
35,1.7541802205377468,1.8178612276019823,6,8,1
36,1.7541802205377468,1.8178612276019823,6,8,1
37,1.7541802205377468,1.8178612276019823,6,8,1
38,1.7541802205377468,1.8178612276019823,6,8,1
39,1.7541802205377468,1.8178612276019823,6,8,1
40,1.7541802205377468,1.8178612276019823,6,8,1
41,1.7541802205377468,1.8178612276019823,6,8,1
42,1.7541802205377468,1.8178612276019823,6,8,1
43,1.7541802205377468,1.8178612276019823,6,8,1
44,1.7541802205377468,1.8178612276019823,6,8,1
45,1.7541802205377468,1.8178612276019823,6,8,1
46,1.7541802205377468,1.8178612276019823,6,8,1
47,1.7541802205377468,1.8178612276019823,6,8,1
48,1.7541802205377468,1.8178612276019823,6,8,1
49,1.7541802205377468,1.8178612276019823,6,8,1
50,1.7541802205377468,1.8178612276019823,6,8,1
51,1.7541802205377468,1.8178612276019823,6,8,1
52,1.7541802205377468,1.8178612276019823,6,8,1
53,1.7541802205377468,1.8178612276019823,6,8,1
54,1.7541802205377468,1.8178612276019823,6,8,1
55,1.7541802205377468,1.8178612276019823,6,8,1
56,1.7541802205377468,1.8178612276019823,6,8,1
57,1.7657832712028094,1.819638514076295,10,3,2
58,1.7657832712028094,1.819638514076295,10,3,2
59,1.7657832712028094,1.819638514076295,10,3,2
60,1.7657832712028094,1.819638514076295,10,3,2
61,1.7657832712028094,1.819638514076295,10,3,2
62,1.7657832712028094,1.819638514076295,10,3,2
63,1.7657832712028094,1.819638514076295,10,3,2
64,1.7657832712028094,1.819638514076295,10,3,2
65,1.7657832712028094,1.819638514076295,10,3,2
66,1.7657832712028094,1.819638514076295,10,3,2
67,1.7657832712028094,1.819638514076295,10,3,2
68,1.7657832712028094,1.819638514076295,10,3,2
69,1.7657832712028094,1.819638514076295,10,3,2
70,1.7657832712028094,1.819638514076295,10,3,2
71,1.7657832712028094,1.819638514076295,10,3,2
72,1.7657832712028094,1.819638514076295,10,3,2
73,1.7657832712028094,1.819638514076295,10,3,2
74,1.7657832712028094,1.819638514076295,10,3,2
75,1.7657832712028094,1.819638514076295,10,3,2
76,1.7657832712028094,1.819638514076295,10,3,2
77,1.7657832712028094,1.819638514076295,10,3,2
78,1.8089674641222577,1.8660200851954973,10,4,2
79,1.8089674641222577,1.8660200851954973,10,4,2
80,1.8089674641222577,1.8660200851954973,10,4,2
81,1.8089674641222577,1.8660200851954973,10,4,2
82,1.8089674641222577,1.8660200851954973,10,4,2
83,1.8089674641222577,1.8660200851954973,10,4,2
84,1.8089674641222577,1.8660200851954973,10,4,2
85,1.8089674641222577,1.8660200851954973,10,4,2
86,1.8089674641222577,1.8660200851954973,10,4,2
87,1.8089674641222577,1.8660200851954973,10,4,2
