0: [[5, 6, 3, 13, 2, 1, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
1: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
2: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
3: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
4: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
5: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
6: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
7: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
8: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
9: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
10: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
11: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
12: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
13: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
14: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
15: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
16: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
17: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
18: [[5, 1, 6, 3, 13, 2, 4], [14, 7, 11, 10], [9, 8, 15, 20, 19, 18, 16, 17, 12], [21, 23, 22, 24]]
