,mq,No. Clus,Max clus,Min clus
0,2.057573358724254,6,6,2
1,2.057573358724254,6,6,2
2,2.057573358724254,6,6,2
3,2.057573358724254,6,6,2
4,2.057573358724254,6,6,2
5,2.057573358724254,6,6,2
6,2.057573358724254,6,6,2
7,2.057573358724254,6,6,2
8,2.057573358724254,6,6,2
9,2.057573358724254,6,6,2
10,2.057573358724254,6,6,2
11,2.057573358724254,6,6,2
12,2.057573358724254,6,6,2
13,2.057573358724254,6,6,2
14,2.057573358724254,6,6,2
15,2.057573358724254,6,6,2
16,2.057573358724254,6,6,2
17,2.057573358724254,6,6,2
18,2.057573358724254,6,6,2
19,2.057573358724254,6,6,2
20,2.057573358724254,6,6,2
21,2.057573358724254,6,6,2
22,2.057573358724254,6,6,2
23,2.057573358724254,6,6,2
24,2.057573358724254,6,6,2
25,2.057573358724254,6,6,2
26,2.057573358724254,6,6,2
27,2.057573358724254,6,6,2
28,2.0093434343434344,6,6,2
29,2.008969788381553,6,6,2
30,2.007460317460317,6,7,2
31,2.0042839105339105,6,6,2
32,2.003485162180814,6,7,2
33,1.9868389780154487,6,6,2
34,1.9868389780154487,6,6,2
35,1.9854649270153781,6,6,2
36,1.9854649270153781,6,6,2
37,1.9614646464646464,6,7,2
38,1.9614646464646464,6,7,2
39,1.9548815918381135,6,7,2
40,1.9355266662568895,6,6,2
41,1.9321447289607667,6,6,2
42,1.914730546306573,6,6,2
43,1.914730546306573,6,6,2
44,1.8633874846837457,6,5,2
45,1.7132111991447032,6,6,2
46,1.659837885801375,6,6,2
47,1.659837885801375,6,6,2
48,1.58510101010101,6,6,2
49,1.537222222222222,6,7,2
