0: [[2, 1], [4], [7, 11], [15, 8, 9], [10, 6, 14, 13], [12, 17, 19, 20, 5], [18, 16, 3], [22], [21, 23, 24]]
1: [[2], [4], [7, 11], [15, 8, 9], [10, 6, 14], [12, 17, 19, 20, 1, 5, 13], [18, 16, 3], [22], [21, 23, 24]]
2: [[2], [4], [7, 11], [15, 8, 9], [10, 6, 14, 13, 12, 5], [17, 19, 20, 1], [18, 16, 3], [22], [21, 23, 24]]
3: [[2], [7, 11], [15, 8], [9, 10, 1], [6, 14, 4], [13, 12, 5], [17, 19, 20], [18, 16, 3], [22], [21, 23, 24]]
4: [[2], [7, 11], [15, 8], [9, 10, 1], [6, 14], [13, 12, 5], [17, 19], [20, 18], [16, 22, 3, 4], [21, 23, 24]]
5: [[2], [4], [7, 11], [15, 8], [9, 10], [6, 14, 13], [12, 17, 5], [19, 20, 1], [18, 16, 22, 3], [21, 23, 24]]
6: [[2], [4], [7, 11], [15, 8], [9, 10, 1], [6, 5], [14, 13], [12, 17, 19, 20, 18], [16, 22, 3], [21, 23, 24]]
7: [[2], [7], [11], [15, 8], [9, 10, 1], [6, 14, 4], [13, 12, 5], [17, 19, 20], [18, 16, 22, 3], [21, 23, 24]]
8: [[2], [4], [7, 11], [15, 8, 9], [10, 6, 3], [14, 13], [12, 17, 5], [19, 20, 1], [18, 16], [22, 21, 23, 24]]
9: [[2], [4], [7, 11, 15, 8], [9, 10, 1], [6, 14], [13, 12, 5], [17, 19, 20, 18], [16, 22, 3], [21, 23, 24]]
10: [[2], [5], [7], [11, 15, 8], [9, 10, 1], [6, 14, 13, 12, 17, 19, 20], [18, 16, 22, 3, 4], [21, 23, 24]]
11: [[2], [4, 7], [11, 15, 8], [9, 10, 1], [6, 14], [13, 12, 5], [17, 19, 20], [18, 16, 22, 3], [21, 23, 24]]
12: [[2], [4, 7], [11, 15, 8], [9, 10, 1], [6, 14], [13, 12, 5], [17, 19, 20], [18, 16, 22, 3], [21, 23, 24]]
13: [[2], [4], [7, 11], [15, 8], [9, 10, 6], [14, 13, 12, 17, 5], [19, 20, 1], [18, 16, 3], [22, 21], [23, 24]]
14: [[2], [4], [7, 11, 15, 8], [9, 10, 1, 3], [6, 14, 13, 5], [12, 17, 19, 20, 18, 16], [22, 21, 23, 24]]
15: [[2], [4], [7, 11, 15, 8], [9, 10], [6, 14], [13, 12, 1], [17, 19, 5], [20, 18, 16, 22, 3], [21, 23, 24]]
16: [[2], [4], [7, 11, 15], [8, 9, 10, 1], [6, 14, 13], [12, 17, 19, 5], [20, 18, 16, 3], [22, 21, 23, 24]]
17: [[2], [4, 7, 11], [15, 8], [9, 10, 6], [14, 13], [12, 17, 5], [19, 20, 18, 1], [16, 22, 3], [21, 23, 24]]
18: [[2], [4], [7, 11], [15, 8], [9, 10, 6, 1], [14, 13, 12], [17, 19, 5], [20, 18, 16, 3], [22, 21], [23, 24]]
19: [[2], [4, 7], [11, 15], [8, 9, 10], [6, 5], [14, 13, 12], [17, 19, 20, 1], [18, 16, 22, 3], [21, 23, 24]]
20: [[2, 1], [4, 7], [11, 15, 8, 9], [10, 6, 14, 13], [12, 17, 19, 20, 18, 5], [16, 22, 3], [21], [23, 24]]
21: [[2], [7], [11, 15, 8], [9], [10, 6, 14], [13, 12, 5], [17, 19], [20, 18, 16, 1, 3], [22, 21, 4], [23, 24]]
22: [[2], [4, 7], [11, 15, 8], [9, 10, 1, 3], [6, 14, 5], [13, 12, 17, 19, 20, 18, 16], [22, 21, 23, 24]]
23: [[2], [4, 7, 11], [15, 8], [9, 10, 6, 1], [14, 13, 12], [17, 19, 5], [20, 18, 16, 3], [22, 21], [23, 24]]
24: [[2], [4, 7], [11, 15], [8, 9, 10], [6, 14, 13], [12, 17, 5], [19, 20, 1], [18, 16, 3], [22, 21, 23, 24]]
25: [[2], [4, 7], [11, 15], [8, 9], [10, 6, 14], [13, 12, 5], [17, 19], [20, 18, 16, 1, 3], [22, 21, 23, 24]]
26: [[2], [4, 7, 11, 15], [8, 9, 5], [10, 6, 3], [14, 13], [12, 17, 19, 20, 1], [18, 16], [22, 21], [23, 24]]
27: [[2], [4, 7, 11], [15, 8], [9, 10, 6, 1], [14, 13], [12, 17, 19, 5], [20, 18, 16, 3], [22, 21], [23, 24]]
28: [[2], [4, 7], [11, 15, 8], [9, 10, 1], [6, 14], [13, 12, 5], [17, 19, 20], [18, 16, 22, 21, 3], [23, 24]]
29: [[2], [4, 7], [11, 15, 8, 9], [10, 6, 14], [13, 12, 17, 5], [19, 20, 18, 1], [16, 22, 21, 3], [23, 24]]
30: [[2], [7], [11, 15], [8, 9, 5], [10, 6, 14], [13, 12, 1], [17, 19], [20, 18], [16, 22, 21, 3, 4], [23, 24]]
31: [[2], [4], [7, 11, 15], [8, 9, 10, 1], [6, 14, 13], [12, 17, 19, 5], [20, 18], [16, 22, 21, 3], [23, 24]]
32: [[2], [4, 7], [11, 15, 8], [9, 10, 1], [6, 14], [13, 12, 5], [17, 19, 20, 18], [16, 22, 21, 3], [23, 24]]
33: [[2], [4, 7], [11, 15], [8, 9], [10, 6, 3], [14, 13], [12, 17, 5], [19, 20, 18, 16, 1], [22, 21, 23, 24]]
34: [[2, 1], [5, 4], [7, 11], [15, 8, 9], [10, 6, 14, 13, 12, 17, 19, 20, 18, 16, 22, 21, 23, 24, 3]]
35: [[2, 1], [3, 5, 4], [7, 11], [15, 9, 10, 6, 14, 13, 12, 17, 19, 20, 18, 16, 22, 21, 23, 24, 8]]
36: [[2, 1], [5, 4, 7], [11, 15, 8, 9], [10, 6, 14, 3], [13, 12, 17, 19, 20, 18, 16, 22, 21, 23, 24]]
37: [[2], [4, 7], [11, 15], [8, 9, 10], [6, 14], [13, 12, 17, 5], [19, 20, 18, 1], [16, 22, 21, 3], [23, 24]]
38: [[2], [4], [7], [11, 15, 8], [9, 10, 1, 3], [6, 14, 13], [12, 17, 19, 5], [20, 18], [16, 22, 21, 23, 24]]
39: [[1, 2], [3, 5, 4], [7, 11, 15, 8, 9, 10, 6, 14, 13, 12, 17, 19, 20, 18, 16, 22, 21, 23, 24]]
40: [[2], [5, 4], [7, 11, 15], [8, 9, 10, 1, 3], [6, 14, 13, 12, 17, 19, 20, 18, 16, 22, 21, 23, 24]]
41: [[2], [4, 7, 11], [15, 8, 5], [9, 10, 1, 3], [6, 14, 13, 12, 17, 19, 20, 18, 16, 22, 21, 23, 24]]
42: [[2], [4, 7], [11, 15, 8], [9, 10, 1, 3], [6, 14, 13, 5], [12, 17, 19, 20, 18, 16, 22, 21, 23, 24]]
43: [[2], [5, 4, 7, 11], [15, 8, 9, 10, 6, 14, 13, 12, 17, 19, 20, 18, 16, 22, 21, 23, 24, 1, 3]]
44: [[2], [4, 7], [11], [15, 8], [9, 10, 1, 3], [6, 14, 13, 12, 5], [17, 19, 20, 18, 16, 22, 21, 23, 24]]
45: [[1, 2], [3, 5], [4, 7, 11, 15, 8, 9, 10, 6, 14, 13, 12, 17, 19, 20, 18, 16, 22, 21, 23, 24]]
46: [[2], [5], [4, 7, 11, 15], [8, 9, 10, 6, 14, 13, 12, 17, 19, 20, 18, 16, 22, 21, 23, 24, 1, 3]]
