0: [[4, 3, 5, 14, 10, 6], [9, 2, 1, 13], [7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
1: [[4, 3, 5, 14, 9, 10, 6], [1, 2, 13], [7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
2: [[3, 6, 5, 14, 9, 1, 2, 13, 10], [7, 11, 12], [8, 15, 16, 17, 20, 18], [19, 22, 4], [21, 23, 24]]
3: [[3, 6, 5, 14, 9, 1, 2, 10], [13, 7, 11, 12], [8, 15, 16, 17, 20, 18], [19, 22, 4], [21, 23, 24]]
4: [[3, 6, 5, 14, 4, 10], [9, 1, 2, 13], [7, 11, 12, 8, 15, 16, 17, 20, 18], [19, 22], [21, 23, 24]]
5: [[3, 6, 5, 14, 4, 10], [9, 1, 2, 13], [7, 11, 12, 8, 15, 16, 17, 20, 18], [19, 22], [21, 23, 24]]
6: [[3, 6, 5, 14, 4, 10], [9, 1, 2, 13], [7, 11, 12, 8, 15, 16, 17, 20, 18], [19, 22], [21, 23, 24]]
7: [[4, 3, 5, 10, 6], [14, 9, 1, 2, 13], [7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
8: [[4, 3, 5, 10, 6], [14, 9, 1, 2, 13], [7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
9: [[4, 3, 5, 10, 6], [14, 9, 1, 2, 13], [7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
10: [[4, 3, 10], [6, 5, 14, 9, 1, 2, 13], [7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
11: [[3, 6, 10], [5, 14, 9, 1, 2, 13, 7, 11, 12, 8], [15, 16, 17, 20, 18], [19, 22, 4], [21, 23, 24]]
12: [[10, 6, 5, 14, 4, 3], [9, 1, 2, 13, 7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
13: [[10, 6, 5, 14, 4, 3], [9, 1, 2, 13, 7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
14: [[4, 3, 5, 14, 10, 6], [9, 1], [2, 13, 7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
15: [[4, 3, 5, 14, 10, 6], [9, 1], [2, 13, 7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
16: [[3, 6, 5, 14, 9, 1, 10], [2, 13, 7, 11, 12, 8, 15], [16, 17, 20, 18], [19, 22, 4], [21, 23, 24]]
17: [[4, 3], [5, 14, 9, 1, 2, 13, 10, 6], [7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
18: [[4, 3], [5, 14, 9, 1, 2, 13, 10, 6], [7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
19: [[10, 6, 5, 14, 9, 4, 3], [1, 2, 13, 7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
20: [[10, 6, 5, 14, 9, 4, 3], [1, 2, 13, 7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
21: [[3, 6, 5, 4], [14, 9, 1, 2, 13, 10], [7, 11, 12, 8, 15, 16, 17, 20, 18], [19, 22], [21, 23, 24]]
22: [[3, 4, 10], [6, 5, 14, 9, 1, 2, 13], [7, 11], [12, 8, 15, 16, 17, 20, 18, 19], [22, 21, 23, 24]]
23: [[10, 6, 5, 14, 9, 1, 2, 13, 4], [7, 11, 12, 8, 15], [16, 17, 20, 18, 19, 22, 3], [21, 23, 24]]
24: [[10, 6, 5, 4, 3], [14, 9, 1, 2, 13, 7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
25: [[10, 6, 5, 4, 3], [14, 9, 1, 2, 13, 7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
26: [[4, 3, 5, 14, 9, 10, 6], [1, 2, 13], [7, 11], [12, 8, 15, 16, 17, 20, 18, 19, 22, 21], [23, 24]]
27: [[10, 6, 5, 14, 9, 1, 2, 13, 4, 3], [7, 11, 12, 8, 15, 16], [17, 20, 18, 19, 22], [21, 23, 24]]
28: [[10, 6, 5, 14, 4, 3], [9, 1, 2, 13, 7], [11, 12], [8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
29: [[4, 3], [5, 14, 9, 1, 6], [2, 13, 7, 11, 10], [12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
30: [[10, 6, 5, 14, 9, 1, 2, 13, 7], [11, 12, 8, 15], [16, 17, 20, 18, 19, 22, 4, 3], [21, 23, 24]]
31: [[10, 6, 5, 14, 9, 1, 2, 13, 7], [11, 12, 8, 15], [16, 17, 20, 18, 19, 22, 4, 3], [21, 23, 24]]
32: [[4, 3, 5, 14, 9, 1, 10, 6], [2, 13], [7, 11, 12, 8], [15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
33: [[4, 3, 6, 5, 14, 9, 2, 10, 1], [13, 7], [11, 12, 8, 15, 16, 17, 20, 18], [19, 22], [21, 23, 24]]
34: [[3, 6], [5, 14, 9, 1, 2, 13, 7, 4, 10], [11, 12, 8, 15, 16, 17, 20, 18], [19, 22], [21, 23, 24]]
35: [[3, 6, 5, 4], [14, 9, 1, 2, 10], [13, 7], [11, 12, 8, 15, 16, 17, 20, 18, 19], [22, 21, 23, 24]]
36: [[4, 3, 5, 14, 9, 1, 2, 10, 6], [13, 7], [11, 12, 8, 15], [16, 17, 20, 18, 19, 22], [21, 23, 24]]
37: [[4, 3, 5, 14, 9, 1, 2, 10, 6], [13, 7], [11, 12, 8, 15], [16, 17, 20, 18, 19, 22], [21, 23, 24]]
38: [[4, 3, 5, 14, 9, 1, 2, 10, 6], [13, 7], [11, 12, 8, 15], [16, 17, 20, 18, 19, 22], [21, 23, 24]]
39: [[4, 3], [5, 14, 9, 1, 2, 10, 6], [13, 7], [11, 12, 8, 15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
40: [[10, 4, 3], [6, 5], [14, 9, 1, 2, 13, 7], [11, 12, 8, 15, 16, 17, 20, 18, 19], [22, 21, 23, 24]]
41: [[3, 10, 6, 5, 14, 9, 1, 2, 4], [13, 7, 11, 12], [8, 15, 16, 17, 20, 18, 19], [22, 21], [23, 24]]
42: [[10, 6, 5, 14, 9, 1, 2, 4, 3], [13, 7, 11, 12], [8, 15, 16, 17, 20, 18, 19, 22, 21], [23, 24]]
43: [[4, 3, 5, 14, 9, 1, 2, 10, 6], [13, 7], [11, 12, 8], [15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
44: [[4, 3, 5, 14, 9, 1, 2, 10, 6], [13, 7], [11, 12, 8], [15, 16, 17, 20, 18, 19, 22], [21, 23, 24]]
45: [[10, 6, 5, 14, 9, 4, 3], [1, 2, 13, 7], [11, 12, 8, 15, 16, 17, 20], [18, 19], [22, 21, 23, 24]]
46: [[3, 4], [6, 5, 14, 9, 1, 2, 10], [13, 7], [11, 12, 8, 15, 16, 17, 20, 18, 19], [22, 21, 23, 24]]
47: [[4, 3, 10, 6, 5], [14, 9, 1, 2, 13, 7, 11, 12], [8, 15], [16, 17, 20, 18, 19, 22, 21], [23, 24]]
48: [[3, 10, 6, 5, 14, 9, 1, 2, 4], [13, 7, 11, 8, 12], [15, 16, 17, 20, 18, 19], [22, 21], [23, 24]]
49: [[4, 3, 5, 14, 9, 1, 10, 6], [2, 13], [7, 11], [12, 8, 15, 16, 17, 20, 18], [19, 22, 21, 23, 24]]
