No_gen, Best, MQ, No_clus, max_clus, min_clus
0,0.9800043004438199,1.0817414264222776,5,5,4
1,1.143988924242734,1.3091575091575094,4,8,4
2,1.2176669331899506,1.4017322599880742,4,8,4
3,1.2962471603562231,1.4844367015098723,5,6,4
4,1.4193830465736692,1.655183991404781,4,8,4
5,1.4193830465736692,1.655183991404781,4,8,4
6,1.4193830465736692,1.655183991404781,4,8,4
7,1.4193830465736692,1.655183991404781,4,8,4
8,1.3935396466617418,1.6654585724353166,3,15,4
9,1.3935396466617418,1.6654585724353166,3,15,4
10,1.5292468509683579,1.7718522612139633,6,5,3
11,1.5292468509683579,1.7718522612139633,6,5,3
12,1.5292468509683579,1.7718522612139633,6,5,3
13,1.5292468509683579,1.7718522612139633,6,5,3
14,1.5292468509683579,1.7718522612139633,6,5,3
15,1.550269665413309,1.7982669517954202,6,5,3
16,1.550269665413309,1.7982669517954202,6,5,3
17,1.550269665413309,1.7982669517954202,6,5,3
18,1.550269665413309,1.7982669517954202,6,5,3
19,1.550269665413309,1.7982669517954202,6,5,3
20,1.550269665413309,1.7982669517954202,6,5,3
21,1.550269665413309,1.7982669517954202,6,5,3
22,1.550269665413309,1.7982669517954202,6,5,3
23,1.562077433601062,1.813103145300994,6,5,3
24,1.562077433601062,1.813103145300994,6,5,3
25,1.562077433601062,1.813103145300994,6,5,3
26,1.562077433601062,1.813103145300994,6,5,3
27,1.562077433601062,1.813103145300994,6,5,3
28,1.562077433601062,1.813103145300994,6,5,3
29,1.562077433601062,1.813103145300994,6,5,3
30,1.562077433601062,1.813103145300994,6,5,3
31,1.562077433601062,1.813103145300994,6,5,3
32,1.562077433601062,1.813103145300994,6,5,3
33,1.562077433601062,1.813103145300994,6,5,3
34,1.562077433601062,1.813103145300994,6,5,3
35,1.562077433601062,1.813103145300994,6,5,3
36,1.623194839630154,1.8792092257856532,6,4,4
37,1.623194839630154,1.8792092257856532,6,4,4
38,1.623194839630154,1.8792092257856532,6,4,4
39,1.6281379018621478,1.8961066286524735,6,5,3
40,1.6281379018621478,1.8961066286524735,6,5,3
41,1.6281379018621478,1.8961066286524735,6,5,3
