,mq,No. Clus,Max clus,Min clus
0,1.9887364561446874,7,6,1
1,1.9887364561446874,7,6,1
2,1.8808850739623015,9,3,2
3,1.8352332852332853,7,6,1
4,1.7879305477131564,7,4,3
5,1.7711438635520946,8,5,1
6,1.7458585858585858,10,4,1
7,1.7122054614404028,8,4,2
8,1.7100191180513682,10,3,2
9,1.7089124325966432,8,5,1
10,1.6778052454368244,8,4,2
11,1.663526969856893,10,3,2
12,1.660649332196647,10,4,1
13,1.660649332196647,10,4,1
14,1.607044622044622,7,5,2
15,1.586911958459273,10,4,1
16,1.6010989010989012,3,19,2
17,1.5785962185962186,9,4,1
18,1.5641264329344824,7,5,2
19,1.5217021905102401,7,4,2
20,1.5189911537737624,8,4,2
21,1.4834001737599474,8,4,2
22,1.4781846291437084,9,4,2
23,1.4545436105476672,10,4,1
24,1.4340619270941772,9,4,2
25,1.4044809877974178,10,4,1
26,1.379011510990916,10,4,2
27,1.3736176846217414,10,3,2
28,1.370523940347117,10,4,2
29,1.366113467330506,9,3,2
30,1.3441207840184823,7,5,2
31,1.325235764470706,11,4,2
32,1.312357506195383,10,3,1
33,1.2762161566275687,12,3,1
34,1.2476824595832166,6,10,2
35,1.2099047071446356,8,7,2
36,1.2021677327647478,8,6,1
37,1.190814855267188,11,4,1
38,1.118623188405797,8,6,1
39,1.109676682952545,5,12,2
40,1.1090134077346354,6,9,2
41,1.0971212121212122,3,19,2
42,1.0603737214791504,4,16,2
43,1.0398936170212765,3,21,1
44,0.999703557312253,4,15,2
45,0.9803921568627451,3,18,2
46,0.9687416086579167,7,11,1
47,0.9214164976335362,8,9,2
48,0.9214164976335362,8,9,2
49,0.8867848970251716,5,15,2
