,mq,No. Clus,Max clus,Min clus
0,2.2722717369776193,5,5,3
1,2.2722717369776193,5,5,3
2,2.1363636363636362,6,6,2
3,2.1363636363636362,6,6,2
4,2.123196803196803,6,4,2
5,2.095365418894831,8,4,1
6,2.089141414141414,7,3,2
7,2.0241033476327592,7,4,2
8,2.0058917346843046,8,4,1
9,1.986998186998187,6,5,2
10,1.9697855750487328,5,5,3
11,1.9502525252525251,7,4,2
12,1.907323232323232,7,3,2
13,1.866577540106952,4,9,3
14,1.8593067674281785,5,8,2
15,1.8566923883432112,5,8,2
16,1.8404952890247006,7,3,2
17,1.8412953060011883,7,5,1
18,1.8404952890247006,7,3,2
19,1.827259789546317,6,4,3
20,1.8219696969696968,5,6,3
21,1.8140134375428496,5,5,3
22,1.8110138653616914,6,4,2
23,1.7859479351233474,6,5,1
24,1.7753309492439928,7,4,2
25,1.7571619556913673,7,5,1
26,1.7276456515620602,6,5,3
27,1.7083194583194583,7,4,2
28,1.6931818181818181,7,4,1
29,1.6661211506546192,6,5,3
30,1.6693553178847296,6,7,1
31,1.661720654824103,8,4,1
32,1.6535103132161955,6,4,3
33,1.6384698819493493,5,8,3
34,1.6354150751209573,6,5,3
35,1.6384698819493493,5,8,3
36,1.6311882561882562,7,4,2
37,1.6157731157731159,8,3,2
38,1.613837412195199,6,6,1
39,1.5866403977859087,5,6,3
40,1.5531632110579479,4,12,2
41,1.5537868424325332,3,14,3
