,mq,No. Clus,Max clus,Min clus
0,2.130825389444315,5,5,2
1,2.130825389444315,5,5,2
2,2.0515983363042185,5,5,2
3,1.980891265597148,4,6,4
4,1.980891265597148,4,6,4
5,1.980891265597148,4,6,4
6,1.980891265597148,4,6,4
7,1.980891265597148,4,6,4
8,1.980891265597148,4,6,4
9,1.980891265597148,4,6,4
10,1.980891265597148,4,6,4
11,1.9246142093200915,5,5,1
12,1.9246142093200915,5,5,1
13,1.9085463328941588,5,5,2
14,1.9085463328941588,5,5,2
15,1.8665537091343543,5,5,2
16,1.856336898395722,5,5,2
17,1.856336898395722,5,5,2
18,1.8303030303030303,5,6,1
19,1.823904157857646,4,7,4
20,1.773509925312582,4,6,4
21,1.773509925312582,4,6,4
22,1.773509925312582,4,6,4
23,1.7426262626262625,4,6,4
24,1.7192344497607654,4,6,4
25,1.713070390965128,4,6,4
26,1.7001292201292202,5,5,1
27,1.6704995904995905,4,6,4
28,1.6622752200845508,5,5,1
29,1.6537373737373737,4,6,4
30,1.6381818181818182,5,5,2
31,1.5648807815809251,5,5,2
32,1.5603261945972942,5,5,2
33,1.5606994677962418,5,6,1
34,1.538526440879382,5,5,2
35,1.5140164183642444,5,5,2
36,1.5056890506805618,4,6,4
37,1.4942857142857142,4,5,5
38,1.472327141382869,5,5,2
39,1.4456606923810822,5,5,2
40,1.4261888663511382,5,6,2
41,1.3954116059379216,5,5,2
