,mq,No. Clus,Max clus,Min clus
0,2.265517493778363,6,5,2
1,2.158777213125039,8,4,2
2,2.158777213125039,8,4,2
3,2.1554896794027227,7,4,2
4,2.1124853407462103,7,4,2
5,2.0888230127360563,7,5,2
6,2.0427820971299235,8,4,2
7,1.991773846121672,6,5,2
8,1.9537037037037037,5,7,2
9,1.9492784992784993,7,6,2
10,1.9467344249952945,6,4,2
11,1.9324531024531026,8,5,2
12,1.9090555414084824,6,4,2
13,1.8842108209115882,7,4,2
14,1.857769423558897,5,8,2
15,1.8475690975690977,6,8,2
16,1.8350149850149853,7,5,2
17,1.8303179187214724,7,4,2
18,1.816081871345029,8,3,2
19,1.7973202614379087,6,6,2
20,1.7686996904024768,6,5,2
21,1.7614413484692124,7,5,2
22,1.7614413484692124,7,5,2
23,1.747827903091061,9,3,2
24,1.7346264846264847,9,3,2
25,1.707237207237207,7,4,1
26,1.6853569136177833,6,5,2
27,1.6484126984126983,8,4,2
28,1.6453823953823954,6,5,2
29,1.5798319327731092,4,11,2
30,1.56984126984127,7,5,2
31,1.5605972373000236,8,4,2
32,1.5598307098307096,7,5,1
33,1.5565427797135114,6,6,2
34,1.489169980346451,9,4,2
35,1.3725071225071224,9,4,2
36,1.3716248506571087,8,4,2
37,1.3197838109602817,9,4,2
38,1.2764983808462071,8,4,2
39,1.2501284026707755,3,9,5
40,1.239882270420443,6,7,2
41,1.1869747899159664,4,11,2
