No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.1211026633410297,1.1491642567958358,5,4,4
1,1.1915119581831635,1.224970291146762,7,4,1
2,1.1915119581831635,1.224970291146762,7,4,1
3,1.2965412793208175,1.3373546019198193,5,5,3
4,1.29536430125943,1.3488379684031857,4,12,2
5,1.365486278165514,1.410199411572409,6,4,1
6,1.543679247953406,1.5984717037348617,5,5,3
7,1.543679247953406,1.5984717037348617,5,5,3
8,1.543679247953406,1.5984717037348617,5,5,3
9,1.601467353832243,1.6567003367003366,5,4,4
10,1.627232210499618,1.6839225589225588,5,4,4
11,1.6696053113104283,1.7301065575665118,6,4,2
12,1.6696053113104283,1.7301065575665118,6,4,2
13,1.669997215821452,1.731934731934732,5,5,3
14,1.669997215821452,1.731934731934732,5,5,3
15,1.8023138781339023,1.8717357652443127,5,5,3
16,1.8023138781339023,1.8717357652443127,5,5,3
17,1.8023138781339023,1.8717357652443127,5,5,3
18,1.8023138781339023,1.8717357652443127,5,5,3
19,1.8454983244353365,1.9173629002576371,6,5,2
20,1.8454983244353365,1.9173629002576371,6,5,2
21,1.8454983244353365,1.9173629002576371,6,5,2
22,1.8454983244353365,1.9173629002576371,6,5,2
23,1.8454983244353365,1.9173629002576371,6,5,2
24,1.8454983244353365,1.9173629002576371,6,5,2
25,1.8454983244353365,1.9173629002576371,6,5,2
26,1.8454983244353365,1.9173629002576371,6,5,2
27,1.8454983244353365,1.9173629002576371,6,5,2
28,1.8454983244353365,1.9173629002576371,6,5,2
29,1.8454983244353365,1.9173629002576371,6,5,2
30,1.8454983244353365,1.9173629002576371,6,5,2
31,1.8454983244353365,1.9173629002576371,6,5,2
32,1.8454983244353365,1.9173629002576371,6,5,2
33,1.8454983244353365,1.9173629002576371,6,5,2
34,1.8454983244353365,1.9173629002576371,6,5,2
35,1.8454983244353365,1.9173629002576371,6,5,2
36,1.8454983244353365,1.9173629002576371,6,5,2
37,1.8454983244353365,1.9173629002576371,6,5,2
38,1.8454983244353365,1.9173629002576371,6,5,2
39,1.8454983244353365,1.9173629002576371,6,5,2
40,1.8454983244353365,1.9173629002576371,6,5,2
41,1.8454983244353365,1.9173629002576371,6,5,2
42,1.8454983244353365,1.9173629002576371,6,5,2
43,1.8454983244353365,1.9173629002576371,6,5,2
44,1.8454983244353365,1.9173629002576371,6,5,2
