0: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
1: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
2: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
3: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
4: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
5: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
6: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
7: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
8: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
9: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
10: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
11: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
12: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
13: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
14: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
15: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
16: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
17: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
18: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
19: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
20: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
21: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
22: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
23: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
24: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
25: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
26: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
27: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
28: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
29: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
30: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
31: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
32: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
33: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
34: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
35: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
36: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
37: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
38: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
39: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
40: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
41: [[9, 12, 14, 6, 2, 13, 17], [16, 4, 19, 20, 18, 15], [1, 10, 7, 8, 3, 5, 11]]
