No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.1457843991110113,1.175242092377642,6,4,3
1,1.2865877036646722,1.322595704948646,7,3,2
2,1.2865877036646722,1.322595704948646,7,3,2
3,1.2865877036646722,1.322595704948646,7,3,2
4,1.2865877036646722,1.322595704948646,7,3,2
5,1.2865877036646722,1.322595704948646,7,3,2
6,1.3157952243291082,1.3633540372670807,4,8,3
7,1.3175854842015662,1.3652455615519912,4,8,3
8,1.4279425612824075,1.4818448857738733,4,8,3
9,1.5292519759684489,1.5818142641672053,6,5,3
10,1.5292519759684489,1.5818142641672053,6,5,3
11,1.5292519759684489,1.5818142641672053,6,5,3
12,1.5292519759684489,1.5818142641672053,6,5,3
13,1.5292519759684489,1.5818142641672053,6,5,3
14,1.5292519759684489,1.5818142641672053,6,5,3
15,1.5292519759684489,1.5818142641672053,6,5,3
16,1.6408122082486298,1.701098901098901,5,5,3
17,1.6408122082486298,1.701098901098901,5,5,3
18,1.6536980340102756,1.714713601810376,5,5,3
19,1.6536980340102756,1.714713601810376,5,5,3
20,1.6536980340102756,1.714713601810376,5,5,3
21,1.6536980340102756,1.714713601810376,5,5,3
22,1.6536980340102756,1.714713601810376,5,5,3
23,1.6536980340102756,1.714713601810376,5,5,3
24,1.6536980340102756,1.714713601810376,5,5,3
25,1.6536980340102756,1.714713601810376,5,5,3
26,1.6536980340102756,1.714713601810376,5,5,3
27,1.6536980340102756,1.714713601810376,5,5,3
28,1.6536980340102756,1.714713601810376,5,5,3
29,1.6536980340102756,1.714713601810376,5,5,3
30,1.6536980340102756,1.714713601810376,5,5,3
31,1.6536980340102756,1.714713601810376,5,5,3
32,1.6536980340102756,1.714713601810376,5,5,3
33,1.6536980340102756,1.714713601810376,5,5,3
34,1.6536980340102756,1.714713601810376,5,5,3
35,1.6536980340102756,1.714713601810376,5,5,3
36,1.6536980340102756,1.714713601810376,5,5,3
37,1.6536980340102756,1.714713601810376,5,5,3
38,1.6536980340102756,1.714713601810376,5,5,3
39,1.6536980340102756,1.714713601810376,5,5,3
40,1.6536980340102756,1.714713601810376,5,5,3
41,1.6536980340102756,1.714713601810376,5,5,3
42,1.6536980340102756,1.714713601810376,5,5,3
43,1.6536980340102756,1.714713601810376,5,5,3
44,1.6536980340102756,1.714713601810376,5,5,3
45,1.6536980340102756,1.714713601810376,5,5,3
46,1.6536980340102756,1.714713601810376,5,5,3
47,1.6536980340102756,1.714713601810376,5,5,3
48,1.6536980340102756,1.714713601810376,5,5,3
49,1.7004894844774625,1.764151767881402,5,5,3
50,1.7004894844774625,1.764151767881402,5,5,3
51,1.7595002290528339,1.8265004012570218,5,5,3
52,1.7595002290528339,1.8265004012570218,5,5,3
53,1.7595002290528339,1.8265004012570218,5,5,3
54,1.7595002290528339,1.8265004012570218,5,5,3
55,1.7595002290528339,1.8265004012570218,5,5,3
56,1.7595002290528339,1.8265004012570218,5,5,3
57,1.7595002290528339,1.8265004012570218,5,5,3
58,1.7595002290528339,1.8265004012570218,5,5,3
59,1.7595002290528339,1.8265004012570218,5,5,3
60,1.7595002290528339,1.8265004012570218,5,5,3
61,1.7595002290528339,1.8265004012570218,5,5,3
62,1.7595002290528339,1.8265004012570218,5,5,3
63,1.7595002290528339,1.8265004012570218,5,5,3
64,1.7595002290528339,1.8265004012570218,5,5,3
65,1.760123723204662,1.8271591627853487,6,5,2
66,1.760123723204662,1.8271591627853487,6,5,2
67,1.760123723204662,1.8271591627853487,6,5,2
68,1.760123723204662,1.8271591627853487,6,5,2
69,1.760123723204662,1.8271591627853487,6,5,2
70,1.760123723204662,1.8271591627853487,6,5,2
71,1.760123723204662,1.8271591627853487,6,5,2
72,1.760123723204662,1.8271591627853487,6,5,2
73,1.760123723204662,1.8271591627853487,6,5,2
74,1.760123723204662,1.8271591627853487,6,5,2
75,1.760123723204662,1.8271591627853487,6,5,2
76,1.760123723204662,1.8271591627853487,6,5,2
77,1.760123723204662,1.8271591627853487,6,5,2
78,1.760123723204662,1.8271591627853487,6,5,2
79,1.760123723204662,1.8271591627853487,6,5,2
80,1.760123723204662,1.8271591627853487,6,5,2
81,1.760123723204662,1.8271591627853487,6,5,2
82,1.760123723204662,1.8271591627853487,6,5,2
83,1.760123723204662,1.8271591627853487,6,5,2
84,1.760123723204662,1.8271591627853487,6,5,2
85,1.760123723204662,1.8271591627853487,6,5,2
86,1.760123723204662,1.8271591627853487,6,5,2
87,1.760123723204662,1.8271591627853487,6,5,2
88,1.760123723204662,1.8271591627853487,6,5,2
89,1.760123723204662,1.8271591627853487,6,5,2
90,1.760123723204662,1.8271591627853487,6,5,2
91,1.760123723204662,1.8271591627853487,6,5,2
92,1.760123723204662,1.8271591627853487,6,5,2
93,1.760123723204662,1.8271591627853487,6,5,2
94,1.760123723204662,1.8271591627853487,6,5,2
95,1.760123723204662,1.8271591627853487,6,5,2
96,1.760123723204662,1.8271591627853487,6,5,2
97,1.760123723204662,1.8271591627853487,6,5,2
98,1.760123723204662,1.8271591627853487,6,5,2
99,1.760123723204662,1.8271591627853487,6,5,2
100,1.760123723204662,1.8271591627853487,6,5,2
101,1.760123723204662,1.8271591627853487,6,5,2
102,1.760123723204662,1.8271591627853487,6,5,2
103,1.760123723204662,1.8271591627853487,6,5,2
104,1.760123723204662,1.8271591627853487,6,5,2
105,1.760123723204662,1.8271591627853487,6,5,2
106,1.760123723204662,1.8271591627853487,6,5,2
107,1.760123723204662,1.8271591627853487,6,5,2
108,1.760123723204662,1.8271591627853487,6,5,2
109,1.760123723204662,1.8271591627853487,6,5,2
110,1.760123723204662,1.8271591627853487,6,5,2
111,1.760123723204662,1.8271591627853487,6,5,2
112,1.760123723204662,1.8271591627853487,6,5,2
113,1.760123723204662,1.8271591627853487,6,5,2
114,1.760123723204662,1.8271591627853487,6,5,2
115,1.760123723204662,1.8271591627853487,6,5,2
116,1.760123723204662,1.8271591627853487,6,5,2
117,1.760123723204662,1.8271591627853487,6,5,2
118,1.760123723204662,1.8271591627853487,6,5,2
119,1.760123723204662,1.8271591627853487,6,5,2
120,1.760123723204662,1.8271591627853487,6,5,2
121,1.760123723204662,1.8271591627853487,6,5,2
122,1.760123723204662,1.8271591627853487,6,5,2
123,1.760123723204662,1.8271591627853487,6,5,2
124,1.760123723204662,1.8271591627853487,6,5,2
125,1.760123723204662,1.8271591627853487,6,5,2
126,1.760123723204662,1.8271591627853487,6,5,2
127,1.760123723204662,1.8271591627853487,6,5,2
128,1.760123723204662,1.8271591627853487,6,5,2
129,1.760123723204662,1.8271591627853487,6,5,2
130,1.760123723204662,1.8271591627853487,6,5,2
131,1.760123723204662,1.8271591627853487,6,5,2
132,1.760123723204662,1.8271591627853487,6,5,2
133,1.760123723204662,1.8271591627853487,6,5,2
134,1.760123723204662,1.8271591627853487,6,5,2
135,1.760123723204662,1.8271591627853487,6,5,2
136,1.760123723204662,1.8271591627853487,6,5,2
137,1.760123723204662,1.8271591627853487,6,5,2
138,1.760123723204662,1.8271591627853487,6,5,2
139,1.760123723204662,1.8271591627853487,6,5,2
140,1.760123723204662,1.8271591627853487,6,5,2
141,1.760123723204662,1.8271591627853487,6,5,2
142,1.760123723204662,1.8271591627853487,6,5,2
143,1.760123723204662,1.8271591627853487,6,5,2
144,1.760123723204662,1.8271591627853487,6,5,2
145,1.760123723204662,1.8271591627853487,6,5,2
146,1.760123723204662,1.8271591627853487,6,5,2
147,1.760123723204662,1.8271591627853487,6,5,2
148,1.760123723204662,1.8271591627853487,6,5,2
149,1.760123723204662,1.8271591627853487,6,5,2
150,1.760123723204662,1.8271591627853487,6,5,2
151,1.760123723204662,1.8271591627853487,6,5,2
152,1.760123723204662,1.8271591627853487,6,5,2
153,1.760123723204662,1.8271591627853487,6,5,2
154,1.760123723204662,1.8271591627853487,6,5,2
155,1.760123723204662,1.8271591627853487,6,5,2
156,1.760123723204662,1.8271591627853487,6,5,2
157,1.760123723204662,1.8271591627853487,6,5,2
158,1.760123723204662,1.8271591627853487,6,5,2
159,1.760123723204662,1.8271591627853487,6,5,2
160,1.760123723204662,1.8271591627853487,6,5,2
161,1.760123723204662,1.8271591627853487,6,5,2
162,1.760123723204662,1.8271591627853487,6,5,2
163,1.760123723204662,1.8271591627853487,6,5,2
164,1.760123723204662,1.8271591627853487,6,5,2
165,1.760123723204662,1.8271591627853487,6,5,2
166,1.760123723204662,1.8271591627853487,6,5,2
167,1.760123723204662,1.8271591627853487,6,5,2
168,1.760123723204662,1.8271591627853487,6,5,2
169,1.760123723204662,1.8271591627853487,6,5,2
170,1.760123723204662,1.8271591627853487,6,5,2
171,1.760123723204662,1.8271591627853487,6,5,2
172,1.760123723204662,1.8271591627853487,6,5,2
173,1.760123723204662,1.8271591627853487,6,5,2
174,1.760123723204662,1.8271591627853487,6,5,2
175,1.760123723204662,1.8271591627853487,6,5,2
176,1.760123723204662,1.8271591627853487,6,5,2
177,1.760123723204662,1.8271591627853487,6,5,2
178,1.760123723204662,1.8271591627853487,6,5,2
179,1.760123723204662,1.8271591627853487,6,5,2
180,1.760123723204662,1.8271591627853487,6,5,2
181,1.760123723204662,1.8271591627853487,6,5,2
182,1.760123723204662,1.8271591627853487,6,5,2
183,1.760123723204662,1.8271591627853487,6,5,2
184,1.760123723204662,1.8271591627853487,6,5,2
185,1.760123723204662,1.8271591627853487,6,5,2
186,1.760123723204662,1.8271591627853487,6,5,2
187,1.760123723204662,1.8271591627853487,6,5,2
188,1.760123723204662,1.8271591627853487,6,5,2
189,1.760123723204662,1.8271591627853487,6,5,2
190,1.760123723204662,1.8271591627853487,6,5,2
191,1.760123723204662,1.8271591627853487,6,5,2
192,1.760123723204662,1.8271591627853487,6,5,2
193,1.760123723204662,1.8271591627853487,6,5,2
194,1.760123723204662,1.8271591627853487,6,5,2
195,1.760123723204662,1.8271591627853487,6,5,2
196,1.760123723204662,1.8271591627853487,6,5,2
197,1.760123723204662,1.8271591627853487,6,5,2
198,1.760123723204662,1.8271591627853487,6,5,2
199,1.760123723204662,1.8271591627853487,6,5,2
200,1.760123723204662,1.8271591627853487,6,5,2
201,1.760123723204662,1.8271591627853487,6,5,2
202,1.760123723204662,1.8271591627853487,6,5,2
203,1.760123723204662,1.8271591627853487,6,5,2
204,1.760123723204662,1.8271591627853487,6,5,2
