,mq,No. Clus,Max clus,Min clus
0,1.9348928848928848,7,4,2
1,1.7453748006379584,7,4,2
2,1.6662637362637363,6,5,2
3,1.6438540534650374,5,7,2
4,1.6284458962090542,5,6,3
5,1.6098928848928848,7,4,2
6,1.6103896103896105,3,10,2
7,1.590993680648853,7,5,2
8,1.5771701271701273,6,7,2
9,1.5560606060606061,7,6,1
10,1.4415384615384614,7,5,2
11,1.4415384615384614,7,5,2
12,1.4008247879215623,6,7,2
13,1.4018473679490628,4,11,2
14,1.3942501942501941,6,4,2
15,1.3876600102406553,7,6,2
16,1.3857142857142857,4,10,2
17,1.3644383394383395,8,4,2
18,1.359775641025641,3,12,4
19,1.336060606060606,7,5,2
20,1.3378292939936776,3,13,3
21,1.3378292939936776,3,13,3
22,1.3304273504273505,6,5,2
23,1.3234126984126982,8,4,2
24,1.3227272727272728,6,8,2
25,1.315079365079365,4,13,2
26,1.3024891774891776,7,4,2
27,1.280078985342143,7,3,2
28,1.271201624462494,5,9,2
29,1.253922548040195,7,6,2
30,1.2584126984126986,6,9,2
31,1.2510946907498632,5,6,2
32,1.2428571428571429,8,3,2
33,1.2438672438672438,7,4,2
34,1.2428571428571429,7,5,2
35,1.2260683760683762,8,5,2
36,1.2256060909637347,5,9,2
37,1.1976495726495726,7,5,2
38,1.185953666216824,8,4,2
39,1.1637529137529137,6,5,1
40,1.149343339587242,7,7,1
41,1.1338461538461537,7,5,1
