It No., Best MQ, No clusters, max clus, min clus
1,1.8118831168831169,5,4,4
2,1.9396093037397386,5,5,3
3,1.7734733330806263,3,7,6
4,1.8946608946608947,5,4,4
5,2.0286587935329354,5,4,4
6,1.7734733330806263,3,7,6
7,1.912268537401093,4,6,4
8,1.6989662656807565,3,7,6
9,1.93261810653115,5,4,4
10,1.93261810653115,5,4,4
11,2.0369038208168644,5,4,4
12,2.092221462747778,6,4,3
13,1.9505583126550867,4,5,5
14,1.9168350168350168,4,5,5
15,1.8095785440613026,3,7,6
16,1.8498007368975111,4,5,5
17,1.7895622895622894,4,5,5
18,1.9087289301685586,7,4,2
19,1.7895622895622894,4,5,5
20,1.7895622895622894,4,5,5
21,1.9818266819669343,5,5,3
22,1.816249080277272,3,8,6
23,2.002832512315271,4,6,4
24,1.7696283437228753,4,5,5
25,1.998755672668716,5,4,4
26,1.7548282470883088,3,7,6
27,2.0375180375180375,5,4,4
28,2.0375180375180375,5,4,4
29,1.8498007368975111,4,5,5
30,1.7869498069498069,4,5,5
31,1.7760233918128654,3,7,6
