0: [[3, 1], [5, 7, 10, 2], [14, 8, 15, 6, 4], [13, 11, 12, 9], [16, 19, 17, 18, 20]]
1: [[3, 1], [5, 7, 10, 2], [14, 8, 15, 6, 4], [13, 11, 12, 9], [16, 19, 17, 18, 20]]
2: [[3, 1], [5, 7, 10], [2, 14, 8, 6, 4], [13, 11, 12, 15, 9], [16, 19, 17, 18, 20]]
3: [[3, 1], [5, 7, 10], [2, 14, 8, 6, 4], [11, 13, 15, 12, 9], [16, 19, 17, 18, 20]]
4: [[3, 1], [5, 7, 10], [2, 14, 8, 6, 4], [12, 13, 15, 11, 9], [16, 18, 17, 19, 20]]
5: [[3, 1], [5, 7, 10], [2, 14, 8, 6, 4], [13, 12, 11, 15, 9], [16, 19, 17, 18, 20]]
6: [[3, 1], [5, 7, 10, 2], [14, 8, 13, 6, 4], [11, 12, 15, 9], [16, 19, 17, 18, 20]]
7: [[3, 1], [5, 7, 10], [2, 14, 8, 15, 4], [6, 11, 9, 12, 13], [16, 19, 17, 18, 20]]
8: [[3, 1], [5, 7, 10], [2, 14, 8, 15, 6], [4, 11, 12, 13, 9], [16, 19, 17, 18, 20]]
9: [[3, 1], [5, 7, 10, 2, 14], [8, 6, 4], [13, 9, 12, 11, 15], [16, 18, 17, 19, 20]]
10: [[3, 1], [5, 7, 10, 2, 14], [8, 6, 4], [12, 13, 11, 15, 9], [16, 18, 17, 19, 20]]
11: [[3, 1], [5, 7, 10, 2, 14], [8, 6, 4], [13, 11, 12, 15, 9], [16, 18, 17, 19, 20]]
12: [[3, 1], [5, 7, 10, 2, 14], [8, 6, 4], [13, 11, 12, 15, 9], [16, 18, 17, 19, 20]]
13: [[3, 1], [5, 7, 10, 2], [14, 8, 6, 4, 12], [13, 11, 15, 9], [16, 19, 17, 18, 20]]
14: [[3, 1], [5, 7, 10, 2], [14, 8, 4, 6, 12], [9, 15, 11, 13], [16, 19, 17, 18, 20]]
15: [[3, 1, 5, 7], [10, 2], [14, 8, 15, 6, 4], [13, 11, 12, 9], [16, 19, 17, 18, 20]]
16: [[3, 1, 5], [7, 10], [2, 14, 8, 6, 4], [13, 9, 11, 15, 12], [16, 18, 17, 19, 20]]
17: [[3, 1, 5], [7, 10], [2, 14, 8, 6, 4], [13, 15, 11, 9, 12], [16, 19, 17, 18, 20]]
18: [[3, 1, 5], [7, 10], [2, 14, 8, 6, 4], [15, 12, 11, 13, 9], [16, 19, 17, 18, 20]]
19: [[3, 1, 5], [7, 10], [2, 14, 8, 6, 4], [13, 9, 15, 11, 12], [16, 19, 17, 18, 20]]
20: [[3, 1, 5], [7, 10], [2, 14, 8, 6, 4], [13, 12, 11, 15, 9], [16, 18, 17, 19, 20]]
21: [[3, 1, 5], [7, 10, 2, 14, 8], [6, 4], [13, 11, 12, 15, 9], [16, 18, 17, 19, 20]]
22: [[3, 1], [5, 7, 10], [2, 14, 8, 6, 4], [13, 12, 11, 15, 19], [16, 17, 18, 20, 9]]
23: [[3, 1, 5, 7, 10], [2, 14, 8, 6, 4], [12, 11, 15], [13, 9], [16, 19, 17, 18, 20]]
24: [[3, 1, 5, 7, 10], [2, 14, 8, 6, 4], [12, 13, 15], [11, 9], [16, 18, 17, 19, 20]]
25: [[3, 1, 5, 7], [10, 2, 6], [14, 8, 13, 4], [12, 11, 15, 9], [16, 18, 17, 19, 20]]
26: [[3, 1, 5, 7, 10], [2, 14, 8], [6, 4], [12, 15, 9, 11, 13], [16, 18, 17, 19, 20]]
27: [[3, 1, 5, 7, 10], [2, 14, 8], [6, 4], [13, 12, 11, 15, 9], [16, 18, 17, 19, 20]]
28: [[3, 1, 5, 7, 10], [2, 14, 8], [6, 4], [13, 12, 11, 15, 9], [16, 18, 17, 19, 20]]
29: [[3, 1, 5, 7, 10, 2], [14, 8, 4], [6, 9], [13, 12, 11, 15], [16, 19, 17, 18, 20]]
30: [[3, 1, 5, 7, 10], [2, 14, 8, 6, 4], [13, 12, 9], [11, 15], [16, 19, 17, 18, 20]]
31: [[3, 1, 5, 7, 10], [2, 14, 8], [13, 4], [6, 12, 11, 15, 9], [16, 18, 17, 19, 20]]
32: [[3, 1], [5, 7, 10, 2, 14], [8, 15, 6, 13, 12], [11, 4, 9], [16, 19, 17, 18, 20]]
33: [[3, 1, 5, 7, 10], [2, 14, 8, 6, 13], [4, 15], [9, 11, 12], [16, 18, 17, 19, 20]]
34: [[3, 1, 5, 7], [10, 2, 14, 8, 4], [6, 9], [11, 15, 13, 12], [16, 19, 17, 18, 20]]
35: [[3, 1, 5, 7], [10, 2, 14, 8, 4], [6, 12, 11, 15, 9], [13], [16, 19, 17, 18, 20]]
36: [[3, 1, 5, 7, 10], [2, 14, 8, 13], [6, 4], [12, 11, 15, 9], [16, 18, 17, 19, 20]]
37: [[3, 1, 5, 7], [10, 2, 14, 8, 13], [12, 11, 6, 4, 9], [15, 16, 17, 18, 19, 20]]
38: [[3, 1, 5, 7, 10, 9], [2, 14, 8, 4], [6, 12, 15], [11, 13], [16, 18, 17, 19, 20]]
39: [[3, 1, 5, 7, 10], [2, 14], [8, 6, 4], [12, 13, 11, 15, 9], [16, 19, 17, 18, 20]]
40: [[3, 1, 5, 7, 10], [2, 14, 8, 6], [4, 12], [15, 13, 11, 9], [16, 18, 17, 19, 20]]
41: [[3, 1, 5, 7, 10], [2, 14, 8, 6, 4], [15, 13, 11], [12, 9], [16, 19, 17, 18, 20]]
