No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.2454808481245183,1.2819918819918819,4,5,5
1,1.2454808481245183,1.2819918819918819,4,5,5
2,1.3465768077893845,1.387392140023719,6,4,3
3,1.4425499096225223,1.4859656683186095,9,4,2
4,1.4425499096225223,1.4859656683186095,9,4,2
5,1.5060002734412847,1.5572473503507986,4,5,5
6,1.5444639227928474,1.5964725587151216,5,4,4
7,1.6508211223076508,1.7145021645021645,4,7,4
8,1.6508211223076508,1.7145021645021645,4,7,4
9,1.6508211223076508,1.7145021645021645,4,7,4
10,1.6508211223076508,1.7145021645021645,4,7,4
11,1.7741671605769138,1.8476533628972653,4,7,2
12,1.7741671605769138,1.8476533628972653,4,7,2
13,1.7741671605769138,1.8476533628972653,4,7,2
14,1.7741671605769138,1.8476533628972653,4,7,2
15,1.7741671605769138,1.8476533628972653,4,7,2
16,1.7741671605769138,1.8476533628972653,4,7,2
17,1.7741671605769138,1.8476533628972653,4,7,2
18,1.8654888686300322,1.9427264977137098,4,7,3
19,1.8654888686300322,1.9427264977137098,4,7,3
20,1.8654888686300322,1.9427264977137098,4,7,3
21,1.8654888686300322,1.9427264977137098,4,7,3
22,1.8654888686300322,1.9427264977137098,4,7,3
23,1.8654888686300322,1.9427264977137098,4,7,3
24,1.8654888686300322,1.9427264977137098,4,7,3
25,1.8654888686300322,1.9427264977137098,4,7,3
26,1.8654888686300322,1.9427264977137098,4,7,3
27,1.8654888686300322,1.9427264977137098,4,7,3
28,1.8654888686300322,1.9427264977137098,4,7,3
29,1.943341243098123,2.0221543162719633,4,6,4
30,1.943341243098123,2.0221543162719633,4,6,4
31,1.943341243098123,2.0221543162719633,4,6,4
32,1.943341243098123,2.0221543162719633,4,6,4
33,1.943341243098123,2.0221543162719633,4,6,4
34,1.943341243098123,2.0221543162719633,4,6,4
35,1.943341243098123,2.0221543162719633,4,6,4
36,1.943341243098123,2.0221543162719633,4,6,4
37,1.943341243098123,2.0221543162719633,4,6,4
38,1.943341243098123,2.0221543162719633,4,6,4
39,1.943341243098123,2.0221543162719633,4,6,4
40,1.943341243098123,2.0221543162719633,4,6,4
41,1.943341243098123,2.0221543162719633,4,6,4
42,1.943341243098123,2.0221543162719633,4,6,4
43,1.943341243098123,2.0221543162719633,4,6,4
44,1.943341243098123,2.0221543162719633,4,6,4
45,1.943341243098123,2.0221543162719633,4,6,4
46,1.943341243098123,2.0221543162719633,4,6,4
47,1.943341243098123,2.0221543162719633,4,6,4
48,1.943341243098123,2.0221543162719633,4,6,4
49,1.943341243098123,2.0221543162719633,4,6,4
50,1.943341243098123,2.0221543162719633,4,6,4
51,1.943341243098123,2.0221543162719633,4,6,4
52,1.943341243098123,2.0221543162719633,4,6,4
53,1.943341243098123,2.0221543162719633,4,6,4
54,1.943341243098123,2.0221543162719633,4,6,4
55,1.943341243098123,2.0221543162719633,4,6,4
56,1.943341243098123,2.0221543162719633,4,6,4
57,1.943341243098123,2.0221543162719633,4,6,4
58,1.943341243098123,2.0221543162719633,4,6,4
59,1.943341243098123,2.0221543162719633,4,6,4
60,1.943341243098123,2.0221543162719633,4,6,4
61,1.943341243098123,2.0221543162719633,4,6,4
62,1.943341243098123,2.0221543162719633,4,6,4
63,1.943341243098123,2.0221543162719633,4,6,4
64,1.943341243098123,2.0221543162719633,4,6,4
65,1.943341243098123,2.0221543162719633,4,6,4
66,1.943341243098123,2.0221543162719633,4,6,4
67,1.943341243098123,2.0221543162719633,4,6,4
68,1.943341243098123,2.0221543162719633,4,6,4
69,1.943341243098123,2.0221543162719633,4,6,4
70,1.943341243098123,2.0221543162719633,4,6,4
71,1.943341243098123,2.0221543162719633,4,6,4
72,1.943341243098123,2.0221543162719633,4,6,4
73,1.943341243098123,2.0221543162719633,4,6,4
74,1.943341243098123,2.0221543162719633,4,6,4
75,1.943341243098123,2.0221543162719633,4,6,4
76,1.943341243098123,2.0221543162719633,4,6,4
77,1.943341243098123,2.0221543162719633,4,6,4
78,1.943341243098123,2.0221543162719633,4,6,4
79,1.943341243098123,2.0221543162719633,4,6,4
80,1.943341243098123,2.0221543162719633,4,6,4
81,1.943341243098123,2.0221543162719633,4,6,4
82,1.943341243098123,2.0221543162719633,4,6,4
83,1.943341243098123,2.0221543162719633,4,6,4
84,1.943341243098123,2.0221543162719633,4,6,4
85,1.943341243098123,2.0221543162719633,4,6,4
86,1.943341243098123,2.0221543162719633,4,6,4
87,1.943341243098123,2.0221543162719633,4,6,4
88,1.943341243098123,2.0221543162719633,4,6,4
89,1.943341243098123,2.0221543162719633,4,6,4
90,1.943341243098123,2.0221543162719633,4,6,4
91,1.943341243098123,2.0221543162719633,4,6,4
92,1.943341243098123,2.0221543162719633,4,6,4
93,1.943341243098123,2.0221543162719633,4,6,4
94,1.943341243098123,2.0221543162719633,4,6,4
95,1.943341243098123,2.0221543162719633,4,6,4
96,1.943341243098123,2.0221543162719633,4,6,4
97,1.943341243098123,2.0221543162719633,4,6,4
98,1.943341243098123,2.0221543162719633,4,6,4
99,1.943341243098123,2.0221543162719633,4,6,4
100,1.943341243098123,2.0221543162719633,4,6,4
101,1.943341243098123,2.0221543162719633,4,6,4
102,1.943341243098123,2.0221543162719633,4,6,4
103,1.943341243098123,2.0221543162719633,4,6,4
104,1.943341243098123,2.0221543162719633,4,6,4
105,1.943341243098123,2.0221543162719633,4,6,4
106,1.943341243098123,2.0221543162719633,4,6,4
107,1.943341243098123,2.0221543162719633,4,6,4
108,1.943341243098123,2.0221543162719633,4,6,4
109,1.943341243098123,2.0221543162719633,4,6,4
110,1.943341243098123,2.0221543162719633,4,6,4
111,1.943341243098123,2.0221543162719633,4,6,4
112,1.943341243098123,2.0221543162719633,4,6,4
113,1.943341243098123,2.0221543162719633,4,6,4
114,1.943341243098123,2.0221543162719633,4,6,4
115,1.943341243098123,2.0221543162719633,4,6,4
116,1.943341243098123,2.0221543162719633,4,6,4
117,1.943341243098123,2.0221543162719633,4,6,4
118,1.943341243098123,2.0221543162719633,4,6,4
119,1.943341243098123,2.0221543162719633,4,6,4
120,1.943341243098123,2.0221543162719633,4,6,4
121,1.943341243098123,2.0221543162719633,4,6,4
122,1.943341243098123,2.0221543162719633,4,6,4
123,1.943341243098123,2.0221543162719633,4,6,4
124,1.943341243098123,2.0221543162719633,4,6,4
125,1.943341243098123,2.0221543162719633,4,6,4
126,1.943341243098123,2.0221543162719633,4,6,4
127,1.943341243098123,2.0221543162719633,4,6,4
128,1.943341243098123,2.0221543162719633,4,6,4
129,1.943341243098123,2.0221543162719633,4,6,4
130,1.943341243098123,2.0221543162719633,4,6,4
131,1.943341243098123,2.0221543162719633,4,6,4
132,1.943341243098123,2.0221543162719633,4,6,4
133,1.943341243098123,2.0221543162719633,4,6,4
134,1.943341243098123,2.0221543162719633,4,6,4
135,1.943341243098123,2.0221543162719633,4,6,4
136,1.943341243098123,2.0221543162719633,4,6,4
137,1.943341243098123,2.0221543162719633,4,6,4
138,1.943341243098123,2.0221543162719633,4,6,4
139,1.943341243098123,2.0221543162719633,4,6,4
140,1.943341243098123,2.0221543162719633,4,6,4
141,1.943341243098123,2.0221543162719633,4,6,4
142,1.943341243098123,2.0221543162719633,4,6,4
143,1.943341243098123,2.0221543162719633,4,6,4
144,1.943341243098123,2.0221543162719633,4,6,4
145,1.943341243098123,2.0221543162719633,4,6,4
146,1.943341243098123,2.0221543162719633,4,6,4
147,1.943341243098123,2.0221543162719633,4,6,4
148,1.943341243098123,2.0221543162719633,4,6,4
149,1.943341243098123,2.0221543162719633,4,6,4
150,1.943341243098123,2.0221543162719633,4,6,4
151,1.943341243098123,2.0221543162719633,4,6,4
152,1.943341243098123,2.0221543162719633,4,6,4
153,1.943341243098123,2.0221543162719633,4,6,4
154,1.943341243098123,2.0221543162719633,4,6,4
155,1.943341243098123,2.0221543162719633,4,6,4
156,1.943341243098123,2.0221543162719633,4,6,4
157,1.943341243098123,2.0221543162719633,4,6,4
158,1.943341243098123,2.0221543162719633,4,6,4
159,1.943341243098123,2.0221543162719633,4,6,4
160,1.943341243098123,2.0221543162719633,4,6,4
161,1.943341243098123,2.0221543162719633,4,6,4
162,1.943341243098123,2.0221543162719633,4,6,4
163,1.943341243098123,2.0221543162719633,4,6,4
164,1.943341243098123,2.0221543162719633,4,6,4
165,1.943341243098123,2.0221543162719633,4,6,4
166,1.943341243098123,2.0221543162719633,4,6,4
167,1.943341243098123,2.0221543162719633,4,6,4
168,1.943341243098123,2.0221543162719633,4,6,4
169,1.943341243098123,2.0221543162719633,4,6,4
170,1.943341243098123,2.0221543162719633,4,6,4
171,1.943341243098123,2.0221543162719633,4,6,4
172,1.943341243098123,2.0221543162719633,4,6,4
173,1.943341243098123,2.0221543162719633,4,6,4
174,1.943341243098123,2.0221543162719633,4,6,4
175,1.943341243098123,2.0221543162719633,4,6,4
176,1.943341243098123,2.0221543162719633,4,6,4
177,1.943341243098123,2.0221543162719633,4,6,4
178,1.943341243098123,2.0221543162719633,4,6,4
179,1.943341243098123,2.0221543162719633,4,6,4
180,1.943341243098123,2.0221543162719633,4,6,4
181,1.943341243098123,2.0221543162719633,4,6,4
182,1.943341243098123,2.0221543162719633,4,6,4
183,1.943341243098123,2.0221543162719633,4,6,4
184,1.943341243098123,2.0221543162719633,4,6,4
185,1.943341243098123,2.0221543162719633,4,6,4
186,1.943341243098123,2.0221543162719633,4,6,4
187,1.943341243098123,2.0221543162719633,4,6,4
188,1.943341243098123,2.0221543162719633,4,6,4
189,1.943341243098123,2.0221543162719633,4,6,4
190,1.943341243098123,2.0221543162719633,4,6,4
191,1.943341243098123,2.0221543162719633,4,6,4
192,1.943341243098123,2.0221543162719633,4,6,4
193,1.943341243098123,2.0221543162719633,4,6,4
194,1.943341243098123,2.0221543162719633,4,6,4
195,1.943341243098123,2.0221543162719633,4,6,4
196,1.943341243098123,2.0221543162719633,4,6,4
197,1.943341243098123,2.0221543162719633,4,6,4
198,1.943341243098123,2.0221543162719633,4,6,4
199,1.943341243098123,2.0221543162719633,4,6,4
200,1.943341243098123,2.0221543162719633,4,6,4
201,1.943341243098123,2.0221543162719633,4,6,4
202,1.943341243098123,2.0221543162719633,4,6,4
203,1.943341243098123,2.0221543162719633,4,6,4
204,1.943341243098123,2.0221543162719633,4,6,4
205,1.943341243098123,2.0221543162719633,4,6,4
206,1.943341243098123,2.0221543162719633,4,6,4
207,1.943341243098123,2.0221543162719633,4,6,4
208,1.943341243098123,2.0221543162719633,4,6,4
