,mq,No. Clus,Max clus,Min clus
0,2.0493882928665537,5,7,2
1,1.919501133786848,5,7,2
2,1.919501133786848,5,7,2
3,1.919501133786848,5,7,2
4,1.919501133786848,5,7,2
5,1.9157184792858417,5,6,2
6,1.8916956059813201,5,7,2
7,1.8927865612648223,5,7,1
8,1.8884575569358177,5,7,2
9,1.8282426385874662,5,9,2
10,1.8282426385874662,5,9,2
11,1.8240801606054684,5,7,2
12,1.8226773226773227,5,6,2
13,1.8202020202020202,5,6,2
14,1.819863762509461,5,7,2
15,1.8181794564773286,5,7,2
16,1.8051242236024845,5,7,2
17,1.80566534914361,5,7,1
18,1.7857142857142856,5,5,2
19,1.7793872793872794,5,5,2
20,1.7793872793872794,5,5,2
21,1.7657274499379763,5,6,2
22,1.7605542605542606,5,6,2
23,1.758242805412617,5,8,2
24,1.7543434343434343,5,8,2
25,1.7319739952718676,5,7,2
26,1.727668845315904,5,6,2
27,1.7216450216450216,5,7,2
28,1.7197170432464552,5,7,2
29,1.7020348072979652,5,6,2
30,1.6769733534439415,5,6,2
31,1.6392920804685511,5,8,2
32,1.6386623712205108,5,7,2
33,1.6360978203083465,5,6,2
34,1.6360978203083465,5,6,2
35,1.634259259259259,5,8,2
36,1.6228586482532947,5,7,2
37,1.616277088728363,5,5,2
38,1.6079452462431185,5,7,2
39,1.5977839727839727,5,6,2
40,1.5577801827801827,5,8,2
41,1.545188729399256,5,6,2
