,mq,No. Clus,Max clus,Min clus
0,2.195757575757576,6,4,2
1,2.195757575757576,6,4,2
2,2.195757575757576,6,4,2
3,2.195757575757576,6,4,2
4,2.195757575757576,6,4,2
5,2.0995670995671,7,4,2
6,2.0445532245532245,7,4,2
7,2.0445532245532245,7,4,2
8,2.013280632411067,6,4,2
9,1.9740684152448857,7,4,2
10,1.941891441891442,6,4,2
11,1.932263814616756,6,5,2
12,1.9079953379953378,6,4,3
13,1.8802232854864434,6,5,3
14,1.8802232854864434,6,5,3
15,1.8708938120702827,6,4,2
16,1.8636851710381124,6,4,3
17,1.8622579175210752,6,5,3
18,1.8503030303030301,5,5,3
19,1.8503030303030301,5,5,3
20,1.8462109785639196,8,4,1
21,1.838440970793912,7,4,1
22,1.8323220896750307,7,4,2
23,1.8161616161616163,7,4,2
24,1.7984668849921928,6,7,2
25,1.7613107822410146,3,9,3
26,1.7531512605042017,7,5,1
27,1.7342118665648076,7,4,1
28,1.7380017515691142,5,6,2
29,1.6930583142347848,6,5,2
30,1.685714285714286,8,4,1
31,1.6739177489177488,6,4,2
32,1.65,5,7,2
33,1.5999999999999999,6,5,2
34,1.5924230997760407,8,3,1
35,1.5887445887445888,4,10,3
36,1.5506493506493506,6,7,2
37,1.5242165242165242,5,9,2
38,1.5242165242165242,5,9,2
39,1.5242165242165242,5,9,2
40,1.428091060985798,8,4,1
41,1.2338276380829571,3,16,2
