0: [[1, 3], [8, 2], [14, 4], [5, 7, 10], [13, 11, 12, 9], [16, 6, 15], [17, 19, 18, 20]]
1: [[1, 3], [8, 2], [14, 4], [5, 7, 10], [13, 11, 12], [16, 9, 6, 15], [17, 19, 18, 20]]
2: [[1, 3, 8], [2, 14, 4, 6], [5, 7, 10], [13, 11, 12], [16, 17, 9], [19, 18, 20, 15]]
3: [[1, 3], [8, 2], [14, 4], [5, 7, 10], [13, 11, 12], [9, 6], [15, 16, 19], [17, 18, 20]]
4: [[1, 3, 8], [2, 14, 4], [5, 7, 10], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20, 6]]
5: [[1, 3], [8, 2], [14, 4], [5, 7, 10], [13, 11, 12, 9, 6], [16, 17, 15], [19, 18, 20]]
6: [[1, 3, 8], [2, 14, 4, 6], [5, 7, 10, 13], [11, 12], [16, 17, 9, 15], [19, 18, 20]]
7: [[1, 3], [8, 2], [14, 4], [5, 7, 10], [13, 11, 12], [16, 17, 19, 9, 6, 15], [18, 20]]
8: [[1, 3, 8], [2, 14, 4], [5, 7, 10], [13, 11, 12], [15, 16, 17, 19, 18, 20, 9, 6]]
9: [[1, 3, 8], [2, 14, 4], [5, 7, 10], [13, 11, 12], [16, 17, 19, 18, 20, 15, 9, 6]]
10: [[1, 3, 8], [2, 14, 4], [5, 7, 10], [13, 11, 12], [18, 9, 6], [16, 19, 17, 20, 15]]
11: [[1, 3, 8], [2, 14, 4], [5, 7, 10], [13, 11, 12, 9], [16, 17, 19, 18, 6, 15], [20]]
12: [[1, 3], [8, 2, 14, 4], [5, 7, 10, 13], [11, 12, 15, 16, 9, 6], [17, 19, 18, 20]]
13: [[1, 3, 8, 2], [14, 5, 4], [7, 10, 13, 6], [11, 12], [16, 17, 9, 15], [19, 18, 20]]
14: [[1, 3], [8, 2], [14, 5, 4], [7, 10, 13], [11, 12, 9], [16, 17, 6, 15], [19, 18, 20]]
15: [[1, 3, 8], [2, 14, 4, 6], [5, 7, 10, 13], [11, 12], [16, 17, 19, 9, 15], [18, 20]]
16: [[1, 3, 8], [2, 14, 4, 6], [5, 7], [10, 13, 11, 9], [12], [16, 17, 15], [19, 18, 20]]
17: [[1, 3], [8, 2], [14, 4], [5, 7], [10, 13], [11, 12], [6, 9], [15, 16, 17, 19, 18, 20]]
18: [[1, 3], [8, 2, 14, 4], [5, 7, 10, 13], [11, 12, 9, 6], [15, 16, 17, 19, 18, 20]]
19: [[1, 3, 8, 2], [14, 5, 7, 4], [10, 13, 11, 12, 6, 9], [16, 17, 15], [19, 18, 20]]
20: [[1, 3], [8, 2, 14, 4], [5, 7, 10, 13], [11, 12, 9, 6], [16, 17, 15], [19, 18, 20]]
21: [[1, 3], [8, 2, 14, 4], [5, 7, 10, 13], [11, 12, 9, 6], [16, 17, 15], [19, 18, 20]]
22: [[1, 3], [8, 2, 14, 4], [5, 7, 10, 13], [11, 12, 9, 6], [16, 17, 15], [19, 18, 20]]
23: [[1, 3], [8, 2], [14, 7, 4, 6], [5, 10, 13], [11, 12, 9], [16, 17, 19, 15], [18, 20]]
24: [[1, 3], [8, 2], [14, 5, 4], [7, 10], [13, 11, 12, 6], [16, 17, 9, 15], [19, 18, 20]]
25: [[1, 3, 8], [2, 14, 5, 4], [7, 10, 13, 11, 12, 6, 9, 15, 16, 17], [19, 18, 20]]
26: [[1, 3], [8, 2, 14, 4], [5, 7, 10, 13, 11, 12, 15, 6, 16, 9], [19, 17, 18, 20]]
27: [[1, 3, 8, 2], [14, 4, 5, 7, 10, 13, 11, 12, 6, 9, 15, 16], [17, 19, 18, 20]]
28: [[1, 3], [8, 2, 14, 4], [5, 7, 10, 13], [11, 12], [6, 9], [15, 16, 17, 19], [18, 20]]
29: [[1, 3], [8, 2, 14, 4], [5, 7], [10, 13, 11, 9], [12], [16, 17, 6, 15], [19, 18, 20]]
30: [[1, 3], [8, 2], [14, 5, 7, 4], [10, 13, 11, 9], [12], [16, 17, 6, 15], [19, 18, 20]]
31: [[1, 3], [8, 2, 14, 4], [5, 7, 10, 13], [11, 12], [15, 16, 17, 19, 18, 20, 9, 6]]
32: [[1, 3, 8, 2], [14, 5, 7, 4], [10, 13, 11, 9], [12, 6], [15, 16, 17, 19, 18, 20]]
33: [[1, 3, 8, 2], [14, 4], [5, 7, 10, 13], [11, 12, 9, 15, 16, 19, 17, 18, 20, 6]]
34: [[1, 3], [8, 2, 14, 4, 6], [5, 7], [10, 13], [11, 12], [16, 17, 19, 9, 15], [18, 20]]
35: [[1, 3], [8, 2, 14, 4], [5, 7, 10, 13], [11, 12, 15, 16, 17, 19, 18, 20, 9, 6]]
36: [[1, 3], [8, 2], [14, 5, 4], [10, 6], [13, 11, 12, 7, 18, 16, 19, 9, 15], [17, 20]]
37: [[1, 3], [8, 2, 14, 6], [5, 7, 4], [10, 13], [11, 12], [16, 17, 19, 9, 15], [18, 20]]
38: [[1, 3], [8, 2, 14], [5, 4], [7, 10, 13], [11, 12, 9], [16, 17, 18, 15], [20, 19, 6]]
39: [[1, 3], [8, 2, 14], [5, 4, 6], [10, 13, 11, 9], [12, 7], [18], [16, 19, 17, 20, 15]]
40: [[1, 3], [8, 2, 14, 4, 5, 7, 10, 13, 11, 12, 9, 6, 15, 16, 17, 19], [18, 20]]
41: [[1, 3], [8, 2, 14, 4, 5, 7, 10, 13, 11, 12, 9, 6, 15, 16, 17, 19], [18, 20]]
