0: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
1: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [9, 11, 12, 13], [15, 16, 17, 19, 18, 20]]
2: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [11, 13, 12, 9], [15, 16, 17, 19, 18, 20]]
3: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [11, 12, 13, 9], [15, 16, 17, 19, 18, 20]]
4: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [11, 13, 12, 9], [15, 16, 17, 19, 18, 20]]
5: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [12, 11, 13, 9], [15, 16, 17, 19, 18, 20]]
6: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [11, 13, 12, 9], [15, 16, 17, 19, 18, 20]]
7: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [9, 11, 12, 13], [15, 16, 17, 19, 18, 20]]
8: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
9: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
10: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
11: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
12: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
13: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
14: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
15: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
16: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
17: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
18: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
19: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
20: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
21: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
22: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
23: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
24: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
25: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
26: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
27: [[1, 10, 7, 2, 5], [3, 14, 8, 6], [12, 9, 4, 11, 13], [15, 16, 17, 19, 18, 20]]
28: [[1, 10, 7, 2, 5], [3, 14, 8, 6], [13, 11, 12, 4, 9], [15, 16, 17, 19, 18, 20]]
29: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [15, 11, 12, 9], [13, 16, 17, 19, 18, 20]]
30: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [15, 11, 12, 9], [13, 16, 17, 19, 18, 20]]
31: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [9, 15, 12, 11], [13, 16, 17, 19, 18, 20]]
32: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [15, 9, 12, 11], [13, 16, 17, 19, 18, 20]]
33: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [15, 11, 12, 9], [13, 16, 17, 19, 18, 20]]
34: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [15, 11, 13, 9], [12, 16, 17, 19, 18, 20]]
35: [[1, 10, 7, 2, 5], [3, 14, 8, 6, 4], [11, 15, 13, 9], [12, 16, 17, 19, 18, 20]]
36: [[1, 10, 7, 2, 5], [3, 14, 8, 6], [13, 15, 11, 4, 9], [12, 16, 17, 19, 18, 20]]
37: [[1, 10, 7, 2], [5, 3, 14, 8, 6], [13, 11, 12, 4, 9], [15, 16, 17, 19, 18, 20]]
38: [[1, 10, 7, 2], [5, 3, 14, 8, 6], [13, 11, 12, 4, 9], [15, 16, 17, 19, 18, 20]]
39: [[1, 10, 7, 2], [5, 3, 14, 8, 6], [4, 13, 11, 12, 9], [15, 16, 17, 19, 18, 20]]
40: [[1, 10, 7, 2], [5, 3, 14, 8, 6], [13, 11, 12, 4, 9], [15, 16, 17, 19, 18, 20]]
41: [[1, 10, 7, 2], [5, 3, 14, 8, 6], [12, 11, 13, 4, 9], [15, 16, 17, 19, 18, 20]]
