No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.2370541160596178,1.2702602952602953,7,3,2
1,1.344371893168186,1.3893048128342247,6,6,2
2,1.501801828463421,1.5570537305831424,6,6,1
3,1.532470067183403,1.5880425880425881,3,7,6
4,1.5461398683415806,1.5982433025911287,8,4,1
5,1.5461398683415806,1.5982433025911287,8,4,1
6,1.5461398683415806,1.5982433025911287,8,4,1
7,1.5461398683415806,1.5982433025911287,8,4,1
8,1.5461398683415806,1.5982433025911287,8,4,1
9,1.8535886483169646,1.9259108459108458,6,5,2
10,1.8535886483169646,1.9259108459108458,6,5,2
11,1.8535886483169646,1.9259108459108458,6,5,2
12,1.8535886483169646,1.9259108459108458,6,5,2
13,1.8535886483169646,1.9259108459108458,6,5,2
14,1.8535886483169646,1.9259108459108458,6,5,2
15,1.8535886483169646,1.9259108459108458,6,5,2
16,1.8535886483169646,1.9259108459108458,6,5,2
17,1.8535886483169646,1.9259108459108458,6,5,2
18,1.8535886483169646,1.9259108459108458,6,5,2
19,1.8535886483169646,1.9259108459108458,6,5,2
20,1.8535886483169646,1.9259108459108458,6,5,2
21,1.8535886483169646,1.9259108459108458,6,5,2
22,1.8535886483169646,1.9259108459108458,6,5,2
23,1.8535886483169646,1.9259108459108458,6,5,2
24,1.8535886483169646,1.9259108459108458,6,5,2
25,1.8535886483169646,1.9259108459108458,6,5,2
26,1.8535886483169646,1.9259108459108458,6,5,2
27,1.8535886483169646,1.9259108459108458,6,5,2
28,1.8535886483169646,1.9259108459108458,6,5,2
29,1.8535886483169646,1.9259108459108458,6,5,2
30,1.8535886483169646,1.9259108459108458,6,5,2
31,1.8535886483169646,1.9259108459108458,6,5,2
32,1.8535886483169646,1.9259108459108458,6,5,2
33,1.8535886483169646,1.9259108459108458,6,5,2
34,1.8535886483169646,1.9259108459108458,6,5,2
35,1.8535886483169646,1.9259108459108458,6,5,2
36,1.8535886483169646,1.9259108459108458,6,5,2
37,1.8535886483169646,1.9259108459108458,6,5,2
38,1.8535886483169646,1.9259108459108458,6,5,2
39,1.8535886483169646,1.9259108459108458,6,5,2
40,1.8535886483169646,1.9259108459108458,6,5,2
41,1.8535886483169646,1.9259108459108458,6,5,2
42,1.8535886483169646,1.9259108459108458,6,5,2
43,1.8535886483169646,1.9259108459108458,6,5,2
44,1.8535886483169646,1.9259108459108458,6,5,2
45,1.8535886483169646,1.9259108459108458,6,5,2
46,1.8535886483169646,1.9259108459108458,6,5,2
47,1.8535886483169646,1.9259108459108458,6,5,2
48,1.8535886483169646,1.9259108459108458,6,5,2
49,1.8535886483169646,1.9259108459108458,6,5,2
50,1.8535886483169646,1.9259108459108458,6,5,2
51,1.8535886483169646,1.9259108459108458,6,5,2
52,1.8535886483169646,1.9259108459108458,6,5,2
53,1.8535886483169646,1.9259108459108458,6,5,2
54,1.8535886483169646,1.9259108459108458,6,5,2
55,1.8535886483169646,1.9259108459108458,6,5,2
56,1.8535886483169646,1.9259108459108458,6,5,2
57,1.8535886483169646,1.9259108459108458,6,5,2
58,1.8535886483169646,1.9259108459108458,6,5,2
59,1.8535886483169646,1.9259108459108458,6,5,2
60,1.8749370599902353,1.9484668109668108,6,5,2
61,1.8826568452233885,1.952380952380952,7,3,2
62,1.8826568452233885,1.952380952380952,7,3,2
63,1.8826568452233885,1.952380952380952,7,3,2
64,1.8826568452233885,1.952380952380952,7,3,2
