0: [[3, 1], [5, 7, 10, 8, 2], [15, 16, 14, 6, 4], [12, 11, 13, 9], [19, 17, 20, 18]]
1: [[3, 1], [5, 7], [10, 8], [2, 14, 6, 4], [13, 11, 9], [12, 16, 15], [19, 20, 17, 18]]
2: [[3, 1], [5, 7, 10], [8, 2, 6, 4], [12, 11, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
3: [[3, 1], [5, 7, 10, 8], [2, 14, 6, 4], [12, 11, 13, 9], [15, 17, 19, 16], [20, 18]]
4: [[3, 1], [5, 7, 10, 8], [2, 14, 4, 6], [9, 11, 12, 13], [19, 15, 17, 20], [16, 18]]
5: [[3, 1], [5, 7, 10, 8], [2, 14, 6, 4], [13, 11, 9], [12, 17, 16, 19, 15], [18, 20]]
6: [[3, 1], [5, 7, 10, 8], [2, 15, 6, 14, 4], [9, 12, 11, 13], [16, 18, 17, 19], [20]]
7: [[3, 1], [5, 7, 10, 8], [2, 14, 6, 15, 4], [12, 11, 13, 9], [16, 18, 17, 19], [20]]
8: [[3, 1], [5, 7, 10, 8, 2], [13, 11, 6, 4, 9], [12, 15, 14, 16, 17, 18, 19, 20]]
9: [[3, 1], [5, 7, 10, 8], [2, 6, 15, 11], [13, 16, 12, 9], [14, 4], [19, 17, 20, 18]]
10: [[3, 1], [5, 7, 10, 8], [2, 11, 6, 4], [12, 14, 13, 9], [15, 17, 19, 16, 20, 18]]
11: [[3, 1], [5, 7, 10, 8], [2, 6, 9, 12], [13, 11, 14, 4], [15, 19, 16, 18, 17, 20]]
12: [[3, 1], [5, 7, 10, 8], [2, 11, 15], [13, 16, 12, 9], [14, 6, 4], [19, 17, 20, 18]]
13: [[3, 1], [5, 7, 10, 8], [2, 14, 6, 4], [13, 15, 11, 9], [12, 17, 16, 19, 18, 20]]
14: [[3, 1], [5, 7, 10, 8], [2, 14, 6, 4], [13, 15, 11, 9], [12, 17, 16, 19, 18, 20]]
15: [[3, 1], [5, 7, 10, 8], [2, 14, 6, 4], [11, 12, 13, 9, 15, 17, 19, 18, 16, 20]]
16: [[3, 1], [5, 7, 10, 8], [2, 14, 6, 4], [12, 11, 13, 15, 17, 19, 16, 20, 18, 9]]
17: [[3, 1], [5, 7, 10, 8, 2, 15], [20, 14, 4, 6], [12, 13, 11, 9], [17, 16, 18, 19]]
18: [[3, 1], [5, 7, 10, 8], [2, 14, 6, 4, 12], [9, 13, 11, 15], [17, 19, 18, 20, 16]]
19: [[3, 1], [5, 7, 10, 8], [2, 15, 6, 12, 11, 13, 14, 9, 17, 4], [19, 16, 20, 18]]
20: [[3, 1], [5, 7, 10], [8, 2, 12, 15], [11, 14, 16, 13, 6, 9], [18, 17, 20, 19], [4]]
21: [[3, 1], [5, 7], [10, 8, 2, 6], [4, 9, 14, 15], [12, 16, 11, 19, 13], [17, 20, 18]]
22: [[3, 1], [5, 7, 10, 8], [2, 14, 15, 9], [13, 4, 12, 6], [11, 16], [19, 17, 20, 18]]
23: [[3, 1], [5, 7, 10, 8], [2, 14, 6, 4, 15, 11], [13, 9, 12, 17, 18, 16, 19, 20]]
24: [[3, 1], [5, 7, 10, 8], [2, 6, 13, 15], [12, 16, 4, 9, 11, 14], [19, 17, 18, 20]]
25: [[3, 1], [5, 7, 10, 8], [2, 14, 4, 6], [9, 12], [13, 15, 11, 17], [16, 19, 18, 20]]
26: [[3, 1, 5], [7, 10], [8, 2, 14, 4, 11], [13, 6, 12, 9], [15, 16], [19, 17, 18, 20]]
27: [[3, 1, 5], [7, 10, 8, 2], [14, 4], [12, 6, 11, 9], [15, 13], [16, 19, 18, 20, 17]]
28: [[3, 1], [5, 7, 10, 8], [2, 14, 15, 6, 4], [12], [11, 13, 16, 18, 17, 19, 20, 9]]
29: [[3, 1], [5, 7, 10, 8], [2, 15, 6, 4], [12, 14, 11, 13, 16, 19, 18, 20, 17, 9]]
30: [[3, 1], [5, 7, 10, 8], [2, 15, 4, 14, 12, 6, 11, 13, 9, 17, 18, 16, 19, 20]]
31: [[3, 1], [5, 7, 10], [8, 2, 14, 16], [9, 12, 4, 6], [11, 13, 15], [19, 20, 18, 17]]
32: [[3, 1], [5, 7, 10], [8, 2, 13, 14, 4], [11, 20, 15, 6], [12, 16, 17, 18, 19, 9]]
33: [[3, 1], [5, 7, 10, 8, 2], [15, 20, 12, 11, 6, 4], [13, 14, 19, 17, 18, 16, 9]]
34: [[3, 1, 5], [7, 10, 8, 2], [14, 4, 6, 9, 13, 11, 12, 15, 19, 17, 16, 18, 20]]
35: [[3, 1], [5, 7, 10, 8], [2, 14, 20], [4, 6, 13, 9], [12, 11, 17, 19], [15, 18, 16]]
36: [[3, 1], [5, 7, 10, 8, 2, 14, 6, 4, 12, 11], [13, 9, 15, 17, 19, 16, 20, 18]]
37: [[3, 1], [5, 7, 10], [8, 2, 14], [16, 13], [15, 6, 11, 4], [9, 12, 19], [20, 18, 17]]
38: [[3, 1, 5], [7, 10, 8], [2], [13, 11, 6, 4], [12, 14, 17, 15, 9], [19, 18, 16, 20]]
39: [[3, 1], [5, 7, 10, 8, 2, 14], [15, 11], [4, 12, 6, 9], [13, 20], [17, 16, 18, 19]]
40: [[3, 1], [5, 7, 10], [8, 2, 14], [6, 12], [4, 11, 15, 9], [13, 18, 19, 16], [17, 20]]
41: [[3, 1, 5, 7], [10, 8, 2, 14, 13, 4, 12, 11, 15, 9], [6, 17, 19, 16, 20, 18]]
