No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.06221514657616,1.0848032649439427,4,8,7
1,1.06221514657616,1.0848032649439427,4,8,7
2,1.06221514657616,1.0848032649439427,4,8,7
3,1.06221514657616,1.0848032649439427,4,8,7
4,1.1329427239026852,1.159423277536816,4,8,6
5,1.1624061593978672,1.190190406059331,4,8,6
6,1.169206244156192,1.1965284862117767,4,8,7
7,1.169206244156192,1.1965284862117767,4,8,7
8,1.169206244156192,1.1965284862117767,4,8,7
9,1.2406950076205476,1.2711804721888755,4,8,7
10,1.2406950076205476,1.2711804721888755,4,8,7
11,1.2406950076205476,1.2711804721888755,4,8,7
12,1.3003742761886843,1.3350262059441986,4,9,6
13,1.3003742761886843,1.3350262059441986,4,9,6
14,1.3003742761886843,1.3350262059441986,4,9,6
15,1.3003742761886843,1.3350262059441986,4,9,6
16,1.3003742761886843,1.3350262059441986,4,9,6
17,1.3003742761886843,1.3350262059441986,4,9,6
18,1.3003742761886843,1.3350262059441986,4,9,6
19,1.3003742761886843,1.3350262059441986,4,9,6
20,1.3003742761886843,1.3350262059441986,4,9,6
21,1.301242388757503,1.3366956241956243,4,10,6
22,1.301242388757503,1.3366956241956243,4,10,6
23,1.301242388757503,1.3366956241956243,4,10,6
24,1.301242388757503,1.3366956241956243,4,10,6
25,1.3210075958855978,1.3588611859838275,4,11,5
26,1.3210075958855978,1.3588611859838275,4,11,5
27,1.3210075958855978,1.3588611859838275,4,11,5
28,1.3210075958855978,1.3588611859838275,4,11,5
29,1.3705339209086325,1.4090531561461794,4,10,6
30,1.3705339209086325,1.4090531561461794,4,10,6
31,1.3705339209086325,1.4090531561461794,4,10,6
32,1.3705339209086325,1.4090531561461794,4,10,6
33,1.3705339209086325,1.4090531561461794,4,10,6
34,1.3705339209086325,1.4090531561461794,4,10,6
35,1.3705339209086325,1.4090531561461794,4,10,6
36,1.3705339209086325,1.4090531561461794,4,10,6
37,1.3705339209086325,1.4090531561461794,4,10,6
38,1.3705339209086325,1.4090531561461794,4,10,6
39,1.3705339209086325,1.4090531561461794,4,10,6
40,1.3705339209086325,1.4090531561461794,4,10,6
41,1.3985309832051938,1.4398148148148149,4,11,5
42,1.3985309832051938,1.4398148148148149,4,11,5
43,1.3985309832051938,1.4398148148148149,4,11,5
44,1.4075243814153116,1.449206151362452,4,11,5
45,1.4075243814153116,1.449206151362452,4,11,5
46,1.4075243814153116,1.449206151362452,4,11,5
47,1.4075243814153116,1.449206151362452,4,11,5
48,1.4075243814153116,1.449206151362452,4,11,5
49,1.4075243814153116,1.449206151362452,4,11,5
50,1.4075243814153116,1.449206151362452,4,11,5
51,1.4075243814153116,1.449206151362452,4,11,5
52,1.4075243814153116,1.449206151362452,4,11,5
53,1.4075243814153116,1.449206151362452,4,11,5
54,1.4075243814153116,1.449206151362452,4,11,5
55,1.4075243814153116,1.449206151362452,4,11,5
56,1.4075243814153116,1.449206151362452,4,11,5
57,1.4075243814153116,1.449206151362452,4,11,5
58,1.4075243814153116,1.449206151362452,4,11,5
59,1.4075243814153116,1.449206151362452,4,11,5
60,1.4075243814153116,1.449206151362452,4,11,5
61,1.4075243814153116,1.449206151362452,4,11,5
62,1.4075243814153116,1.449206151362452,4,11,5
