0: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 11, 15, 12], [7, 19, 16, 20, 18, 23, 10, 22, 14], [28, 24], [25, 21, 27, 26, 29]]
1: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 11, 15, 12], [7, 19, 16, 20, 18, 23, 10, 22, 14], [28, 24], [25, 21, 27, 26, 29]]
2: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 11, 15, 12], [7, 19, 16, 20, 18, 23, 10, 22, 14], [28, 24], [25, 21, 27, 26, 29]]
3: [[17, 9, 2, 1], [5, 6], [3, 4], [8, 13, 11, 14, 10, 15, 7, 12, 28], [20, 23, 16, 18, 19, 24, 22], [25, 21, 27, 26, 29]]
4: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 11, 14, 10], [7, 19, 24, 12, 18, 23, 15, 16, 20], [28, 22], [25, 21, 27, 26, 29]]
5: [[17, 9, 2, 1], [5, 6, 3, 4, 8, 13, 11], [15, 10, 7, 19, 16, 24, 18, 22, 14], [12, 20], [28, 23], [25, 21, 27, 26, 29]]
6: [[17, 9, 2, 1, 5, 6, 3, 4, 8], [13, 11, 14, 7, 12, 19, 10], [15, 16], [23, 18, 20, 22], [24, 28], [25, 21, 27, 26, 29]]
7: [[17, 9], [2, 1, 5, 6], [3, 4], [8, 13, 11, 15, 12, 7, 10, 16, 28], [22, 23, 14, 18, 19, 24, 20], [25, 21, 27, 26, 29]]
8: [[17, 9, 2, 1, 5, 6, 3], [4, 8, 13, 11], [15, 12], [7, 19, 16, 20, 18, 23, 10, 14, 22], [28, 24], [25, 21, 27, 26, 29]]
9: [[17, 9], [2, 1, 5, 6], [3, 4], [8, 13, 11, 7, 19, 12, 14], [15, 18, 23, 16, 20, 24, 28, 10, 22], [25, 21, 27, 26, 29]]
10: [[17, 9], [2, 1, 5, 6], [3, 4, 8, 13, 11, 15, 10], [7, 23, 14, 18, 24, 12, 16, 28, 22], [19, 29], [20, 21, 27, 26, 25]]
