,mq,No. Clus,Max clus,Min clus
0,1.720660509357656,7,8,1
1,1.6247707974110162,7,12,2
2,1.5745611548853997,7,9,2
3,1.5354748816548476,10,5,2
4,1.513491408139116,10,6,2
5,1.513491408139116,10,6,2
6,1.5113349476796203,10,6,2
7,1.498086124401914,4,20,2
8,1.4937371838687628,10,6,2
9,1.4792195507561217,8,6,2
10,1.4876456876456876,5,19,2
11,1.4792195507561217,8,6,2
12,1.4666688310816323,10,5,1
13,1.4525063251106893,10,5,2
14,1.4474846800890444,10,4,2
15,1.435952380952381,10,5,1
16,1.4268860300496407,9,7,2
17,1.4214940013771655,8,5,2
18,1.412335878407307,9,5,2
19,1.3879099854517438,6,14,2
20,1.3863279911546695,10,5,1
21,1.3860749056529542,11,7,1
22,1.3793156153381871,10,5,1
23,1.3691815824243667,10,6,2
24,1.368463280948117,10,5,1
25,1.359585062633843,9,6,2
26,1.334658538288714,9,5,2
27,1.3261290914765158,9,5,2
28,1.3211332503952642,8,6,2
29,1.319164929418601,7,10,2
30,1.2868401624215577,9,7,2
31,1.2682078784593016,9,6,2
32,1.24975255713953,10,3,2
33,1.248077571232273,9,5,2
34,1.243026793026793,9,6,2
35,1.2361572756094659,8,5,2
36,1.2310853931015222,10,4,2
37,1.2289151060143553,9,5,2
38,1.2236174799565647,10,4,2
39,1.2236174799565647,10,4,2
40,1.208590387374462,9,4,2
41,1.206092721641502,9,5,2
42,1.1788383944409682,9,6,1
43,1.1703296703296702,4,21,2
44,1.1613489086557354,9,5,1
45,1.0907070502507097,6,13,2
46,1.0784763958792303,8,6,2
47,1.0814757003723396,3,23,3
48,1.0616419515380195,9,6,2
49,1.0679280041416725,5,19,2
50,1.0412856719660315,10,4,1
51,1.040869542491114,5,14,2
52,1.0387551628431397,5,14,2
53,1.0134387351778655,3,19,2
54,1.0116052128889144,6,10,2
55,0.9909675909675909,4,23,1
56,0.9808894396254991,3,25,2
57,0.9552665613390224,6,13,1
58,0.9504385671084659,8,8,1
59,0.9341378603467161,6,11,3
