No_gen, Best, MQ, No_clus, max_clus, min_clus
0,0.8892143130179558,0.9701078643435823,3,10,9
1,0.904824146536486,0.9892773892773892,3,10,9
2,0.9065185197626588,0.9913581500854874,3,10,9
3,0.9620304291471747,1.059529084119248,3,10,9
4,1.0609003633331595,1.1730819728570296,5,6,5
5,1.0609003633331595,1.1730819728570296,5,6,5
6,1.0609003633331595,1.1730819728570296,5,6,5
7,1.071207904479251,1.1857400621807683,5,6,5
8,1.071207904479251,1.1857400621807683,5,6,5
9,1.0830347547133936,1.2002639262682786,5,6,5
10,1.0830347547133936,1.2002639262682786,5,6,5
11,1.0830347547133936,1.2002639262682786,5,6,5
12,1.0830347547133936,1.2002639262682786,5,6,5
13,1.0830347547133936,1.2002639262682786,5,6,5
14,1.0983338455632492,1.2151200945494476,6,5,4
15,1.1008543806970574,1.2221471682771992,5,6,5
16,1.1008543806970574,1.2221471682771992,5,6,5
17,1.1008543806970574,1.2221471682771992,5,6,5
18,1.1016235046074958,1.223091684434968,5,6,5
19,1.1114033394091927,1.2351017284150716,5,6,5
20,1.1202557743308055,1.2459728867623605,5,6,5
21,1.1794387456895234,1.3186520376175548,5,6,5
22,1.1794387456895234,1.3186520376175548,5,6,5
23,1.1794387456895234,1.3186520376175548,5,6,5
24,1.202799733094951,1.3473403019744483,5,6,5
25,1.202799733094951,1.3473403019744483,5,6,5
26,1.2680253822941994,1.4274401125947518,5,6,5
27,1.2680253822941994,1.4274401125947518,5,6,5
28,1.2680253822941994,1.4274401125947518,5,6,5
29,1.2680253822941994,1.4274401125947518,5,6,5
30,1.2680253822941994,1.4274401125947518,5,6,5
31,1.274755163006371,1.4357045632698908,5,6,5
32,1.274755163006371,1.4357045632698908,5,6,5
33,1.274755163006371,1.4357045632698908,5,6,5
34,1.2878058293217345,1.4517313244162013,5,6,5
35,1.3301819703217461,1.5037709884224788,5,6,5
36,1.3301819703217461,1.5037709884224788,5,6,5
37,1.3301819703217461,1.5037709884224788,5,6,5
38,1.3301819703217461,1.5037709884224788,5,6,5
