,mq,No. Clus,Max clus,Min clus
0,2.020377903767392,10,4,2
1,2.0116654209007736,10,4,2
2,1.969743130004324,10,5,2
3,1.9407893032893035,10,6,2
4,1.8791390309648737,9,6,2
5,1.8207305273343009,9,5,2
6,1.8122150395231595,11,4,2
7,1.8083559083559084,9,5,2
8,1.795779711818732,11,5,2
9,1.7861431443878253,10,4,2
10,1.766408922929466,11,4,2
11,1.763010823786686,10,4,2
12,1.7557976665735286,10,5,2
13,1.732948293724156,11,4,2
14,1.7241944604766553,11,4,1
15,1.7235604537075124,10,5,2
16,1.7169594294594295,10,5,2
17,1.7005708475647783,10,5,1
18,1.6870438435643866,10,4,2
19,1.676485065501084,11,4,1
20,1.6590948127063903,10,5,2
21,1.6558811809427572,11,4,2
22,1.64430895923562,10,5,2
23,1.6416268018879956,10,5,2
24,1.6219315327073947,11,4,2
25,1.6123135462758105,12,3,2
26,1.541485768793889,11,4,2
27,1.492063492063492,10,6,2
28,1.4898324258534927,10,4,2
29,1.488126992932485,10,6,2
30,1.4707536356724058,10,5,2
31,1.4612267939335606,7,10,1
32,1.454885346521443,9,5,1
33,1.4441953119305162,11,4,2
34,1.424928340967361,10,5,2
35,1.4038971691286717,11,4,2
36,1.3900134952766532,10,4,2
37,1.3301040891436413,11,4,2
38,1.3278964928152628,11,5,2
39,1.3015865120778438,9,6,1
40,1.3013381690733734,12,4,2
41,1.231566343861426,9,6,2
42,1.2306687565308254,5,9,2
43,1.2186738213054003,8,9,2
44,1.1883979887907619,9,8,1
45,1.186913979182139,9,7,1
46,1.1594738594738594,9,6,1
47,1.1518710669746923,11,4,1
48,1.1440179596632372,7,11,2
49,1.0994397184079312,7,13,2
50,1.0473544973544975,5,20,2
51,1.0348927875243665,8,14,2
52,1.0127490223142397,4,21,2
53,1.0036528519366048,7,16,2
54,0.9919594493518638,5,16,2
55,0.9674209678786339,8,13,2
56,0.9757689893283114,3,26,1
57,0.9642897001915511,6,13,2
58,0.9420929947245738,4,19,2
59,0.8767425810904071,3,19,2
