0: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
1: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
2: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
3: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
4: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
5: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
6: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
7: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
8: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
9: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
10: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
11: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
12: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
13: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
14: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
15: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
16: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
17: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
18: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
19: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
20: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
21: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
22: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
23: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
24: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
25: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
26: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
27: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
28: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
29: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
30: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
31: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
32: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
33: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
34: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
35: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
36: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
37: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
38: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
39: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
40: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
41: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
42: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
43: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
44: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
45: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
46: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
47: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
48: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
49: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
50: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
51: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
52: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
53: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
54: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
55: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
56: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
57: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
58: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
59: [[7, 24, 9], [23, 17, 29], [25, 6, 5], [1, 13, 14], [3, 18, 2, 19, 12, 22], [11, 20, 15, 10], [28, 21, 26, 27], [16, 8, 4]]
