No_gen, Best, MQ, No_clus, max_clus, min_clus
0,0.9899675907855646,1.0093589117282327,4,8,7
1,0.9899675907855646,1.0093589117282327,4,8,7
2,1.0681393014814247,1.0871750829020528,9,4,3
3,1.0681393014814247,1.0871750829020528,9,4,3
4,1.0681393014814247,1.0871750829020528,9,4,3
5,1.0681393014814247,1.0871750829020528,9,4,3
6,1.1412184266508842,1.1634878006355085,9,4,3
7,1.1412184266508842,1.1634878006355085,9,4,3
8,1.1910325721325943,1.2170319010344586,9,5,2
9,1.302597884069721,1.3342966292966294,9,6,2
10,1.302597884069721,1.3342966292966294,9,6,2
11,1.4297999256612242,1.4663641913641912,9,5,2
12,1.4361745816389693,1.4730209120234696,9,5,2
13,1.4361745816389693,1.4730209120234696,9,5,2
14,1.4361745816389693,1.4730209120234696,9,5,2
15,1.4942780827664548,1.5344582604644526,9,6,2
16,1.5265726479308086,1.5689446835818468,9,7,2
17,1.5317794422166624,1.5736189736189736,9,6,2
18,1.5354349632245021,1.5781991370787143,9,7,2
19,1.562418115110032,1.6063762348289203,9,7,2
20,1.562418115110032,1.6063762348289203,9,7,2
21,1.6543302795911627,1.7023553129590279,9,7,2
22,1.67308957236174,1.7204188765164372,9,5,2
23,1.67308957236174,1.7204188765164372,9,5,2
24,1.67308957236174,1.7204188765164372,9,5,2
25,1.7103753197573415,1.760880224425116,9,7,2
26,1.7103753197573415,1.760880224425116,9,7,2
27,1.7103753197573415,1.760880224425116,9,7,2
28,1.7103753197573415,1.760880224425116,9,7,2
29,1.7103753197573415,1.760880224425116,9,7,2
30,1.7103753197573415,1.760880224425116,9,7,2
31,1.7103753197573415,1.760880224425116,9,7,2
32,1.7103753197573415,1.760880224425116,9,7,2
33,1.7103753197573415,1.760880224425116,9,7,2
34,1.7103753197573415,1.760880224425116,9,7,2
35,1.7103753197573415,1.760880224425116,9,7,2
36,1.7103753197573415,1.760880224425116,9,7,2
37,1.7103753197573415,1.760880224425116,9,7,2
38,1.7103753197573415,1.760880224425116,9,7,2
39,1.7103753197573415,1.760880224425116,9,7,2
40,1.7103753197573415,1.760880224425116,9,7,2
41,1.7103753197573415,1.760880224425116,9,7,2
42,1.7103753197573415,1.760880224425116,9,7,2
43,1.7103753197573415,1.760880224425116,9,7,2
44,1.7103753197573415,1.760880224425116,9,7,2
45,1.7103753197573415,1.760880224425116,9,7,2
46,1.7103753197573415,1.760880224425116,9,7,2
47,1.7103753197573415,1.760880224425116,9,7,2
48,1.7103753197573415,1.760880224425116,9,7,2
49,1.7103753197573415,1.760880224425116,9,7,2
50,1.7103753197573415,1.760880224425116,9,7,2
51,1.7103753197573415,1.760880224425116,9,7,2
52,1.7103753197573415,1.760880224425116,9,7,2
53,1.7103753197573415,1.760880224425116,9,7,2
54,1.7103753197573415,1.760880224425116,9,7,2
55,1.7103753197573415,1.760880224425116,9,7,2
56,1.7103753197573415,1.760880224425116,9,7,2
57,1.7103753197573415,1.760880224425116,9,7,2
58,1.7103753197573415,1.760880224425116,9,7,2
59,1.7103753197573415,1.760880224425116,9,7,2
60,1.7103753197573415,1.760880224425116,9,7,2
61,1.7103753197573415,1.760880224425116,9,7,2
62,1.7103753197573415,1.760880224425116,9,7,2
63,1.7103753197573415,1.760880224425116,9,7,2
64,1.7103753197573415,1.760880224425116,9,7,2
65,1.7103753197573415,1.760880224425116,9,7,2
66,1.7103753197573415,1.760880224425116,9,7,2
67,1.7103753197573415,1.760880224425116,9,7,2
68,1.7103753197573415,1.760880224425116,9,7,2
69,1.7103753197573415,1.760880224425116,9,7,2
70,1.7103753197573415,1.760880224425116,9,7,2
71,1.7103753197573415,1.760880224425116,9,7,2
72,1.7103753197573415,1.760880224425116,9,7,2
73,1.7103753197573415,1.760880224425116,9,7,2
74,1.7103753197573415,1.760880224425116,9,7,2
75,1.7103753197573415,1.760880224425116,9,7,2
76,1.7103753197573415,1.760880224425116,9,7,2
77,1.7103753197573415,1.760880224425116,9,7,2
78,1.7103753197573415,1.760880224425116,9,7,2
79,1.7103753197573415,1.760880224425116,9,7,2
80,1.7103753197573415,1.760880224425116,9,7,2
81,1.7103753197573415,1.760880224425116,9,7,2
82,1.7103753197573415,1.760880224425116,9,7,2
83,1.7103753197573415,1.760880224425116,9,7,2
84,1.7103753197573415,1.760880224425116,9,7,2
85,1.7103753197573415,1.760880224425116,9,7,2
86,1.7103753197573415,1.760880224425116,9,7,2
87,1.7103753197573415,1.760880224425116,9,7,2
88,1.7103753197573415,1.760880224425116,9,7,2
89,1.7103753197573415,1.760880224425116,9,7,2
90,1.7103753197573415,1.760880224425116,9,7,2
91,1.7103753197573415,1.760880224425116,9,7,2
92,1.7103753197573415,1.760880224425116,9,7,2
93,1.7103753197573415,1.760880224425116,9,7,2
94,1.7103753197573415,1.760880224425116,9,7,2
95,1.7103753197573415,1.760880224425116,9,7,2
96,1.7103753197573415,1.760880224425116,9,7,2
97,1.7103753197573415,1.760880224425116,9,7,2
98,1.7103753197573415,1.760880224425116,9,7,2
99,1.7103753197573415,1.760880224425116,9,7,2
100,1.7103753197573415,1.760880224425116,9,7,2
101,1.7103753197573415,1.760880224425116,9,7,2
102,1.7103753197573415,1.760880224425116,9,7,2
103,1.7103753197573415,1.760880224425116,9,7,2
104,1.7103753197573415,1.760880224425116,9,7,2
105,1.7103753197573415,1.760880224425116,9,7,2
106,1.7103753197573415,1.760880224425116,9,7,2
107,1.7103753197573415,1.760880224425116,9,7,2
108,1.7103753197573415,1.760880224425116,9,7,2
109,1.7103753197573415,1.760880224425116,9,7,2
110,1.7103753197573415,1.760880224425116,9,7,2
111,1.7103753197573415,1.760880224425116,9,7,2
112,1.7103753197573415,1.760880224425116,9,7,2
113,1.7103753197573415,1.760880224425116,9,7,2
114,1.7103753197573415,1.760880224425116,9,7,2
115,1.7103753197573415,1.760880224425116,9,7,2
116,1.7103753197573415,1.760880224425116,9,7,2
117,1.7103753197573415,1.760880224425116,9,7,2
118,1.7103753197573415,1.760880224425116,9,7,2
119,1.7103753197573415,1.760880224425116,9,7,2
120,1.7103753197573415,1.760880224425116,9,7,2
121,1.7103753197573415,1.760880224425116,9,7,2
122,1.7103753197573415,1.760880224425116,9,7,2
123,1.7103753197573415,1.760880224425116,9,7,2
124,1.7103753197573415,1.760880224425116,9,7,2
125,1.7103753197573415,1.760880224425116,9,7,2
126,1.7103753197573415,1.760880224425116,9,7,2
127,1.7103753197573415,1.760880224425116,9,7,2
128,1.7103753197573415,1.760880224425116,9,7,2
129,1.7103753197573415,1.760880224425116,9,7,2
130,1.7103753197573415,1.760880224425116,9,7,2
131,1.7103753197573415,1.760880224425116,9,7,2
132,1.7103753197573415,1.760880224425116,9,7,2
133,1.7103753197573415,1.760880224425116,9,7,2
134,1.7103753197573415,1.760880224425116,9,7,2
135,1.7103753197573415,1.760880224425116,9,7,2
136,1.7103753197573415,1.760880224425116,9,7,2
137,1.7103753197573415,1.760880224425116,9,7,2
138,1.7103753197573415,1.760880224425116,9,7,2
139,1.7103753197573415,1.760880224425116,9,7,2
140,1.7103753197573415,1.760880224425116,9,7,2
141,1.7103753197573415,1.760880224425116,9,7,2
142,1.7103753197573415,1.760880224425116,9,7,2
143,1.7103753197573415,1.760880224425116,9,7,2
144,1.7103753197573415,1.760880224425116,9,7,2
145,1.7103753197573415,1.760880224425116,9,7,2
146,1.7103753197573415,1.760880224425116,9,7,2
147,1.7103753197573415,1.760880224425116,9,7,2
148,1.7103753197573415,1.760880224425116,9,7,2
149,1.7103753197573415,1.760880224425116,9,7,2
150,1.7103753197573415,1.760880224425116,9,7,2
151,1.7103753197573415,1.760880224425116,9,7,2
152,1.7103753197573415,1.760880224425116,9,7,2
153,1.7103753197573415,1.760880224425116,9,7,2
154,1.7103753197573415,1.760880224425116,9,7,2
155,1.7103753197573415,1.760880224425116,9,7,2
156,1.7103753197573415,1.760880224425116,9,7,2
157,1.7103753197573415,1.760880224425116,9,7,2
158,1.7103753197573415,1.760880224425116,9,7,2
159,1.7103753197573415,1.760880224425116,9,7,2
160,1.7103753197573415,1.760880224425116,9,7,2
161,1.7103753197573415,1.760880224425116,9,7,2
162,1.7103753197573415,1.760880224425116,9,7,2
163,1.7103753197573415,1.760880224425116,9,7,2
164,1.7103753197573415,1.760880224425116,9,7,2
165,1.7103753197573415,1.760880224425116,9,7,2
