,mq,No. Clus,Max clus,Min clus
0,1.4733362331448454,3,17,4
1,1.4733362331448454,3,17,4
2,1.4733362331448454,3,17,4
3,1.4733362331448454,3,17,4
4,1.4733362331448454,3,17,4
5,1.4733362331448454,3,17,4
6,1.4733362331448454,3,17,4
7,1.4733362331448454,3,17,4
8,1.4733362331448454,3,17,4
9,1.4733362331448454,3,17,4
10,1.4733362331448454,3,17,4
11,1.4733362331448454,3,17,4
12,1.4639933166248955,3,15,4
13,1.4639933166248955,3,15,4
14,1.4639933166248955,3,15,4
15,1.4639933166248955,3,15,4
16,1.4621909966172262,3,16,4
17,1.4621909966172262,3,16,4
18,1.4621909966172262,3,16,4
19,1.4621909966172262,3,16,4
20,1.4510413873245733,3,18,4
21,1.4426183382985767,3,14,4
22,1.4238766373735698,3,13,4
23,1.3809032258064518,3,13,4
24,1.3809032258064518,3,13,4
25,1.3809032258064518,3,13,4
26,1.343894389438944,3,14,4
27,1.343894389438944,3,14,4
28,1.2627019089574154,3,15,4
29,1.2629807692307693,3,18,4
30,1.2627019089574154,3,15,4
31,1.2627019089574154,3,15,4
32,1.2627019089574154,3,15,4
33,1.2627019089574154,3,15,4
34,1.2627019089574154,3,15,4
35,1.2627019089574154,3,15,4
36,1.2627019089574154,3,15,4
37,1.2627019089574154,3,15,4
38,1.2627019089574154,3,15,4
39,1.2627019089574154,3,15,4
40,1.2627019089574154,3,15,4
41,1.2627019089574154,3,15,4
42,1.2522335389913748,3,17,3
43,1.2468298923865828,3,16,5
44,1.2366292893415916,3,15,3
45,1.2366292893415916,3,15,3
46,1.2366292893415916,3,15,3
47,1.2349109320490261,3,15,5
48,1.2349109320490261,3,15,5
49,1.2349109320490261,3,15,5
50,1.2270739742437855,3,14,5
51,1.2262987012987012,3,16,4
52,1.2262987012987012,3,16,4
53,1.2262987012987012,3,16,4
54,1.2262987012987012,3,16,4
55,1.224303497332543,3,17,4
56,1.224303497332543,3,17,4
57,1.1984041060186854,3,12,5
58,1.0596716059271125,3,15,3
59,1.0285155015445473,3,17,3
