No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.0159227255519179,1.0288335689651478,14,3,2
1,1.0728273917978668,1.0935963982065449,10,5,1
2,1.0955011301445001,1.116510506641681,8,4,3
3,1.0955011301445001,1.116510506641681,8,4,3
4,1.0955011301445001,1.116510506641681,8,4,3
5,1.0955011301445001,1.116510506641681,8,4,3
6,1.1510755890579176,1.1745440146566555,8,4,3
7,1.1510755890579176,1.1745440146566555,8,4,3
8,1.3102262622436263,1.343025440223157,8,6,2
9,1.3102262622436263,1.343025440223157,8,6,2
10,1.3102262622436263,1.343025440223157,8,6,2
11,1.3102262622436263,1.343025440223157,8,6,2
12,1.5108951165048017,1.5525734554411705,8,6,2
13,1.5108951165048017,1.5525734554411705,8,6,2
14,1.5526292993276194,1.5961542852090276,8,6,2
15,1.6487643539554426,1.6965431072028812,8,6,2
16,1.716742765478549,1.7682923093766056,8,6,1
17,1.716742765478549,1.7682923093766056,8,6,1
18,1.716742765478549,1.7682923093766056,8,6,1
19,1.716742765478549,1.7682923093766056,8,6,1
20,1.716742765478549,1.7682923093766056,8,6,1
21,1.716742765478549,1.7682923093766056,8,6,1
22,1.716742765478549,1.7682923093766056,8,6,1
23,1.716742765478549,1.7682923093766056,8,6,1
24,1.716742765478549,1.7682923093766056,8,6,1
25,1.716742765478549,1.7682923093766056,8,6,1
26,1.7219646455287088,1.7729823526903434,8,6,2
27,1.7219646455287088,1.7729823526903434,8,6,2
28,1.7331384185052143,1.7846505408520996,8,6,2
29,1.7331384185052143,1.7846505408520996,8,6,2
30,1.7607634737471638,1.8134979447880601,8,6,2
31,1.7607634737471638,1.8134979447880601,8,6,2
32,1.8199552081706838,1.8753087848978907,8,6,2
33,1.8199552081706838,1.8753087848978907,8,6,2
34,1.8199552081706838,1.8753087848978907,8,6,2
35,1.8199552081706838,1.8753087848978907,8,6,2
36,1.8199552081706838,1.8753087848978907,8,6,2
37,1.8199552081706838,1.8753087848978907,8,6,2
