No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.0242108846217306,1.045117396941671,4,8,7
1,1.0242108846217306,1.045117396941671,4,8,7
2,1.1073628706028,1.1456807622647451,3,21,3
3,1.1181122920477191,1.1523284607396755,5,16,2
4,1.1181122920477191,1.1523284607396755,5,16,2
5,1.1196170710763316,1.153899822971988,3,15,3
6,1.2016215944591164,1.234192613295543,6,10,2
7,1.2016215944591164,1.234192613295543,6,10,2
8,1.2016215944591164,1.234192613295543,6,10,2
9,1.2028784323766997,1.2469484673652813,3,23,3
10,1.2028784323766997,1.2469484673652813,3,23,3
11,1.253120337585908,1.2925474254742548,4,15,3
12,1.253120337585908,1.2925474254742548,4,15,3
13,1.253120337585908,1.2925474254742548,4,15,3
14,1.3710032741496034,1.4186980002919283,3,19,4
15,1.3710032741496034,1.4186980002919283,3,19,4
16,1.3710032741496034,1.4186980002919283,3,19,4
17,1.3710032741496034,1.4186980002919283,3,19,4
18,1.5380766499649188,1.5878237550022232,4,12,3
19,1.5380766499649188,1.5878237550022232,4,12,3
20,1.5380766499649188,1.5878237550022232,4,12,3
21,1.5380766499649188,1.5878237550022232,4,12,3
22,1.5454004899600322,1.5954716590100513,4,12,3
23,1.5454004899600322,1.5954716590100513,4,12,3
24,1.5454004899600322,1.5954716590100513,4,12,3
25,1.554632202403611,1.611977896960832,3,21,4
26,1.554632202403611,1.611977896960832,3,21,4
27,1.554632202403611,1.611977896960832,3,21,4
28,1.554632202403611,1.611977896960832,3,21,4
29,1.554632202403611,1.611977896960832,3,21,4
30,1.554632202403611,1.611977896960832,3,21,4
31,1.554632202403611,1.611977896960832,3,21,4
32,1.554632202403611,1.611977896960832,3,21,4
33,1.554632202403611,1.611977896960832,3,21,4
34,1.554632202403611,1.611977896960832,3,21,4
35,1.554632202403611,1.611977896960832,3,21,4
36,1.554632202403611,1.611977896960832,3,21,4
37,1.554632202403611,1.611977896960832,3,21,4
38,1.554632202403611,1.611977896960832,3,21,4
39,1.554632202403611,1.611977896960832,3,21,4
40,1.554632202403611,1.611977896960832,3,21,4
41,1.5895522089219685,1.635473846944877,7,7,3
42,1.5895522089219685,1.635473846944877,7,7,3
43,1.5895522089219685,1.635473846944877,7,7,3
44,1.5895522089219685,1.635473846944877,7,7,3
45,1.5956733986773137,1.6418658860519324,7,7,3
46,1.5956733986773137,1.6418658860519324,7,7,3
47,1.6222966591172052,1.6681413807678194,8,5,2
48,1.6222966591172052,1.6681413807678194,8,5,2
49,1.6222966591172052,1.6681413807678194,8,5,2
50,1.6807020738547744,1.7291311082534486,8,5,2
51,1.6807020738547744,1.7291311082534486,8,5,2
52,1.6807020738547744,1.7291311082534486,8,5,2
53,1.6807020738547744,1.7291311082534486,8,5,2
54,1.6807020738547744,1.7291311082534486,8,5,2
55,1.6807020738547744,1.7291311082534486,8,5,2
56,1.6807020738547744,1.7291311082534486,8,5,2
57,1.6807020738547744,1.7291311082534486,8,5,2
58,1.6807020738547744,1.7291311082534486,8,5,2
59,1.6807020738547744,1.7291311082534486,8,5,2
60,1.6807020738547744,1.7291311082534486,8,5,2
61,1.6807020738547744,1.7291311082534486,8,5,2
62,1.6807020738547744,1.7291311082534486,8,5,2
63,1.6807020738547744,1.7291311082534486,8,5,2
64,1.6807020738547744,1.7291311082534486,8,5,2
65,1.6807020738547744,1.7291311082534486,8,5,2
66,1.6807020738547744,1.7291311082534486,8,5,2
67,1.6807020738547744,1.7291311082534486,8,5,2
68,1.6807020738547744,1.7291311082534486,8,5,2
69,1.6807020738547744,1.7291311082534486,8,5,2
70,1.6807020738547744,1.7291311082534486,8,5,2
71,1.6807020738547744,1.7291311082534486,8,5,2
72,1.6807020738547744,1.7291311082534486,8,5,2
73,1.6807020738547744,1.7291311082534486,8,5,2
74,1.6807020738547744,1.7291311082534486,8,5,2
75,1.6807020738547744,1.7291311082534486,8,5,2
76,1.6807020738547744,1.7291311082534486,8,5,2
77,1.6807020738547744,1.7291311082534486,8,5,2
78,1.6807020738547744,1.7291311082534486,8,5,2
79,1.6807020738547744,1.7291311082534486,8,5,2
80,1.6807020738547744,1.7291311082534486,8,5,2
81,1.6807020738547744,1.7291311082534486,8,5,2
82,1.6807020738547744,1.7291311082534486,8,5,2
83,1.6807020738547744,1.7291311082534486,8,5,2
84,1.6807020738547744,1.7291311082534486,8,5,2
85,1.6807020738547744,1.7291311082534486,8,5,2
86,1.6807020738547744,1.7291311082534486,8,5,2
87,1.6807020738547744,1.7291311082534486,8,5,2
88,1.6807020738547744,1.7291311082534486,8,5,2
89,1.6807020738547744,1.7291311082534486,8,5,2
90,1.6807020738547744,1.7291311082534486,8,5,2
91,1.6807020738547744,1.7291311082534486,8,5,2
92,1.6807020738547744,1.7291311082534486,8,5,2
93,1.6807020738547744,1.7291311082534486,8,5,2
94,1.7126885585689422,1.7625329254429336,8,5,2
95,1.7126885585689422,1.7625329254429336,8,5,2
96,1.7126885585689422,1.7625329254429336,8,5,2
97,1.7126885585689422,1.7625329254429336,8,5,2
98,1.7126885585689422,1.7625329254429336,8,5,2
99,1.7126885585689422,1.7625329254429336,8,5,2
100,1.7126885585689422,1.7625329254429336,8,5,2
101,1.7126885585689422,1.7625329254429336,8,5,2
102,1.7126885585689422,1.7625329254429336,8,5,2
103,1.7126885585689422,1.7625329254429336,8,5,2
104,1.7126885585689422,1.7625329254429336,8,5,2
105,1.7126885585689422,1.7625329254429336,8,5,2
106,1.7405910348252034,1.7909071320836025,8,4,2
107,1.7405910348252034,1.7909071320836025,8,4,2
108,1.7405910348252034,1.7909071320836025,8,4,2
109,1.7405910348252034,1.7909071320836025,8,4,2
110,1.7405910348252034,1.7909071320836025,8,4,2
111,1.7405910348252034,1.7909071320836025,8,4,2
112,1.7405910348252034,1.7909071320836025,8,4,2
113,1.7590550325016794,1.8109510151411845,8,5,2
114,1.7590550325016794,1.8109510151411845,8,5,2
115,1.7590550325016794,1.8109510151411845,8,5,2
116,1.7590550325016794,1.8109510151411845,8,5,2
117,1.7590550325016794,1.8109510151411845,8,5,2
118,1.7590550325016794,1.8109510151411845,8,5,2
119,1.7590550325016794,1.8109510151411845,8,5,2
120,1.7590550325016794,1.8109510151411845,8,5,2
121,1.7590550325016794,1.8109510151411845,8,5,2
122,1.7590550325016794,1.8109510151411845,8,5,2
123,1.7590550325016794,1.8109510151411845,8,5,2
124,1.7590550325016794,1.8109510151411845,8,5,2
125,1.7590550325016794,1.8109510151411845,8,5,2
126,1.7590550325016794,1.8109510151411845,8,5,2
127,1.7590550325016794,1.8109510151411845,8,5,2
128,1.7590550325016794,1.8109510151411845,8,5,2
129,1.7590550325016794,1.8109510151411845,8,5,2
130,1.7590550325016794,1.8109510151411845,8,5,2
131,1.7590550325016794,1.8109510151411845,8,5,2
132,1.7590550325016794,1.8109510151411845,8,5,2
133,1.7590550325016794,1.8109510151411845,8,5,2
134,1.7590550325016794,1.8109510151411845,8,5,2
135,1.7590550325016794,1.8109510151411845,8,5,2
136,1.7590550325016794,1.8109510151411845,8,5,2
137,1.7590550325016794,1.8109510151411845,8,5,2
138,1.7590550325016794,1.8109510151411845,8,5,2
139,1.7590550325016794,1.8109510151411845,8,5,2
140,1.7590550325016794,1.8109510151411845,8,5,2
141,1.7590550325016794,1.8109510151411845,8,5,2
142,1.7590550325016794,1.8109510151411845,8,5,2
143,1.7590550325016794,1.8109510151411845,8,5,2
144,1.7590550325016794,1.8109510151411845,8,5,2
145,1.7590550325016794,1.8109510151411845,8,5,2
146,1.7590550325016794,1.8109510151411845,8,5,2
147,1.7590550325016794,1.8109510151411845,8,5,2
148,1.7590550325016794,1.8109510151411845,8,5,2
149,1.7590550325016794,1.8109510151411845,8,5,2
150,1.7590550325016794,1.8109510151411845,8,5,2
151,1.7590550325016794,1.8109510151411845,8,5,2
152,1.7590550325016794,1.8109510151411845,8,5,2
153,1.7590550325016794,1.8109510151411845,8,5,2
154,1.7590550325016794,1.8109510151411845,8,5,2
155,1.7590550325016794,1.8109510151411845,8,5,2
156,1.7590550325016794,1.8109510151411845,8,5,2
157,1.7590550325016794,1.8109510151411845,8,5,2
158,1.7590550325016794,1.8109510151411845,8,5,2
159,1.7590550325016794,1.8109510151411845,8,5,2
160,1.7590550325016794,1.8109510151411845,8,5,2
161,1.7590550325016794,1.8109510151411845,8,5,2
162,1.7590550325016794,1.8109510151411845,8,5,2
163,1.7590550325016794,1.8109510151411845,8,5,2
164,1.7590550325016794,1.8109510151411845,8,5,2
165,1.846528272912312,1.9015318628648892,9,5,2
166,1.846528272912312,1.9015318628648892,9,5,2
167,1.846528272912312,1.9015318628648892,9,5,2
168,1.846528272912312,1.9015318628648892,9,5,2
169,1.846528272912312,1.9015318628648892,9,5,2
170,1.846528272912312,1.9015318628648892,9,5,2
171,1.846528272912312,1.9015318628648892,9,5,2
172,1.846528272912312,1.9015318628648892,9,5,2
173,1.846528272912312,1.9015318628648892,9,5,2
174,1.846528272912312,1.9015318628648892,9,5,2
175,1.846528272912312,1.9015318628648892,9,5,2
176,1.846528272912312,1.9015318628648892,9,5,2
177,1.846528272912312,1.9015318628648892,9,5,2
178,1.846528272912312,1.9015318628648892,9,5,2
179,1.846528272912312,1.9015318628648892,9,5,2
180,1.846528272912312,1.9015318628648892,9,5,2
181,1.846528272912312,1.9015318628648892,9,5,2
182,1.846528272912312,1.9015318628648892,9,5,2
183,1.846528272912312,1.9015318628648892,9,5,2
184,1.846528272912312,1.9015318628648892,9,5,2
185,1.846528272912312,1.9015318628648892,9,5,2
186,1.846528272912312,1.9015318628648892,9,5,2
187,1.846528272912312,1.9015318628648892,9,5,2
188,1.846528272912312,1.9015318628648892,9,5,2
189,1.846528272912312,1.9015318628648892,9,5,2
190,1.846528272912312,1.9015318628648892,9,5,2
191,1.846528272912312,1.9015318628648892,9,5,2
192,1.846528272912312,1.9015318628648892,9,5,2
193,1.846528272912312,1.9015318628648892,9,5,2
194,1.846528272912312,1.9015318628648892,9,5,2
195,1.846528272912312,1.9015318628648892,9,5,2
196,1.846528272912312,1.9015318628648892,9,5,2
197,1.846528272912312,1.9015318628648892,9,5,2
198,1.846528272912312,1.9015318628648892,9,5,2
199,1.846528272912312,1.9015318628648892,9,5,2
200,1.846528272912312,1.9015318628648892,9,5,2
201,1.846528272912312,1.9015318628648892,9,5,2
202,1.846528272912312,1.9015318628648892,9,5,2
