0: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17, 9], [24, 7], [15, 11, 8, 16, 10, 12, 14], [23, 28], [21, 26, 27]]
1: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17, 9], [24, 7], [15, 11, 8, 16, 10, 12, 14], [23, 28], [21, 26, 27]]
2: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17], [9, 24, 7], [15, 11, 8], [16, 10, 12, 14, 23, 28], [21, 26, 27]]
3: [[18, 19, 2], [25, 20, 3], [4, 22], [6, 5], [29, 1], [13, 17, 9], [24, 7, 15, 11, 8, 16, 10, 12, 14, 23], [28], [21, 26, 27]]
4: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5, 29, 1], [13, 17, 9], [24, 7], [15, 11, 8], [16, 10], [12, 23, 28, 14], [21, 27, 26]]
5: [[18, 19, 2], [25, 20], [3, 4], [22, 6, 5], [29, 1, 13], [17, 9, 24, 7], [15, 11, 8, 16, 10, 12], [14, 23, 28], [21, 26, 27]]
6: [[18, 19, 2], [25, 20], [3, 4], [22, 6, 5], [29, 1, 13, 17], [9, 24, 7], [15, 11, 8], [16, 10, 12], [14, 23, 28], [21, 27, 26]]
7: [[18, 19, 2], [25, 20, 3], [4, 6, 22], [5, 29], [1, 13, 17], [9, 24, 7], [15, 8, 16], [10, 11, 12, 14], [23, 28], [21, 27, 26]]
8: [[18, 19, 2], [25, 20, 3], [4, 22], [6, 5, 29], [1, 13, 17], [9, 24], [7], [15, 11], [8, 16, 12, 10], [23, 28, 14], [21, 27, 26]]
9: [[18, 19, 2], [25, 20], [3, 4], [22, 6, 5], [29, 1, 13], [17, 9, 24], [7, 15, 8, 16], [10, 23, 28], [12, 14, 11], [21, 26, 27]]
10: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17], [9, 8, 7, 15, 11, 24, 16, 10, 12, 14, 23], [28, 21, 26, 27]]
11: [[18, 19, 2], [25, 20, 3], [4, 22], [6, 5], [29, 1, 13], [17, 9, 24], [7, 15, 11], [8, 16, 10], [12, 14, 23, 28], [21, 27, 26]]
12: [[18, 19], [2, 25], [20, 3], [4, 22], [6, 5], [29, 1], [13, 17, 9], [24, 7], [15, 11, 8], [10, 23, 28], [12, 14, 16], [21, 26, 27]]
