,mq,No. Clus,Max clus,Min clus
0,2.1403996422864346,9,7,2
1,1.9937021576965428,11,3,2
2,1.9937021576965428,11,3,2
3,1.8317995993205143,11,3,2
4,1.8157358523146188,10,5,1
5,1.8096874534408427,7,10,2
6,1.7780969364248107,10,4,2
7,1.7686328164589034,11,3,2
8,1.764859588795759,12,3,1
9,1.7362172968063572,7,14,2
10,1.7361931839577935,11,4,2
11,1.7156371406371407,11,3,2
12,1.708289293315689,11,3,2
13,1.6792559625838366,10,4,2
14,1.6634437077609638,5,16,2
15,1.6467916965796074,8,12,2
16,1.6034827382038697,11,4,2
17,1.5877400023420245,8,6,2
18,1.5797026502908855,11,4,2
19,1.5223275546777852,5,13,2
20,1.5016929307251887,9,9,1
21,1.4978334726007583,9,5,2
22,1.4830127071960102,12,4,1
23,1.4493512225389087,10,6,2
24,1.4413586413586412,8,9,2
25,1.4289810547875064,4,14,2
26,1.4262025012025012,12,3,1
27,1.4289810547875064,4,14,2
28,1.380478058526839,12,4,2
29,1.3805361305361306,6,16,1
30,1.378917984850188,10,6,2
31,1.3555385404069615,11,5,1
32,1.3333688181472272,10,4,2
33,1.3296242764327872,11,4,1
34,1.327540167025118,11,4,1
35,1.3221832788495242,8,8,1
36,1.3147963147963146,4,13,2
37,1.295940170940171,6,11,2
38,1.290659779868413,3,24,2
39,1.290659779868413,3,24,2
40,1.2726105637028224,10,4,2
41,1.2706187895212286,7,13,2
42,1.2627086175473272,4,16,2
43,1.2627086175473272,4,16,2
44,1.2467349033260227,10,6,2
45,1.2436674436674438,11,4,1
46,1.2305274403958615,10,5,2
47,1.2209433190096175,8,12,2
48,1.2056703582940465,12,3,1
49,1.202772521273909,11,3,2
50,1.2051317981507177,5,17,2
51,1.1993741455462208,11,5,1
52,1.196909205700625,5,19,2
53,1.1859514687100894,3,25,2
54,1.1697573086081978,4,20,2
55,1.1031080509758835,11,3,2
56,1.0606701622379116,10,4,2
57,1.0576046627410476,11,4,2
58,1.0165185691501482,10,5,1
59,1.0041437987783963,11,3,2
