0: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
1: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
2: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
3: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
4: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
5: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
6: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
7: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
8: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
9: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
10: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
11: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
12: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
13: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
14: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
