,mq,No. Clus,Max clus,Min clus
0,1.9795014975687244,7,8,2
1,1.5556743429577005,7,8,2
2,1.5121027121027122,7,9,2
3,1.4335483329582601,7,8,2
4,1.3697662459790436,7,8,2
5,1.341617902394205,7,8,2
6,1.3327037403869468,7,10,2
7,1.3303721926296936,7,8,2
8,1.3123152862512022,7,9,2
9,1.234143513213927,7,10,2
10,1.2106898519677425,7,8,1
11,1.1624566006632047,7,8,2
12,1.1521598605997583,3,17,4
13,1.1434538991424497,3,17,4
14,1.1434538991424497,3,17,4
15,1.1359052095414437,3,17,4
16,1.1329354171575172,3,17,4
17,1.1329354171575172,3,17,4
18,1.1319596462688866,3,17,4
19,1.1307896131425543,3,17,4
20,1.1288306886029846,3,17,4
21,1.1254940520947807,3,17,4
22,1.1179028132992328,3,17,4
23,1.1058411914384074,3,17,4
24,1.1002657227397097,7,9,2
25,1.0987423429283893,7,8,2
26,1.0962477086508093,7,10,2
27,1.0839816672420495,7,8,2
28,1.0830657205674032,3,17,4
29,1.0768370776110714,3,17,4
30,1.0693671801257205,3,17,4
31,1.0643145595707266,3,17,4
32,1.0577030812324932,3,17,4
33,1.0522133095662507,3,17,4
34,1.0316105540162144,7,8,2
35,1.0170090540753507,7,8,2
36,1.0062309348132985,7,8,1
37,1.005561469648938,7,7,2
38,0.9895148478553099,7,10,2
39,0.9879096452904771,7,9,1
40,0.9793989040792606,7,8,2
41,0.9788328472375737,7,8,2
42,0.9744755575957622,7,9,2
43,0.9712413674135848,7,10,2
44,0.9612435803374908,3,17,4
45,0.9528503533080191,7,8,2
46,0.9448127989444169,3,17,4
47,0.9448127989444169,3,17,4
48,0.935168619652273,7,10,1
49,0.9377203795009712,3,17,4
50,0.9344703992089977,3,17,4
51,0.9305447889420846,7,8,2
52,0.9313590263691685,3,17,4
53,0.9204022988505747,3,17,4
54,0.9056385281385281,3,17,4
55,0.9025282409897795,3,17,4
56,0.8928403311898456,3,17,4
57,0.8849323019848832,3,17,4
58,0.8558488106875204,7,9,1
59,0.8382101269761486,3,17,4
