,mq,No. Clus,Max clus,Min clus
0,1.753093931434739,6,6,3
1,1.753093931434739,6,6,3
2,1.3797118833070274,5,9,3
3,1.3391815017378594,5,7,3
4,1.3260113396998883,6,7,3
5,1.3124453116748107,4,12,3
6,1.2810203071432145,5,7,4
7,1.278454300165443,5,7,4
8,1.2663055416219973,5,7,3
9,1.2432554116753156,6,6,2
10,1.2354190088324373,4,10,6
11,1.230950526266982,6,6,3
12,1.2284328230669694,4,9,6
13,1.2226020941119369,5,8,3
14,1.2046781711710974,6,6,2
15,1.1954667164172101,5,7,5
16,1.1889978625901805,4,17,3
17,1.1885143285848825,5,6,5
18,1.192326318570045,3,23,3
19,1.192326318570045,3,23,3
20,1.1889978625901805,4,17,3
21,1.1832148277976033,4,8,6
22,1.1750770472945207,4,8,6
23,1.1633769886934444,6,8,2
24,1.1527379948669423,6,8,3
25,1.1534060519619442,3,16,6
26,1.134072959389415,4,9,6
27,1.1169242095053966,5,9,3
28,1.1108416429189314,7,6,3
29,1.1071290773023728,5,7,4
30,1.1031346826404786,5,7,2
31,1.1022949795570223,3,20,3
32,1.1022949795570223,3,20,3
33,1.1022949795570223,3,20,3
34,1.0822739556916772,4,9,6
35,1.086826299239529,4,14,3
36,1.0773301087441254,4,8,6
37,1.0681788928507072,5,9,3
38,1.0626910102259868,5,10,3
39,1.061097046413502,5,7,4
40,1.0618829542725807,5,8,2
41,1.0609250345173522,5,7,3
42,1.0555736414423114,5,7,5
43,1.049816450243382,6,9,1
44,1.0488841612594404,5,7,3
45,1.0438797667940758,8,5,2
46,1.046163786793472,4,14,3
47,1.0399743679224027,6,7,2
48,1.0353533089456268,4,14,3
49,1.026278302594092,4,9,4
50,1.0213647840306372,6,7,3
51,1.0199421509846904,4,10,6
52,1.007905060452984,7,6,2
53,1.0061627572856646,6,7,3
54,0.9677228137869996,5,7,3
55,0.9586877684152577,7,6,2
56,0.9536992797862364,5,9,3
57,0.9455919959084516,6,6,3
58,0.9200936938668435,7,6,1
59,0.9159734734734735,4,10,3
