No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.1427620823955276,1.1689142277287978,4,8,7
1,1.1427620823955276,1.1689142277287978,4,8,7
2,1.1427620823955276,1.1689142277287978,4,8,7
3,1.1427620823955276,1.1689142277287978,4,8,7
4,1.1427620823955276,1.1689142277287978,4,8,7
5,1.1427620823955276,1.1689142277287978,4,8,7
6,1.1427620823955276,1.1689142277287978,4,8,7
7,1.150752919774063,1.1948051948051948,3,25,2
8,1.150752919774063,1.1948051948051948,3,25,2
9,1.2034883590135133,1.2384306588877587,4,11,2
10,1.2034883590135133,1.2384306588877587,4,11,2
11,1.2034883590135133,1.2384306588877587,4,11,2
12,1.2034883590135133,1.2384306588877587,4,11,2
13,1.2034883590135133,1.2384306588877587,4,11,2
14,1.2034883590135133,1.2384306588877587,4,11,2
15,1.227533710218811,1.2673544325931108,4,16,2
16,1.227533710218811,1.2673544325931108,4,16,2
17,1.227533710218811,1.2673544325931108,4,16,2
18,1.227533710218811,1.2673544325931108,4,16,2
19,1.227533710218811,1.2673544325931108,4,16,2
20,1.227533710218811,1.2673544325931108,4,16,2
21,1.227533710218811,1.2673544325931108,4,16,2
22,1.227533710218811,1.2673544325931108,4,16,2
23,1.2502694619583024,1.2872817240312884,4,11,2
24,1.2502694619583024,1.2872817240312884,4,11,2
25,1.2653449958264553,1.3068387854643888,4,16,2
26,1.2653449958264553,1.3068387854643888,4,16,2
27,1.2653449958264553,1.3068387854643888,4,16,2
28,1.2653449958264553,1.3068387854643888,4,16,2
29,1.2653449958264553,1.3068387854643888,4,16,2
30,1.2653449958264553,1.3068387854643888,4,16,2
31,1.2653449958264553,1.3068387854643888,4,16,2
32,1.2653449958264553,1.3068387854643888,4,16,2
33,1.2653449958264553,1.3068387854643888,4,16,2
34,1.2653449958264553,1.3068387854643888,4,16,2
35,1.2653449958264553,1.3068387854643888,4,16,2
36,1.2653449958264553,1.3068387854643888,4,16,2
37,1.3401709841714444,1.3803982997531385,5,10,1
38,1.3401709841714444,1.3803982997531385,5,10,1
39,1.3401709841714444,1.3803982997531385,5,10,1
40,1.3401709841714444,1.3803982997531385,5,10,1
41,1.3401709841714444,1.3803982997531385,5,10,1
42,1.3401709841714444,1.3803982997531385,5,10,1
43,1.3401709841714444,1.3803982997531385,5,10,1
44,1.3401709841714444,1.3803982997531385,5,10,1
45,1.3401709841714444,1.3803982997531385,5,10,1
46,1.3401709841714444,1.3803982997531385,5,10,1
47,1.3401709841714444,1.3803982997531385,5,10,1
48,1.3401709841714444,1.3803982997531385,5,10,1
49,1.3401709841714444,1.3803982997531385,5,10,1
50,1.3401709841714444,1.3803982997531385,5,10,1
51,1.3401709841714444,1.3803982997531385,5,10,1
52,1.3401709841714444,1.3803982997531385,5,10,1
53,1.3401709841714444,1.3803982997531385,5,10,1
54,1.3401709841714444,1.3803982997531385,5,10,1
55,1.3401709841714444,1.3803982997531385,5,10,1
56,1.3401709841714444,1.3803982997531385,5,10,1
57,1.3401709841714444,1.3803982997531385,5,10,1
58,1.3401709841714444,1.3803982997531385,5,10,1
59,1.3941193033603374,1.4367337148926849,5,10,1
60,1.6820977034067564,1.7336400657296178,8,8,1
61,1.6820977034067564,1.7336400657296178,8,8,1
62,1.6820977034067564,1.7336400657296178,8,8,1
63,1.6820977034067564,1.7336400657296178,8,8,1
64,1.6820977034067564,1.7336400657296178,8,8,1
65,1.6820977034067564,1.7336400657296178,8,8,1
66,1.6820977034067564,1.7336400657296178,8,8,1
67,1.6820977034067564,1.7336400657296178,8,8,1
68,1.6820977034067564,1.7336400657296178,8,8,1
69,1.6820977034067564,1.7336400657296178,8,8,1
70,1.6820977034067564,1.7336400657296178,8,8,1
71,1.6820977034067564,1.7336400657296178,8,8,1
72,1.6820977034067564,1.7336400657296178,8,8,1
73,1.6820977034067564,1.7336400657296178,8,8,1
74,1.6820977034067564,1.7336400657296178,8,8,1
75,1.6820977034067564,1.7336400657296178,8,8,1
76,1.6820977034067564,1.7336400657296178,8,8,1
77,1.7482502472663288,1.800431035213644,9,6,1
78,1.7482502472663288,1.800431035213644,9,6,1
79,1.7482502472663288,1.800431035213644,9,6,1
80,1.7482502472663288,1.800431035213644,9,6,1
81,1.7482502472663288,1.800431035213644,9,6,1
82,1.7482502472663288,1.800431035213644,9,6,1
83,1.7482502472663288,1.800431035213644,9,6,1
84,1.7482502472663288,1.800431035213644,9,6,1
85,1.7482502472663288,1.800431035213644,9,6,1
86,1.7482502472663288,1.800431035213644,9,6,1
87,1.7482502472663288,1.800431035213644,9,6,1
88,1.7482502472663288,1.800431035213644,9,6,1
89,1.7482502472663288,1.800431035213644,9,6,1
90,1.7482502472663288,1.800431035213644,9,6,1
91,1.7482502472663288,1.800431035213644,9,6,1
92,1.7482502472663288,1.800431035213644,9,6,1
93,1.7482502472663288,1.800431035213644,9,6,1
94,1.7482502472663288,1.800431035213644,9,6,1
95,1.7482502472663288,1.800431035213644,9,6,1
