No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.0667882306208643,1.088815804438141,5,6,5
1,1.0667882306208643,1.088815804438141,5,6,5
2,1.0667882306208643,1.088815804438141,5,6,5
3,1.0667882306208643,1.088815804438141,5,6,5
4,1.080367976982139,1.1029964250812707,6,6,4
5,1.1584018362992385,1.1875346875346875,3,11,8
6,1.2031469267971018,1.2342596511026473,3,11,8
7,1.2031469267971018,1.2342596511026473,3,11,8
8,1.2031469267971018,1.2342596511026473,3,11,8
9,1.2308838225926395,1.2647496314676592,3,12,7
10,1.2308838225926395,1.2647496314676592,3,12,7
11,1.2813621877039394,1.3189873417721518,3,12,5
12,1.2813621877039394,1.3189873417721518,3,12,5
13,1.2813621877039394,1.3189873417721518,3,12,5
14,1.2990853890382819,1.3374947562714992,3,12,5
15,1.2990853890382819,1.3374947562714992,3,12,5
16,1.2990853890382819,1.3374947562714992,3,12,5
17,1.2990853890382819,1.3374947562714992,3,12,5
18,1.2990853890382819,1.3374947562714992,3,12,5
19,1.2990853890382819,1.3374947562714992,3,12,5
20,1.2990853890382819,1.3374947562714992,3,12,5
21,1.313005953144445,1.3527941686914264,3,13,5
22,1.313005953144445,1.3527941686914264,3,13,5
23,1.313005953144445,1.3527941686914264,3,13,5
24,1.313005953144445,1.3527941686914264,3,13,5
25,1.313005953144445,1.3527941686914264,3,13,5
26,1.313005953144445,1.3527941686914264,3,13,5
27,1.4316978382335543,1.4782636990758817,3,14,4
28,1.4316978382335543,1.4782636990758817,3,14,4
29,1.4316978382335543,1.4782636990758817,3,14,4
30,1.4316978382335543,1.4782636990758817,3,14,4
31,1.456047565970804,1.5029279557919915,3,13,4
32,1.456047565970804,1.5029279557919915,3,13,4
33,1.456047565970804,1.5029279557919915,3,13,4
34,1.456047565970804,1.5029279557919915,3,13,4
35,1.456047565970804,1.5029279557919915,3,13,4
36,1.456047565970804,1.5029279557919915,3,13,4
37,1.456047565970804,1.5029279557919915,3,13,4
38,1.456047565970804,1.5029279557919915,3,13,4
39,1.456047565970804,1.5029279557919915,3,13,4
40,1.456047565970804,1.5029279557919915,3,13,4
41,1.456047565970804,1.5029279557919915,3,13,4
42,1.456047565970804,1.5029279557919915,3,13,4
43,1.456047565970804,1.5029279557919915,3,13,4
44,1.4916943339801867,1.5401520158625248,3,13,4
45,1.4916943339801867,1.5401520158625248,3,13,4
46,1.4916943339801867,1.5401520158625248,3,13,4
47,1.4916943339801867,1.5401520158625248,3,13,4
48,1.4916943339801867,1.5401520158625248,3,13,4
49,1.4916943339801867,1.5401520158625248,3,13,4
50,1.4916943339801867,1.5401520158625248,3,13,4
51,1.4916943339801867,1.5401520158625248,3,13,4
52,1.4916943339801867,1.5401520158625248,3,13,4
53,1.4916943339801867,1.5401520158625248,3,13,4
54,1.4916943339801867,1.5401520158625248,3,13,4
55,1.4916943339801867,1.5401520158625248,3,13,4
56,1.4916943339801867,1.5401520158625248,3,13,4
57,1.4916943339801867,1.5401520158625248,3,13,4
58,1.4916943339801867,1.5401520158625248,3,13,4
59,1.519760135292462,1.5694596679251411,3,13,4
60,1.519760135292462,1.5694596679251411,3,13,4
61,1.519760135292462,1.5694596679251411,3,13,4
62,1.519760135292462,1.5694596679251411,3,13,4
63,1.519760135292462,1.5694596679251411,3,13,4
64,1.519760135292462,1.5694596679251411,3,13,4
65,1.519760135292462,1.5694596679251411,3,13,4
66,1.519760135292462,1.5694596679251411,3,13,4
67,1.519760135292462,1.5694596679251411,3,13,4
68,1.519760135292462,1.5694596679251411,3,13,4
69,1.519760135292462,1.5694596679251411,3,13,4
70,1.519760135292462,1.5694596679251411,3,13,4
71,1.519760135292462,1.5694596679251411,3,13,4
72,1.519760135292462,1.5694596679251411,3,13,4
73,1.519760135292462,1.5694596679251411,3,13,4
74,1.519760135292462,1.5694596679251411,3,13,4
75,1.519760135292462,1.5694596679251411,3,13,4
76,1.519760135292462,1.5694596679251411,3,13,4
77,1.519760135292462,1.5694596679251411,3,13,4
78,1.519760135292462,1.5694596679251411,3,13,4
79,1.519760135292462,1.5694596679251411,3,13,4
80,1.519760135292462,1.5694596679251411,3,13,4
81,1.519760135292462,1.5694596679251411,3,13,4
82,1.519760135292462,1.5694596679251411,3,13,4
83,1.519760135292462,1.5694596679251411,3,13,4
84,1.519760135292462,1.5694596679251411,3,13,4
85,1.519760135292462,1.5694596679251411,3,13,4
86,1.519760135292462,1.5694596679251411,3,13,4
87,1.519760135292462,1.5694596679251411,3,13,4
88,1.519760135292462,1.5694596679251411,3,13,4
89,1.519760135292462,1.5694596679251411,3,13,4
90,1.519760135292462,1.5694596679251411,3,13,4
91,1.519760135292462,1.5694596679251411,3,13,4
92,1.519760135292462,1.5694596679251411,3,13,4
93,1.519760135292462,1.5694596679251411,3,13,4
94,1.519760135292462,1.5694596679251411,3,13,4
95,1.519760135292462,1.5694596679251411,3,13,4
96,1.519760135292462,1.5694596679251411,3,13,4
97,1.519760135292462,1.5694596679251411,3,13,4
98,1.519760135292462,1.5694596679251411,3,13,4
99,1.519760135292462,1.5694596679251411,3,13,4
100,1.519760135292462,1.5694596679251411,3,13,4
101,1.519760135292462,1.5694596679251411,3,13,4
102,1.519760135292462,1.5694596679251411,3,13,4
103,1.519760135292462,1.5694596679251411,3,13,4
104,1.519760135292462,1.5694596679251411,3,13,4
105,1.519760135292462,1.5694596679251411,3,13,4
106,1.519760135292462,1.5694596679251411,3,13,4
107,1.519760135292462,1.5694596679251411,3,13,4
108,1.519760135292462,1.5694596679251411,3,13,4
109,1.5205355500046762,1.570269393054203,3,13,4
110,1.5205355500046762,1.570269393054203,3,13,4
111,1.5205355500046762,1.570269393054203,3,13,4
112,1.5205355500046762,1.570269393054203,3,13,4
113,1.5325020033121386,1.582765335929893,3,13,4
114,1.5325020033121386,1.582765335929893,3,13,4
115,1.5325020033121386,1.582765335929893,3,13,4
116,1.5325020033121386,1.582765335929893,3,13,4
117,1.5325020033121386,1.582765335929893,3,13,4
118,1.5325020033121386,1.582765335929893,3,13,4
119,1.5325020033121386,1.582765335929893,3,13,4
120,1.5325020033121386,1.582765335929893,3,13,4
121,1.5325020033121386,1.582765335929893,3,13,4
122,1.5325020033121386,1.582765335929893,3,13,4
123,1.5328613629678658,1.5831405964698722,3,13,4
124,1.5328613629678658,1.5831405964698722,3,13,4
125,1.5328613629678658,1.5831405964698722,3,13,4
126,1.5328613629678658,1.5831405964698722,3,13,4
127,1.5328613629678658,1.5831405964698722,3,13,4
128,1.5328613629678658,1.5831405964698722,3,13,4
129,1.5328613629678658,1.5831405964698722,3,13,4
130,1.5328613629678658,1.5831405964698722,3,13,4
131,1.5328613629678658,1.5831405964698722,3,13,4
132,1.5328613629678658,1.5831405964698722,3,13,4
133,1.5328613629678658,1.5831405964698722,3,13,4
134,1.5328613629678658,1.5831405964698722,3,13,4
135,1.5328613629678658,1.5831405964698722,3,13,4
136,1.5328613629678658,1.5831405964698722,3,13,4
137,1.5328613629678658,1.5831405964698722,3,13,4
138,1.5328613629678658,1.5831405964698722,3,13,4
139,1.5328613629678658,1.5831405964698722,3,13,4
140,1.5328613629678658,1.5831405964698722,3,13,4
141,1.5328613629678658,1.5831405964698722,3,13,4
142,1.5328613629678658,1.5831405964698722,3,13,4
143,1.5328613629678658,1.5831405964698722,3,13,4
144,1.5328613629678658,1.5831405964698722,3,13,4
145,1.5328613629678658,1.5831405964698722,3,13,4
146,1.5328613629678658,1.5831405964698722,3,13,4
147,1.5328613629678658,1.5831405964698722,3,13,4
148,1.5328613629678658,1.5831405964698722,3,13,4
149,1.5328613629678658,1.5831405964698722,3,13,4
150,1.5328613629678658,1.5831405964698722,3,13,4
151,1.5328613629678658,1.5831405964698722,3,13,4
152,1.5328613629678658,1.5831405964698722,3,13,4
