,mq,No. Clus,Max clus,Min clus
0,2.07113540845203,9,4,2
1,2.07113540845203,9,4,2
2,1.5144619441373843,4,15,4
3,1.474185463659148,3,20,4
4,1.4233210301754669,11,4,2
5,1.4224311755353483,8,7,2
6,1.3951709681663722,11,4,2
7,1.3863818800348906,9,4,2
8,1.3659207610115276,6,12,2
9,1.3479638009049775,5,12,2
10,1.3106380265547501,10,5,2
11,1.3110056925996205,4,21,2
12,1.3080620890092554,9,6,2
13,1.2853585878795963,6,10,2
14,1.2772953411861492,9,6,2
15,1.2787959648002603,7,8,2
16,1.2646560961206192,5,14,2
17,1.262740184032161,9,7,2
18,1.247518458625571,7,9,2
19,1.2412574485146373,8,9,2
20,1.239709540532631,4,13,2
21,1.2373735197264608,7,13,2
22,1.2327933708113368,7,9,2
23,1.2215804679359668,8,7,2
24,1.2167751375503122,9,8,1
25,1.2148781134075253,9,7,2
26,1.2120861164978811,7,8,2
27,1.207790290711203,7,6,2
28,1.2052686571704705,8,8,2
29,1.2070889171399704,7,11,2
30,1.1911194710442317,8,10,2
31,1.1910919135732656,7,7,2
32,1.1862637337125261,9,5,1
33,1.1854627391291372,8,7,2
34,1.1819661197812459,9,7,2
35,1.181556710490192,8,6,2
36,1.1770245386290108,10,4,2
37,1.1806259055346278,7,11,2
38,1.173230507918512,5,11,2
39,1.1675417641804198,9,5,1
40,1.1639649599588333,10,6,1
41,1.1154286434289329,6,9,2
42,1.1020496139828349,3,20,4
43,1.1010595623686474,10,5,2
44,1.0840337000854128,4,11,5
45,1.080642253023767,6,7,2
46,1.0629210361830683,3,13,4
47,1.0376330169686512,5,13,2
48,1.0161811329258874,8,6,1
49,1.0149856896382925,6,10,2
50,1.0040011363540775,9,5,2
51,0.9965438849806295,10,4,2
52,0.9718513582457464,8,8,2
53,0.9644850329781837,3,25,2
54,0.9599272511037218,9,5,1
55,0.9604100230261221,8,5,1
56,0.9335794030530873,7,7,2
57,0.8888560309120588,9,5,2
58,0.8729379156896312,10,4,2
59,0.8134759358288771,9,5,1
