No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.003751958927037,1.0199387402862037,9,4,3
1,1.3908077293002856,1.4340385044600137,6,13,2
2,1.3908077293002856,1.4340385044600137,6,13,2
3,1.3908077293002856,1.4340385044600137,6,13,2
4,1.3908077293002856,1.4340385044600137,6,13,2
5,1.3908077293002856,1.4340385044600137,6,13,2
6,1.3908077293002856,1.4340385044600137,6,13,2
7,1.3908077293002856,1.4340385044600137,6,13,2
8,1.3908077293002856,1.4340385044600137,6,13,2
9,1.3908077293002856,1.4340385044600137,6,13,2
10,1.3908077293002856,1.4340385044600137,6,13,2
11,1.3908077293002856,1.4340385044600137,6,13,2
12,1.3908077293002856,1.4340385044600137,6,13,2
13,1.3908077293002856,1.4340385044600137,6,13,2
14,1.3908077293002856,1.4340385044600137,6,13,2
15,1.3908077293002856,1.4340385044600137,6,13,2
16,1.3908077293002856,1.4340385044600137,6,13,2
17,1.3908077293002856,1.4340385044600137,6,13,2
18,1.3908077293002856,1.4340385044600137,6,13,2
19,1.3908077293002856,1.4340385044600137,6,13,2
20,1.3908077293002856,1.4340385044600137,6,13,2
21,1.3908077293002856,1.4340385044600137,6,13,2
22,1.3908077293002856,1.4340385044600137,6,13,2
23,1.3908077293002856,1.4340385044600137,6,13,2
24,1.3908077293002856,1.4340385044600137,6,13,2
25,1.3908077293002856,1.4340385044600137,6,13,2
26,1.3908077293002856,1.4340385044600137,6,13,2
27,1.3908077293002856,1.4340385044600137,6,13,2
28,1.3908077293002856,1.4340385044600137,6,13,2
29,1.441233191098752,1.4882209705949834,3,13,3
30,1.441233191098752,1.4882209705949834,3,13,3
31,1.441233191098752,1.4882209705949834,3,13,3
32,1.441233191098752,1.4882209705949834,3,13,3
33,1.441233191098752,1.4882209705949834,3,13,3
34,1.441233191098752,1.4882209705949834,3,13,3
35,1.441233191098752,1.4882209705949834,3,13,3
36,1.441233191098752,1.4882209705949834,3,13,3
37,1.441233191098752,1.4882209705949834,3,13,3
38,1.464335753513302,1.512345771218594,3,13,3
39,1.464335753513302,1.512345771218594,3,13,3
40,1.464335753513302,1.512345771218594,3,13,3
41,1.464335753513302,1.512345771218594,3,13,3
42,1.464335753513302,1.512345771218594,3,13,3
43,1.464335753513302,1.512345771218594,3,13,3
44,1.464335753513302,1.512345771218594,3,13,3
45,1.464335753513302,1.512345771218594,3,13,3
46,1.464335753513302,1.512345771218594,3,13,3
47,1.464335753513302,1.512345771218594,3,13,3
48,1.4824128676365842,1.5289340776182883,5,11,2
49,1.4824128676365842,1.5289340776182883,5,11,2
50,1.4824128676365842,1.5289340776182883,5,11,2
51,1.4824128676365842,1.5289340776182883,5,11,2
52,1.4824128676365842,1.5289340776182883,5,11,2
53,1.4824128676365842,1.5289340776182883,5,11,2
54,1.4824128676365842,1.5289340776182883,5,11,2
55,1.4824128676365842,1.5289340776182883,5,11,2
56,1.4824128676365842,1.5289340776182883,5,11,2
57,1.5067461743779373,1.5528182931581584,5,10,3
58,1.5067461743779373,1.5528182931581584,5,10,3
59,1.5067461743779373,1.5528182931581584,5,10,3
60,1.5067461743779373,1.5528182931581584,5,10,3
